 *PART 2:*
NOUNS	IN CHITONGA CIBEELA 2:*
MAMBA AMWI	MUNGA* Note 1 Plurals of nouns with *mu-* as prefix in the singular are mostly omitted. These nouns are found in the singular under the letter *m*. e.g. the plural *basimbi* (girls) will be found under the singular *musimbi* (girl). However clan names are given in the plural as well as singular and other nouns which are used more frequently in the plural are given in the plural. Note 2 We have treated the letter *ŋ* as coming immediately after the letter *n* in the Tonga alphabet. Note 3 Words beginning with a consonant such as *dilwe* may also be written *idilwe* and so may be found under either *d* or *i*.
acisya	one's maternal uncle, e.g. *Ino acisya wako ngomuntu uli buti mumukowa wako? Oyu muntu mmucizyi wabanyoko, ngocizyalwa limwi abanyoko. Bantu aba bobilo bazyedwe antoomwe, musankwa amusimbi baitana kuti 'mucizyi'. Musankwa kumusimbi ulati mucizyi wakwe. Awalo musimbi mbubona ulati 'mucizyi' wangu antela 'munyina-ndumi'.* = Your *acisya* is what kind of a person in your clan? This person is the brother of your mother, he is the one who is born with same parents as your mother. These two people are born together, the boy and the girl call each other *mucizyi*. The boy says *mucizyi* to his sister. Also the girl in the same way says *mucizyi* or *munyinandumi* to her brother.
baama	my mother, e.g. *Baama baciswa ntuntumaanzi.* = My mother is suffering from malaria. *Baama baunka kukuteka meenda.* = My mother has gone to draw water.
	one's aunt, i.e. mother's sister or father's sister, e.g. *Mucizyi wabaama tumwiita kuti baama.* = We call the sister of my mother, 'mother'. *Mucizyi wataata tumwiita kuti 'baama.'* = We call the sister of my father 'mother'.
babakumba	a small tree which grows in the Zambezi valley whose leaves are used as tobacco and as a charm. e.g. *Mudaala ufweba musanga wababakumba.* = The old man is smoking a cigarette formed from (leaves of) the *babakumba* tree. Also *bbakumba, bakumba*.
Bacimba	the name of a clan, e.g. *Mukowa wa Bacimba ujanwa kapati ku Kkuti.* = The *Bacimba* clan is found mostly in the Zambezi Valley.
Bacindu	the name of a clan whose totem is the lion. Every clan can be praised (*kutembaula*) with different titles. The *Bacindu* clan is praised as follows: *Bana sikankatilwa ulalikankatila mwini.* = The offspring of the meat-chopper, chops up the meat for itself. (*-kankaula* = chop, meaning the lion chops up the bones with its teeth) e.g. *Mweene wakazyala mwana ku Bacindu.* = Mweene bore a child of the *Bacindu* clan. *Bacindu balakananisya kapati.* = The *Bacindu* are great talkers. *Ndakali kumwiita kuti Oolemya-masaka nkaambo kamukowa wakwe wa Bacindu.* = I called him 'shaker of the forests' because of his clan of the *Bacindu*.
bacoonya	those who have died through violence and are active in seeking vengeance among the living, e.g. *Aibote nzila kiituba iitola mwanaangu muumba mumasaka a bacoonya bubi.* = May the path which my orphaned child takes, be clear in the forests of evil spirits.
bacubwi-cubwi	active and playful ones, e.g. *Alya mpaaitilwa bacubwi-cubwi, basimpongo kuzwa kumantoombwa kutegwa basambe.* = That is the time when the playful ones, the herders, are called from the childrens playing-place to wash.
Badenda	the name of a clan whose totem is the elephant, they are also known by another clan name the Bakkuli. In praise-names they are called bana syaalyoonda, the elephant leaves a large footprint (-onda = crush) e.g. Kumukowa wakali munasyaalyoonda, munalyabbilila kule (they can disappear far away); bana simamvwa, meaning that they eat even thorn trees or thorn bushes. e.g. Muntu wakafwa jilo mmwana wa Badenda. = The person who died yesterday is a member of the Badenda clan. Badenda mbasyoonto kapati mucisi cino. = The Badenda clan is very sparse in this area.
badima	a set of pedestal-based funeral drums named as follows: (a) drums beaten with sticks: gogogo or lala, muliligo or lalako, ntakutanda (b) drums beaten with hands: muntundu, mujinji(mujanja), mpininga (c) drum beaten with closed fist: ngoma buntibe. Also budima
bafwulicoongo	 the rainbow-spirits, (In the traditional world there was the belief that there were rainshrines underground which were protected by spirits who would drive away those who interfered with them unlawfully) e.g. Aabo bakali kusoleka kuya musyokwe kukuweza bakali kutandaanyizigwa abafwulicoongo. Those who were trying to go into the bush to hunt were driven back by the rainbow-spirits. = **Bafwumu**. A Tonga clan whose totem is the pidgeon (inkwilimba).
bakaapa	grandmother, e.g. Bakaapa bakasika ijilo. My grandmother arrived yesterday.
bakaili	prisoners, e.g. Yoonse milimo eeyi ilacitwa abakaili. All these works are done by the prisoners.
Bakonka	the name of a clan whose totem is the cow. (Very rarely they are called Bazumbwe.) This clan is praised as follows: bana Choona, (because there are many Bakonka in Chief Choona's area) bana mulala kapakapa; bana sikazimina kazimina kalombwaa kumuntunyoko, = When you are lacking something you ask it from your friend. e.g. To Bakonka tatuswaangene a Banenge. We of the Bakonka clan do not marry with members of the Banenge clan. Ndi Mukonka kumukowa. I am a Mukonka by clan. Mukowa wa Bakonka ngowamvwula. = The clan of the Bakonka is the clan connected with the rain. (They provide many rain-makers.)
bakumba	a wild plant which is taboo, whose flower resembles the human body, male and female. pl. mabakumba, e.g. Bakumba lilajanika mumisyobo yobilo lisankwa a lisimbi. = The bakumba plant is of two types, male and female. (It is not allowed to grow near anyone's village as it can be used as a powerful aphrodisiac. Some people smoke it for this purpose.) Also bbakumba, babakumba
bakwasi	 those preparing for marriage, e.g. Cakali ciindi camwaka bakwasi nobalisanga kapati kukwasila. = It was the time of year when those who were helping the bride and groom for marriage were offering themselves to the work for their sisters-in-laws or brothers-in-law. Ndime ndakakwata mucizyi wa Moonga. Nkokuti Moonga mmukwasi wangu. = I have married the sister of Moonga. This means that Moonga is my brother-in-law. Also mulamwe
Baleya	 the name of a clan, whose totems are the black ant and the goat. This clan is praised as follows: bana cilemba-lemba, meaning that when the ants are eating leaves they hang their front legs on a branch. e.g. Mwanaangu, utakakwatwi ku Baleya. My daughter, do not marry into the Baleya clan. Wakali kundiita kuti ndime Simunyewu nkaambo kakuti kumukowa ndi Muleya. = He was calling me a black ant because according to clan I am a Muleya. (Basimunyewu or black ants are called baleya.)
ba Leza	Leza, meaning God, as a monotheistic title, has no plural. ba Leza is used as a plural form of respect for certain ancestors. (Tonga religion is monotheistic.)
	balezya refers to the good ancestral spirits Baloongo the name of a clan whose totem is the monkey. This clan is characterized when they say, "Mbana coona bukwazi, balijalila mbabowa" (They are the people who sleep with the door open, those who close it are cowards); bana nkuna, describes the monkey's activity of dodging; bacimba, bana koomitabi, children of the branches, e.g. Baneene bakali Baloongo kumukowa. The matrilineal clan of my grandmother is the Baloongo. Baloongo mbabasazinyina abasokwe. = The Baloongo belong to the same clan as the monkeys.
bambalikwa	edges or banks, e.g. Munyama uleenda mubambalikwa aamulonga. The animal is walking along the edges of the river. Also bembelekwa
banangwalu-ngwalu	those who invaded Tonga land from outside, especially the Balozi. e.g. Ninsilamatongo yakacaala, liya lyakainda banangwalu-ngwalu mucisi ca Butonga. The time that invaders were passing through the country of the Batonga, the dwellings of those who had been driven out remained.
banabukwetenyi	a married couple, e.g. Banabukwetenyi bakali kuyandana kapati. = The young married couple loved one another very much.
banakoonsiya milonga	whitee Also banabakoocaala, bacipuwa ngala, bana bakoomenede
banamutipiitipi	seeds of a bush plant, e.g. Kankuli kamunanga kakalijisi a banamutipiitipi basalala bobilo bakali kulangika kuti akali meso aasalala. The small calabash of the witchdoctor had two bright seeds which were like bright eyes. Also banamusimbiisimbi
banasimaanga	children (twins or more) of a woman who bears many chiildren, e.g. Wakajisi bace bakwe botatwe, bobile bakali banasimaanga, Maimbo a Twaambo. He had three young brothers, two were twins Maimbo and Twaambo. Bakali bamaanga. They were twins. Michelo a Mooya a Moonga bakali bamaanga Michelo and Mooya and Moonga were triplets.
banasimukwe	the specific name of a group who come to kill an animal to celebrate the coming-out of the initiated girl. e.g. Kunkolola kulaboola bantu bamwi bategwa banasimukwe: aaba mbobasikuleba nkolola. At the initiation ceremony certain people come who are called banasimukwe: these are the ones who kill an animal for the feast. Also called basikuleba nkolola
bandooma	the upper-class, e.g. Cikolo eciya cakali cabandooma. That school was for the upper-class.
baneene	my grandmother, pl. bamaneene, e.g. Baneene bakafwa mwakali. = My grandmother died last year. Baneene bakafwa mwakali kabalaa myaka mwaanda. My grandmother died when she was a hundred years old.
Bangwalungwalu	invaders from the Caprivi Strip, e.g. Kaindi basinkondo ba Batonga bakali Basitukumba a Bangwalungwalu. In the past the enemies of the Batonga were the Balozi and warriors from the Caprivi Strip.
bankaaka	grandmother, e.g. Michelo walede kuli bankaakanyina masiku ayinda. Michelo slept at her grandmother's last night.
Bankombwe	the name of a clan whose totem is the cock.
Bansaka	the name of a clan whose totems are dogs and bees: Mbana cibwa camazakala kuluma cilatobola. = They are the offspring of a hairy dog whose bite is harmless. e.g. Tujisi bamayi bobile Bansaka. We have two teachers who belong to the Bansaka clan. Bansaka mbajwanyina a Bayuni. = The Bansaka clan has a joking-relationship with the Bayuni clan. They are like cousins.
Bansanje	the name of a clan whose totem is the hare. The clan is praised thus: bana koomaano, the children of wisdom or the hare's cunning. e.g. Mweemba wakakwata mwana wa Bansanje.
Mweemba	married a daughter of the Bansanje clan. = Bantanga the name of a clan, the totem is a cow's head. They are praised as follows: Mbana mbala cikwasa kumatako, uutakwasi tali Muntanga. = The members of this clan have a reputation for releasing wind from the anus, the one who does not is not a true Muntanga. In praising this clan they say, Bana simalabwe; bakumusemo walubulo = They are the childen of the iron centre-pole which upholds the house. Bantanga a Baleya bakali antoomwe kaindi. = The Bantanga and Baleya clans were united long ago.
bantinde	tubers, sing. intinde, e.g. Twakakomena limwi kumunzi katweembela nombe akuyasa bantinde. = We grew up together in the village herding cattle and playing the game of piercing the tubers.
banzeenyuka	grubs eaten in famine time, e.g. banzeenyuka, (sing. nzeenyuka) Banzeenyuka nzyuuka zisabila ciindi cakumwaka. Banzeenyuka are insects which make noise at the beginning of the rainy-season (October). Also nyenze
bapusyi	greedy poor people, e.g. Muli bapusyi mbumwabukila dukayi-dukayi amasiku ati katuya buya tukasese. = You are greedy people who are not ashamed to come proudly at night saying let us just go asking for payment.
basaazwe	small squirrel-sized animals with big bushy tails and white coats, sing. saazwe, e.g. Wakalisamide mabbensu aatukutu twabasaazwe. = He was dressed in the lion-cloth of the skins of small animals.
basangu	Among the Batonga the basangu are good spirits who are invoked to protect people in times of drought, famine, or disease. They are also invoked by hunters and they are said to inhabit pools and are called 'great lion-spirits'. Black goats are sacrificed to them when praying for rain. Abaya bacembele banjidwe basangu bamvwula. = That old woman has been possessed by rain-spirits.
basibuzyukulu	grandparents together with their brothers and sisters, e.g. Muzyukulu wakajwa cilezu casyaanyinakulu. = The grandson pulled the beard of his grandfather.
basimukowa	members of the matrilineal line, sing. simukowa e.g. Basimukowa bamufwu mbabeendelezi badilwe. = The matrilineal line of the dead person leads the mourners.
Basitukumba	name given to waring Balozi who raided the Batonga wearing animal hides (tukumba = hides)
baswaabo	uncle, brother of father, e.g. Wakaakuswaila kuli baswaabo ba Chooka kwalo nkwaakaakutambulwa kabotu. He visited his home of his uncle, Chooka, where he was welcomed. Baswaabo musimbi nkujana baide kuzemba kuzyana. The relatives of the girl were just dancing up and down. basyaacikwaakwa shelled animals, e.g. Mumbali aamulonga balajanika ba syaacikwaakwa banji. Beside the river are found many shelled animals. Also inkumba
batebetebe	weak people, mutebetebe sing., e.g. Bakaindi bakalikuyeeya kuti mbatebetebe bakakomenena mumadolopo. = People of the past thought that people who grew up in the towns were weak.
Bayinde	(Bainde) the name of a clan whose totems are the bull-frog and the pidgeon: In praising this clan they say, *Mbagande.* = They are the big bull frogs; *Mbafwumu.* = They are pidgeons. (The one who keeps pidgeons has to be very humble.) *bana nsimba* = the offspring of the genet or musk-cat; in praising (kutembaula) this clan we say: Bakunongo yabulungu (yacibulo), civwunisyo nimpande. = They are the ones who have a pot of beads, the lid is an mpande shell. e.g. Mwanaangu wakakwata ku *Bayinde.* = My son has married into the Bayinde clan.
