#no sort
GEN 1:1	<p-n>@Matalikilo 1:1</p-n>	Kumatalikilo, Leza wakalenga majulu anyika. 
GEN 1:2	<p-n>@Matalikilo 1:2</p-n>	Inyika teyakalikwe chiimo akubula chintu. Mudima wakali atala maanzi malamfu. Muuya wa Leza wakali kweenda ataala amanzi.
GEN 1:3	<p-n>@Matalikilo 1:3</p-n>	Leza wakati, ''Akube mumuni,'' alimwi mumuni wakaba. 
GEN 1:4	<p-n>@Matalikilo 1:4</p-n>	Leza wakubona mumuni, kuti mubotu. Wakanzania mumuni kuzwa mumudima. 
GEN 1:5	<p-n>@Matalikilo 1:5</p-n>	Leza wakawuzika mumuni ''sikati,'' alimwi mudima wakuyita ''mansiku'' ''Awo kwakaba goko achifumo, izuba lyakutanguna.
GEN 1:6	<p-n>@Matalikilo 1:6</p-n>	Leza wakati, ''Akube mulengalenga akati kamanzi, alimwi uwanzanie manzi kuzwa kumanzi. 
GEN 1:7	<p-n>@Matalikilo 1:7</p-n>	Leza wakalenga mulengalenga akwanzania manzi akali munsi amulengalenga wamaanzi akali ajulu amulengalenga. Kwakaba mbubo. 
GEN 1:8	<p-n>@Matalikilo 1:8</p-n>	Leza wakayita mulengalenga ''Ijulu'' kwakaba igoko akuseni izuba lyabili.
GEN 1:9	<p-n>@Matalikilo 1:9</p-n>	Leza wakati, ''Akube kuti manzi alimunsi amulengalenga ayoboloke aamwi kubusena bomwe, akuti ntundubwi iboneke.'' Kwakaba mbubo. 
GEN 1:10	<p-n>@Matalikilo 1:10</p-n>	Leza wakawuzika intundubwi kuti ''Inyika,'' alimwi maanzi akayobolokede amwi wakawuzika kuti ''ndwizi.'' wakabona kuti nchibotu.
GEN 1:11	<p-n>@Matalikilo 1:11</p-n>	Leza wakati, ''Inyika isyusye mweemvwe: azisyu zizyala mbuto, amisamu ilambuto ilimumichelo, umwi awumwi mbuli mumusyobo wawo.'' Kwakaba mbubo. 
GEN 1:12	<p-n>@Matalikilo 1:12</p-n>	Inyika yakazyala mweemvwe, michelo yakazyala imbuto yayo ayimwi mbuli mumisyobo yayo, aalimwi minsamu yakazyala michelo ilambuto ilimulinguwo, kwinda mumusyobo wayo. 
GEN 1:13	<p-n>@Matalikilo 1:13</p-n>	Kwakaba goko achifumo, izuba lyatatu.
GEN 1:14	<p-n>@Matalikilo 1:14</p-n>	Leza wakati, ''Akube mimuuni kwanzania isikati kuzwa kumansiku aalimwi azibe mbuli zitondezyo, zyazyiindi, zyamazuba amyaka. 
GEN 1:15	<p-n>@Matalikilo 1:15</p-n>	Azibe mumuuni kumulengalenga kuti zipe mumuuni anyika.'' Kwakaba mbubo.
GEN 1:16	<p-n>@Matalikilo 1:16</p-n>	Leza wakachita mimuuni mipati ibili, mumuuni mupati wakwendelezya buzuba, amumuni munini wakweendelezya mansiku. Wakalenga inyenyeezi alimwi. 
GEN 1:17	<p-n>@Matalikilo 1:17</p-n>	Leza wakazibika mumulengalenga kuti zipe mumuni aanyika, 
GEN 1:18	<p-n>@Matalikilo 1:18</p-n>	Kuti zyeendelezye buzuba aamansiku, akwanzania mumuuni kuzwa kumudima. Leza wakabona kuti nchibotu. 
GEN 1:19	<p-n>@Matalikilo 1:19</p-n>	Awo kwakaba igoko achifumo, izuba lyane.
GEN 1:20	<p-n>@Matalikilo 1:20</p-n>	Leza wakati, ''Maanzi azuzigwe amwelwe mupati wazilenge, alimwi abayuni bawuluke atala anyika mumulengalenga wajulu.'' 
GEN 1:21	<p-n>@Matalikilo 1:21</p-n>	Leza wakalenga zilenge zipati, alimwi, mbuli zilenge zipati, zipona kuzwa kumisyobo yazyo, zilenge ezyo zyeenda azezyo zizwide mumaanzi busena boonse, aboonse bayuni balamababa kwinda mumisyobo yabo. Leza wakabona kuti nzibotu.
