#desc	Psalter Brady & Tate from <a href="https://www.friendsofsabbath.org/cgmusic.com/workshop/index.htm">friends of sabbath</a>
#priority	1
Psa 1		<h4> Brady and Tate, 	<p-n>Common Metre Tunes</p-n></h4>	<br> <p-n>1</p-n> How blest is he who ne'er consents<br> by ill advice to walk;<br> Nor stands in sinners' ways nor sits<br> where men profanely talk.<br><br> <p-n>2</p-n> But makes the perfect law of God<br>&nbsp;&nbsp;&nbsp; his business and delight;<br> Devoutly reads therein by day,<br> &nbsp;&nbsp;&nbsp;and meditates by night.<br><br> <p-n>3</p-n> Like some fair tree, which, fed by streams,<br>&nbsp;&nbsp;&nbsp; with timely fruit does bend,<br> He still shall flourish, and success<br> &nbsp;&nbsp;&nbsp;all his designs attend.<br><br> <p-n>4</p-n> Ungodly men and their attempts<br>&nbsp;&nbsp;&nbsp; no lasting root shall find;<br> Untimely blasted, and dispers'd<br> &nbsp;&nbsp;&nbsp;like chaff before the wind.<br><br> <p-n>5</p-n> Their guilt shall strike the wicked dumb<br>&nbsp;&nbsp;&nbsp; before their Judge's face;<br> No formal hypocrite shall then<br>&nbsp;&nbsp;&nbsp; amongst the saints have place.<br><br> <p-n>6</p-n> For God approves the just man's ways,<br>&nbsp;&nbsp;&nbsp; to happiness they tend;<br> But sinners, and the paths they tread,<br>&nbsp;&nbsp;&nbsp; shall both in ruin, end.<br><br>
Psa 2		<h4> Brady and Tate, 	<p-n>Common Metre Tunes</p-n></h4>	<br> <p-n>1</p-n> With restless and ungovern'd rage<br> why do the heathen storm?<br> Why in such rash attempts engage,<br> as they can ne'er perform?<br><br> <p-n>2</p-n> The great in counsel and in might<br> their various forces bring;<br> Against the Lord they all unite,<br> and his anointed king.<br><br> <p-n>3</p-n> &quot;Must we submit to their commands?&quot;<br> presumptuously they say;<br> &quot;No, let us break their slavish bands,<br> and cast their chains away.&quot;<br><br> <p-n>4</p-n> But God, who sits enthroned on high,<br> and sees how they combine,<br> Does their conspiring strength defy,<br> and mocks their vain design.<br><br> <p-n>5</p-n> Thick clouds of wrath divine shall break<br> on his rebellious foes;<br> And thus will he in thunder speak<br> to all that dare oppose:<br><br> <p-n>6</p-n> &quot;Though madly you dispute my will,<br> the king that I ordain,<br> &quot;Whose throne is fixed on Zion's hill,<br> shall there securely reign.&quot;<br><br> <p-n>7</p-n> Attend, O earth, whilst I declare<br> God's uncontrolled decree;<br> &quot;Thou art my Son, this day my heir<br> have I begotten thee.<br><br> <p-n>8</p-n> &quot;Ask and receive thy full demands;<br> thine shall the heathen be;<br> &quot;The utmost limits of the lands<br> shall be possessed by thee.<br><br> <p-n>9</p-n> &quot;Thy threat'ning scepter thou shalt shake, <br> and crush them every where;<br> &quot;As massy bars of iron break<br> the potter's brittle ware.&quot;<br><br><p-n>10</p-n> Learn then, ye princes, and give ear,<br> ye judges of the earth;<br><p-n>11</p-n> Worship the Lord with holy fear;<br> rejoice with awful mirth.<br><br><p-n>12</p-n> Appease the Son with due respect,<br> your timely homage pay;<br> Lest he revenge the bold neglect,<br> incensed by your delay.<br><br><p-n>13</p-n> If but in part his anger rise,<br> who can endure the flame?<br> Then blest are they whose hope relies<br> on his most holy name.<br><br>
Psa 3		<h4> Brady and Tate, 	<p-n>Common Metre Tunes</p-n></h4>	<br> <p-n>1</p-n> How num'rous, Lord, of late are grown <br> the troublers of my peace!<br> And, as their numbers hourly rise,<br> so does their rage increase.<br><br> <p-n>2</p-n> Insulting they my soul upbraid,<br> and him whom I adore;<br> The God in whom he trusts, say they,<br> shall rescue him no more.<br><br> <p-n>3</p-n> But thou, O Lord, art my defense;<br> on thee my hopes rely;<br> Thou art my glory, and shalt yet<br> lift up my head on high.<br><br> <p-n>4</p-n> Since whensoe'er in like distress<br> to God I made my pray'r,<br> He heard me from his holy hill,<br> why should I now despair?<br><br> <p-n>5</p-n> Guarded by him, I laid me down<br> my sweet repose to take;<br> For I through him securely sleep,<br> through him in safety wake.<br><br> <p-n>6</p-n> No force nor fury of my foes<br> my courage shall confound,<br> Were they as many hosts as men<br> that have beset me round.<br><br> <p-n>7</p-n> Arise and save me, O my God,<br> who oft hast owned my cause,<br> And scattered oft these foes to me,<br> and to thy righteous laws.<br><br> <p-n>8</p-n> Salvation to the Lord belongs,<br> he only can defend;<br> His blessing he extends to all<br> that on his pow'r depend.<br><br>
Psa 4		<h4> Brady and Tate, 	<p-n>Common Metre Tunes</p-n></h4>	<br> <p-n>1</p-n> O Lord, that art my righteous Judge,<br> to my complaint give ear:<br> Thou still redeem'st me from distress;<br> have mercy, Lord, and hear.<br><br> <p-n>2</p-n> How long will ye, O sons of men,<br> to blot my fame devise?<br> How long your vain designs pursue,<br> and spread malicious lies?<br><br> <p-n>3</p-n> Consider, that the righteous man<br> is God's peculiar choice;<br> And when to him I make my pray'r,<br> he always hears my voice.<br><br> <p-n>4</p-n> Then stand in awe of his commands,<br> flee ev'ry thing that's ill;<br> Commune in private with your hearts,<br> and bend them to his will.<br><br> <p-n>5</p-n> The place of other sacrifice<br> let righteousness supply;<br> And let your hope, securely fixed,<br> on God alone rely.<br><br> <p-n>6</p-n> While worldly minds impatient grow<br> more prosp'rous times to see,<br> Still let the glories of thy face<br> shine brightly, Lord, on me.<br><br> <p-n>7</p-n> So shall my heart o'erflow with joy,<br> more lasting and more true,<br> Than theirs who stores of corn and wine<br> successively renew.<br><br> <p-n>8</p-n> Then down in peace I'll lay my head,<br> and take my needful rest;<br> No other guard, O Lord, I crave,<br> of thy defense possessed.<br><br>
Psa 5		<h4> Brady and&nbsp; Tate, 	<p-n>C.M.</p-n></h4>	<br> <p-n>1</p-n> Lord, hear the voice of my complaint,<br> accept my secret pray'r;<br> <p-n>2</p-n> To thee alone, my King, my God,<br> will I for help repair. <br><br> <p-n>3</p-n> Thou in the morn my voice shall hear,<br> and with the dawning day.<br> To thee devoutly I'll look up,<br> to thee devoutly pray. <br><br> <p-n>4</p-n> For thou the wrongs that I sustain<br> can never, Lord, approve;<br> Who from thy sacred dwelling place<br> all evil does remove. <br><br> <p-n>5</p-n> Not long shall stubborn fools remain<br> unpunished in thy view;<br> All such as act unrighteous things<br> thy vengeance shall pursue. <br><br> <p-n>6</p-n> The sland'ring tongue, O God of truth,<br> by thee shall be destroyed;<br> Who hat'st alike the man in blood<br> and in deceit employed. <br><br> <p-n>7</p-n> But when thy boundless grace shall me<br> to thy loved courts restore,<br> On thee I'll fix my longing eyes,<br> and humbly there adore. <br><br> <p-n>8</p-n> Conduct me by thy righteous laws,<br> for watchful is my foe;<br> Therefore, O Lord, make plain the way<br> wherein I ought to go. <br><br> <p-n>9</p-n> Their mouth vents nothing but deceit,<br> their heart is set on wrong;<br> Their throat is a devouring grave,<br> they flatter with their tongue. <br><br><p-n>10</p-n> By their own counsels let them fall,<br> oppressed with loads of sin;<br> for they against thy righteous laws<br> have hardened rebels been. <br><br><p-n>11</p-n> But let all those who trust in thee<br> with shouts their joy proclaim;<br> Let them rejoice whom thou preserv'st,<br> and all that love thy name. <br><br><p-n>12</p-n> To righteous men the righteous Lord<br> his blessing will extend,<br> And with his favor all his saints,<br> as with a shield, defend. <br><br>
Psa 6		<h4> Brady and&nbsp; Tate, 	<p-n>C.M.</p-n></h4>	<br> <p-n>1</p-n> Thy dreadful anger, Lord, restrain,<br> and spare a wretch forlorn;<br> Correct me not in thy fierce wrath,<br> too heavy to be borne. <br><br> <p-n>2</p-n> Have mercy, Lord, for I grow faint,<br> unable to endure,<br> The anguish of my aching bones,<br> which thou alone can cure. <br><br> <p-n>3</p-n> My tortured flesh distracts my mind,<br> and fills my soul with grief;<br> But, Lord, how long will thou delay<br> to grant me thy relief? <br><br> <p-n>4</p-n> Thy wonted goodness, Lord, repeat,<br> and ease my troubled soul;<br> Lord, for thy wondrous mercy's sake<br> vouchsafe to make me whole. <br><br> <p-n>5</p-n> For after death no more can I<br> thy glorious acts proclaim;<br> No pris'ner of the silent grave<br> can magnify thy name. <br><br> <p-n>6</p-n> Quite tired with pain, with groaning faint,<br> no hope of ease I see;<br> The night, that quiets common griefs,<br> is spent in tears by me. <br><br> <p-n>7</p-n> My beauty fades, my sight grows dim,<br> my eyes with weakness close;<br> Old age o'ertakes me, while I think<br> on my insulting foes. <br><br> <p-n>8</p-n> Depart, you wicked, in my wrongs<br> you shall no more rejoice;<br> for god, I find, accepts my tears,<br> and listens to my voice. <br><br><p-n>9</p-n>,<p-n>10</p-n> He hears and grants my humble pray'r;<br> and they that wish my fall,<br> Shall blush and rage to see that God<br> protects me from them all. <br><br>
Psa 7		<h4> Brady and Tate, 	<p-n>Common Metre Tunes</p-n></h4>	<br> <p-n>1</p-n> O Lord my God, since I have placed<br> my trust alone in thee,<br> From all my persecutors' rage<br> do thou deliver me.<br><br> <p-n>2</p-n> To save me from my threat'ning foe,<br> Lord, interpose thy pow'r;<br> Lest, like a savage lion, he<br> my helpless soul devour.<br><br> <p-n>3</p-n>,<p-n>4</p-n> If I am guilty, or did e'er<br> against his peace combine;<br> Nay, if I have not spared his life,<br> who sought unjustly mine<br><br> <p-n>5</p-n> Let then to persecuting foes<br> my soul become a prey;<br> Let them to earth tread down my life,<br> in dust my honor lay.<br><br> <p-n>6</p-n> Arise, and let thine anger, Lord,<br> in my defense engage;<br> Exalt thyself above my foes<br> and their insulting rage.<br><br> Awake, awake, in my behalf,<br> the judgment to dispense,<br> Which thou hast righteously ordained<br> for injured innocence.<br><br> <p-n>7</p-n> So to thy throne adoring crowds<br> shall still for justice fly;<br> O! therefore for their sakes resume<br> thy judgment-seat on high.<br><br> <p-n>8</p-n> Impartial Judge of all the world,<br> I trust my cause to thee;<br> According to my just deserts,<br> so let thy sentence be.<br><br> <p-n>9</p-n> Let wicked arts and wicked men<br> together be o'erthrown;<br> But guard the just, thou God, to whom<br> the hearts of both are known.<br><br><p-n>10</p-n>,<p-n>11</p-n> God me protects, nor only me,<br> but all of upright heart;<br> And daily lays up wrath for those<br> who from his laws depart.<br><br> <p-n>12</p-n> If they persist, he whets his sword,<br> his bow stands ready bent;<br> <p-n>13</p-n> E'en now, with swift destruction winged, <br> his pointed shafts are sent.<br><br> <p-n>14</p-n> The plots are fruitless which my foe<br> unjustly did conceive;<br> <p-n>15</p-n> The pit he digged for me has proved<br> his own untimely grave.<br><br> <p-n>16</p-n> On his own head his spite returns,<br> whilst I from harm am free;<br> On him the violence is fall'n<br> which he designed for me.<br><br> <p-n>17</p-n> Therefore will I the righteous ways<br> of Providence proclaim;<br> I'll sing the praise of God most high,<br> and celebrate his Name.<br><br>
Psa 8		<h4> Brady and&nbsp; Tate, 	<p-n>Common Metre Tunes</p-n></h4>	<br> <p-n>1</p-n> O Thou, to whom all creatures bow<br> within this earthly frame,<br> Through all the world how great art thou!<br> How glorious is thy Name.<br><br> In heav'n thy wondrous acts are sung,<br> nor fully reckon'd there;<br> <p-n>2</p-n> And yet thou mak'st the infant tongue<br> thy boundless praise declare.<br><br> Through thee the weak confound the strong,<br> and crush their haughty foes;<br> And so thou quell'st the wicked throng<br> that thee and thine oppose.<br><br> <p-n>3</p-n> When heav'n, thy beauteous work on high,<br> employs my wond'ring sight;<br> The moon that nightly rules the sky,<br> with stars of feebler light.<br><br> <p-n>4</p-n> What's man, (say I) that, Lord, thou lov'st<br> to keep him in thy mind?<br> Or what his offspring, that thou prov'st<br> to them so wondrous kind?<br><br> <p-n>5</p-n> Him next in pow'r thou didst create<br> to thy celestial train;<br> <p-n>6</p-n> Ordain'd with dignity and state<br> o'er all thy works to reign.<br><br> <p-n>7</p-n> They jointly own his pow'rful sway;<br> the beasts that prey or graze<br> <p-n>8</p-n> The bird that wings its airy way;<br> the fish that cuts the seas. <br><br> <p-n>9</p-n> O thou, to whom all creatures bow<br> within this earthly frame,<br> Through all the world how great art thou!<br> How glorious is thy Name.<br><br>
Psa 9		<h4> Brady and Tate, 	<p-n>Common Metre Tunes</p-n></h4>	<br> <p-n>1</p-n> To celebrate thy praise, O Lord,<br> I will my heart prepare;<br> To all the list'ning world thy works,<br> thy wondrous works, declare.<br><br> <p-n>2</p-n> The thought of them shall to my soul<br> exalted pleasure bring;<br> Whilst to thy Name, O thou most High,<br> triumphant praise I sing.<br><br> <p-n>3</p-n> Thou mad'st my haughty foes to turn<br> their backs in shameful flight;<br> Struck with thy presence, down they fell,<br> they perished at thy sight.<br><br> <p-n>4</p-n> Against insulting foes advanced,<br> thou didst my cause maintain;<br> My right asserting from thy throne,<br> where truth and justice reign.<br><br> <p-n>5</p-n> The insolence of heathen pride<br> thou hast reduced to shame;<br> Their wicked offspring quite destroyed,<br> and blotted out their name.<br><br> <p-n>6</p-n> Mistaken foes! your haughty threats<br> are to a period come;<br> Our city stands, which you designed<br> to make our common tomb.<br><br><p-n>7</p-n>,<p-n>8</p-n> The Lord for ever lives, who has<br> his righteous throne prepared,<br> Impartial justice to dispense;<br> to punish or reward.<br><br> <p-n>9</p-n> God is a constant sure defense<br> against oppressing rage;<br> As troubles rise, his needful aids<br> in our behalf engage.<br><br> <p-n>10</p-n> All those who have his goodness proved<br> will in his truth confide;<br> Whose mercy ne'er forsook the man<br> that on his help relied.<br><br> <p-n>11</p-n> Sing praises, therefore, to the Lord,<br> from Zion, his abode;<br> Proclaim his deeds, till all the world<br> confess no other God.<br><br> The Second Part.<br><br> <p-n>12</p-n> When he inquiry makes for blood,<br> he calls the poor to mind;<br> The injured humble man's complaint<br> relief from him shall find,<br><br> <p-n>13</p-n> Take pity on my troubles, Lord,<br> Which spiteful foes create,<br> Thou, that hast rescued me so oft<br> from death's devouring gate.<br><br> <p-n>14</p-n> In Zion then I'll sing thy praise,<br> to all that love thy name;<br> And with loud shouts of grateful joy<br> thy saving pow'r proclaim,<br><br> <p-n>15</p-n> Deep in the pit they digged for me<br> the heathen pride is laid;<br> Their guilty feet to their own snare<br> insensibly betrayed.<br><br> <p-n>16</p-n> Thus, by the just returns he makes,<br> the mighty Lord is known;<br> While wicked men by their own plots<br> are shamefully o'erthrown.<br><br> <p-n>17</p-n> No single sinner shall escape<br> by privacy obscured;<br> Nor nation from his just revenge<br> by numbers be secured.<br><br> <p-n>18</p-n> His suff'ring saints, when most distressed,<br> he ne'er forgets to aid;<br> their expectation shall be crowned,<br> though for a time delayed.<br><br> <p-n>19</p-n> Arise, O Lord, assert thy pow'r,<br> and let not man o'ercome;<br> Descend to judgment, and pronounce<br> the guilty heathen's doom.<br><br> <p-n>20</p-n> Strike terror through the nations round, <br> till, by consenting fear<br> They to each other, and themselves,<br> but mortal men appear.<br><br>
Psa 100		<h4> Brady and&nbsp; Tate, 	<p-n>L.M.</p-n></h4>	<br><p-n>1</p-n>,<p-n>2</p-n> With one consent let all the earth <br> to God their cheerful voices raise;<br> Glad homage pay with awful mirth<br> and sing before him songs of praise. <br><br> <p-n>3</p-n> Convinced that he is God alone,<br> from whom both we and all proceed;<br> We, whom he chooses for his own,<br> the flock that he vouchsafes to feed. <br><br> <p-n>4</p-n> O enter then his temple gate,<br> thence to his courts devoutly press,<br> And still your grateful hymns repeat,<br> and still his Name with praises bless. <br><br> <p-n>5</p-n> For he's the Lord, supremely good,<br> his mercy is for ever sure:<br> His truth, which always firmly stood,<br> to endless ages shall endure.<br><br>
