#no sort
#English NKJ 1982" link="https://www.bible.com/bible/114/REV.22.NKJV" status="The Holy Bible, New King James Version, Copyright © 1982 Thomas Nelson"
GEN 1:1	@<p-n>Genesis  1:1</p-n>	In the beginning God created the heavens and the earth.
GEN 1:2	@<p-n>Genesis  1:2</p-n>	The earth was without form, and void; and darkness was on the face of the deep. And the Spirit of God was hovering over the face of the waters.
GEN 1:3	@<p-n>Genesis  1:3</p-n>	Then God said, “Let there be light”; and there was light.
GEN 1:4	@<p-n>Genesis  1:4</p-n>	And God saw the light, that it was good; and God divided the light from the darkness.
GEN 1:5	@<p-n>Genesis  1:5</p-n>	God called the light Day, and the darkness He called Night. So the evening and the morning were the first day.
GEN 1:6	@<p-n>Genesis  1:6</p-n>	Then God said, “Let there be a firmament in the midst of the waters, and let it divide the waters from the waters.”
GEN 1:7	@<p-n>Genesis  1:7</p-n>	Thus God made the firmament, and divided the waters which were under the firmament from the waters which were above the firmament; and it was so.
GEN 1:8	@<p-n>Genesis  1:8</p-n>	And God called the firmament Heaven. So the evening and the morning were the second day.
GEN 1:9	@<p-n>Genesis  1:9</p-n>	Then God said, “Let the waters under the heavens be gathered together into one place, and let the dry land appear”; and it was so.
GEN 1:10	@<p-n>Genesis  1:10</p-n>	And God called the dry land Earth, and the gathering together of the waters He called Seas. And God saw that it was good.
GEN 1:11	@<p-n>Genesis  1:11</p-n>	Then God said, “Let the earth bring forth grass, the herb that yields seed, and the fruit tree that yields fruit according to its kind, whose seed is in itself, on the earth”; and it was so.
GEN 1:12	@<p-n>Genesis  1:12</p-n>	And the earth brought forth grass, the herb that yields seed according to its kind, and the tree that yields fruit, whose seed is in itself according to its kind. And God saw that it was good.
GEN 1:13	@<p-n>Genesis  1:13</p-n>	So the evening and the morning were the third day.
GEN 1:14	@<p-n>Genesis  1:14</p-n>	Then God said, “Let there be lights in the firmament of the heavens to divide the day from the night; and let them be for signs and seasons, and for days and years;
GEN 1:15	@<p-n>Genesis  1:15</p-n>	and let them be for lights in the firmament of the heavens to give light on the earth”; and it was so.
GEN 1:16	@<p-n>Genesis  1:16</p-n>	Then God made two great lights: the greater light to rule the day, and the lesser light to rule the night. He made the stars also.
GEN 1:17	@<p-n>Genesis  1:17</p-n>	God set them in the firmament of the heavens to give light on the earth,
GEN 1:18	@<p-n>Genesis  1:18</p-n>	and to rule over the day and over the night, and to divide the light from the darkness. And God saw that it was good.
GEN 1:19	@<p-n>Genesis  1:19</p-n>	So the evening and the morning were the fourth day.
GEN 1:20	@<p-n>Genesis  1:20</p-n>	Then God said, “Let the waters abound with an abundance of living creatures, and let birds fly above the earth across the face of the firmament of the heavens.”
GEN 1:21	@<p-n>Genesis  1:21</p-n>	So God created great sea creatures and every living thing that moves, with which the waters abounded, according to their kind, and every winged bird according to its kind. And God saw that it was good.
GEN 1:22	@<p-n>Genesis  1:22</p-n>	And God blessed them, saying, “Be fruitful and multiply, and fill the waters in the seas, and let birds multiply on the earth.”
GEN 1:23	@<p-n>Genesis  1:23</p-n>	So the evening and the morning were the fifth day.
GEN 1:24	@<p-n>Genesis  1:24</p-n>	Then God said, “Let the earth bring forth the living creature according to its kind: cattle and creeping thing and beast of the earth, each according to its kind”; and it was so.
GEN 1:25	@<p-n>Genesis  1:25</p-n>	And God made the beast of the earth according to its kind, cattle according to its kind, and everything that creeps on the earth according to its kind. And God saw that it was good.
GEN 1:26	@<p-n>Genesis  1:26</p-n>	Then God said, “Let Us make man in Our image, according to Our likeness; let them have dominion over the fish of the sea, over the birds of the air, and over the cattle, over all the earth and over every creeping thing that creeps on the earth.”
GEN 1:27	@<p-n>Genesis  1:27</p-n>	So God created man in His own image; in the image of God He created him; male and female He created them.
GEN 1:28	@<p-n>Genesis  1:28</p-n>	Then God blessed them, and God said to them, “Be fruitful and multiply; fill the earth and subdue it; have dominion over the fish of the sea, over the birds of the air, and over every living thing that moves on the earth.”
GEN 1:29	@<p-n>Genesis  1:29</p-n>	And God said, “See, I have given you every herb that yields seed which is on the face of all the earth, and every tree whose fruit yields seed; to you it shall be for food.
GEN 1:30	@<p-n>Genesis  1:30</p-n>	Also, to every beast of the earth, to every bird of the air, and to everything that creeps on the earth, in which there is life, I have given every green herb for food”; and it was so.
GEN 1:31	@<p-n>Genesis  1:31</p-n>	Then God saw everything that He had made, and indeed it was very good. So the evening and the morning were the sixth day.
GEN 2:1	@<p-n>Genesis  2:1</p-n>	Thus the heavens and the earth, and all the host of them, were finished.
GEN 2:2	@<p-n>Genesis  2:2</p-n>	And on the seventh day God ended His work which He had done, and He rested on the seventh day from all His work which He had done.
GEN 2:3	@<p-n>Genesis  2:3</p-n>	Then God blessed the seventh day and sanctified it, because in it He rested from all His work which God had created and made.
GEN 2:4	@<p-n>Genesis  2:4</p-n>	This is the history of the heavens and the earth when they were created, in the day that the Lord God made the earth and the heavens,
GEN 2:5	@<p-n>Genesis  2:5</p-n>	before any plant of the field was in the earth and before any herb of the field had grown. For the Lord God had not caused it to rain on the earth, and there was no man to till the ground;
GEN 2:6	@<p-n>Genesis  2:6</p-n>	but a mist went up from the earth and watered the whole face of the ground.
GEN 2:7	@<p-n>Genesis  2:7</p-n>	And the Lord God formed man of the dust of the ground, and breathed into his nostrils the breath of life; and man became a living being.
GEN 2:8	@<p-n>Genesis  2:8</p-n>	The Lord God planted a garden eastward in Eden, and there He put the man whom He had formed.
GEN 2:9	@<p-n>Genesis  2:9</p-n>	And out of the ground the Lord God made every tree grow that is pleasant to the sight and good for food. The tree of life was also in the midst of the garden, and the tree of the knowledge of good and evil.
GEN 2:10	@<p-n>Genesis  2:10</p-n>	Now a river went out of Eden to water the garden, and from there it parted and became four riverheads.
GEN 2:11	@<p-n>Genesis  2:11</p-n>	The name of the first is Pishon; it is the one which skirts the whole land of Havilah, where there is gold.
GEN 2:12	@<p-n>Genesis  2:12</p-n>	And the gold of that land is good. Bdellium and the onyx stone are there.
GEN 2:13	@<p-n>Genesis  2:13</p-n>	The name of the second river is Gihon; it is the one which goes around the whole land of Cush.
GEN 2:14	@<p-n>Genesis  2:14</p-n>	The name of the third river is Hiddekel; it is the one which goes toward the east of Assyria. The fourth river is the Euphrates.
GEN 2:15	@<p-n>Genesis  2:15</p-n>	Then the Lord God took the man and put him in the garden of Eden to tend and keep it.
GEN 2:16	@<p-n>Genesis  2:16</p-n>	And the Lord God commanded the man, saying, “Of every tree of the garden you may freely eat;
GEN 2:17	@<p-n>Genesis  2:17</p-n>	but of the tree of the knowledge of good and evil you shall not eat, for in the day that you eat of it you shall surely die.”
GEN 2:18	@<p-n>Genesis  2:18</p-n>	And the Lord God said, “ It is not good that man should be alone; I will make him a helper comparable to him.”
GEN 2:19	@<p-n>Genesis  2:19</p-n>	Out of the ground the Lord God formed every beast of the field and every bird of the air, and brought them to Adam to see what he would call them. And whatever Adam called each living creature, that was its name.
GEN 2:20	@<p-n>Genesis  2:20</p-n>	So Adam gave names to all cattle, to the birds of the air, and to every beast of the field. But for Adam there was not found a helper comparable to him.
GEN 2:21	@<p-n>Genesis  2:21</p-n>	And the Lord God caused a deep sleep to fall on Adam, and he slept; and He took one of his ribs, and closed up the flesh in its place.
GEN 2:22	@<p-n>Genesis  2:22</p-n>	Then the rib which the Lord God had taken from man He made into a woman, and He brought her to the man.
GEN 2:23	@<p-n>Genesis  2:23</p-n>	And Adam said: “This is now bone of my bones And flesh of my flesh; She shall be called Woman, Because she was taken out of Man.”
GEN 2:24	@<p-n>Genesis  2:24</p-n>	Therefore a man shall leave his father and mother and be joined to his wife, and they shall become one flesh.
GEN 2:25	@<p-n>Genesis  2:25</p-n>	And they were both naked, the man and his wife, and were not ashamed.
GEN 3:1	@<p-n>Genesis  3:1</p-n>	Now the serpent was more cunning than any beast of the field which the Lord God had made. And he said to the woman, “Has God indeed said, ‘You shall not eat of every tree of the garden’?”
GEN 3:2	@<p-n>Genesis  3:2</p-n>	And the woman said to the serpent, “We may eat the fruit of the trees of the garden;
GEN 3:3	@<p-n>Genesis  3:3</p-n>	but of the fruit of the tree which is in the midst of the garden, God has said, ‘You shall not eat it, nor shall you touch it, lest you die.’ ”
GEN 3:4	@<p-n>Genesis  3:4</p-n>	Then the serpent said to the woman, “You will not surely die.
GEN 3:5	@<p-n>Genesis  3:5</p-n>	For God knows that in the day you eat of it your eyes will be opened, and you will be like God, knowing good and evil.”
GEN 3:6	@<p-n>Genesis  3:6</p-n>	So when the woman saw that the tree was good for food, that it was pleasant to the eyes, and a tree desirable to make one wise, she took of its fruit and ate. She also gave to her husband with her, and he ate.
GEN 3:7	@<p-n>Genesis  3:7</p-n>	Then the eyes of both of them were opened, and they knew that they were naked; and they sewed fig leaves together and made themselves coverings.
GEN 3:8	@<p-n>Genesis  3:8</p-n>	And they heard the sound of the Lord God walking in the garden in the cool of the day, and Adam and his wife hid themselves from the presence of the Lord God among the trees of the garden.
GEN 3:9	@<p-n>Genesis  3:9</p-n>	Then the Lord God called to Adam and said to him, “Where are you?”
GEN 3:10	@<p-n>Genesis  3:10</p-n>	So he said, “I heard Your voice in the garden, and I was afraid because I was naked; and I hid myself.”
GEN 3:11	@<p-n>Genesis  3:11</p-n>	And He said, “Who told you that you were naked? Have you eaten from the tree of which I commanded you that you should not eat?”
GEN 3:12	@<p-n>Genesis  3:12</p-n>	Then the man said, “The woman whom You gave to be with me, she gave me of the tree, and I ate.”
GEN 3:13	@<p-n>Genesis  3:13</p-n>	And the Lord God said to the woman, “What is this you have done?” The woman said, “The serpent deceived me, and I ate.”
