Psa 1		<h4>	<p-n>Common Metre</p-n></h4>	<br> <p-n>1</p-n> That man hath perfect blessedness,<br> who walketh not astray<br> In counsel of ungodly men,<br> &nbsp; nor stands in sinners' way,<br><br> <p-n>2</p-n> Nor sitteth in the scorner's chair:<br> But placeth his delight<br> Upon God's law, and meditates<br> on his law day and night.<br><br> <p-n>3</p-n> He shall be like a tree that grows<br> near planted by a river,<br> Which in his season yields his fruit,<br> and his leaf fadeth never:<br><br> <p-n>4</p-n> And all he doth shall prosper well<br> The wicked are not so;<br> But like they are unto the chaff,<br> which wind drives to and fro.<br><br> <p-n>5</p-n> In judgment therefore shall not stand<br> such as ungodly are; <br> Nor in th' assembly of the just<br> shall wicked men appear.<br><br> <p-n>6</p-n> For why? the way of godly men<br> unto the Lord is known:<br> Whereas the way of wicked men<br> shall quite be overthrown.<br><br>
Psa 2		<h4>	<p-n>Common Metre</p-n></h4>	<br> <p-n>1</p-n> Why rage the heathen? and vain things<br> why do the people mind?<br> <p-n>2</p-n> Kings of the earth do set themselves,<br> and princes are combined,<br><br> To plot against the Lord, and his<br> Anointed, saying thus,<br> <p-n>3</p-n> Let us asunder break their bands,<br> and cast their cords from us.<br><br> <p-n>4</p-n> He that in heaven sits shall laugh;<br> the Lord shall scorn them all.<br> <p-n>5</p-n> Then shall he speak to them in wrath,<br> in rage he vex them shall.<br><br> <p-n>6</p-n> Yet, notwithstanding, I have him<br> to be my King appointed;<br> And over Zion, my holy hill,<br> I have him King anointed.<br><br> <p-n>7</p-n> The sure decree I will declare:<br> The Lord hath said to me,<br> Thou art mine only Son; this day<br> I have begotten thee.<br><br> <p-n>8</p-n> Ask of me, and for heritage<br> the heathen I'll make thine;<br> And, for possession, I to thee<br> will give earth's utmost line.<br><br> <p-n>9</p-n> Thou shalt, as with a weighty rod<br> of iron, break them all;<br> And, as a potter's sherd, thou shalt<br> them dash in pieces small.<br><br> <p-n>10</p-n> Now therefore, kings, be wise; be taught,<br> ye judges of the earth:<br> <p-n>11</p-n> Serve God in fear, and see that ye<br> join trembling with your mirth.<br><br> <p-n>12</p-n> Kiss ye the Son, lest in his ire<br> ye perish from the way,<br> If once his wrath begin to burn:<br> blessed all that on him stay.<br><br>
Psa 3		<h4>	<p-n>Common Metre Tunes</p-n></h4>	<br>A Psalm of David, when he fled from<br>Absalom his son.<br><br> <p-n>1</p-n> O Lord, how are my foes increased?<br> against me many rise.<br> <p-n>2</p-n> Many say of my soul, For him<br> in God no succor lies.<br><br> <p-n>3</p-n> Yet thou my shield and glory art,<br> th' uplifter of mine head.<br> <p-n>4</p-n> I cried, and, from his holy hill,<br> the Lord me answer made.<br><br> <p-n>5</p-n> I laid me down and slept; I waked;<br> for God sustained me.<br> <p-n>6</p-n> I will not fear though thousands ten<br> set round against me be.<br><br> <p-n>7</p-n> Arise, O Lord; save me, my God;<br> for thou my foes hast stroke<br> All on the cheek-bone, and the teeth<br> of wicked men hast broke.<br><br> <p-n>8</p-n> Salvation doth appertain<br> unto the Lord alone:<br> Thy blessing, Lord, for evermore<br> thy people is upon.<br><br>
Psa 4		<h4>	<p-n>Common Metre Tunes</p-n></h4>	<br>To the chief Musician on Neginoth, A Psalm of David. <br><br> <p-n>1</p-n> Give ear unto me when I call,<br> God of my righteousness:<br> Have mercy, hear my pray'r; thou hast<br> enlarged me in distress.<br><br> <p-n>2</p-n> O ye the sons of men! how long<br> will ye love vanities?<br> How long my glory turn to shame,<br> and will ye follow lies?<br><br> <p-n>3</p-n> But know, that for himself the Lord<br> the godly man doth choose:<br> The Lord, when I on him do call,<br> to hear will not refuse.<br><br> <p-n>4</p-n> Fear, and sin not; talk with your heart<br> on bed, and silent be.<br> <p-n>5</p-n> Off 'rings present of righteousness,<br> and in the Lord trust ye.<br><br> <p-n>6</p-n> O who will show us any good?<br> is that which many say:<br> But of thy countenance the light,<br> Lord, lift on us alway.<br><br> <p-n>7</p-n> Upon my heart, bestowed by thee,<br> more gladness I have found<br> Than they, ev'n then, when corn and wine<br> did most with them abound.<br><br> <p-n>8</p-n> I will both lay me down in peace,<br> and quiet sleep will take;<br> Because thou only me to dwell<br> in safety, Lord, dost make.<br><br>
Psa 5		<h4>	<p-n>Common Metre Tunes</p-n></h4>	<br>To the chief Musician, upon Nehiloth, A Psalm of David.<br><br> <p-n>1</p-n> Give ear unto my words, O Lord,<br> my meditation weigh.<br> <p-n>2</p-n> Hear my loud cry, my King, my God;<br> for I to thee will pray.<br> <p-n>3</p-n> Lord, thou shalt early hear my voice:<br> I early will direct<br> My pray'r to thee; and, looking up,<br> an answer will expect.<br> <p-n>4</p-n> For thou art not a God that doth<br> in wickedness delight;<br> Neither shall evil dwell with thee,<br> <p-n>5</p-n> Nor fools stand in thy sight.<br> All that ill-doers are thou hat'st;<br> <p-n>6</p-n> Cutt'st off that liars be:<br> The bloody and deceitful man<br> abhorr�d is by thee.<br> <p-n>7</p-n> But I into thy house will come<br> in thine abundant grace;<br> And I will worship in thy fear<br> toward thy holy place.<br> <p-n>8</p-n> Because of those mine enemies,<br> Lord, in thy righteousness<br> Do thou me lead; do thou thy way<br> make straight before my face.<br> <p-n>9</p-n> For in their mouth there is no truth,<br> their inward part is ill;<br> Their throat's an open sepulchre,<br> their tongue doth flatter still.<br> <p-n>10</p-n> O God, destroy them; let them be<br> by their own counsel quelled:<br> Them for their many sins cast out,<br> for they 'gainst thee rebelled.<br> <p-n>11</p-n> But let all joy that trust in thee,<br> and still make shouting noise;<br> For them thou sav'st; let all that love<br> thy name in thee rejoice.<br> <p-n>12</p-n> For, Lord, unto the righteous man<br> thou wilt thy blessing yield:<br> With favor thou wilt compass him<br> about, as with a shield.<br>
Psa 6		<h4>	<p-n>Long Metre Tunes</p-n></h4>	Metre version is also available on this page.)<br><br>To the chief Musician on Neginoth upon Sheminith,<br>A Psalm of David.<br><br> <p-n>1</p-n> Lord, in thy wrath rebuke me not;<br> Nor in thy hot rage chasten me.<br> <p-n>2</p-n> Lord, pity me, for I am weak:<br> Heal me, for my bones vexed be.<br><br> <p-n>3</p-n> My soul is also vexed sore;<br> But, Lord, how long stay wilt thou make<br> <p-n>4</p-n> Return, O Lord, my soul set free;<br> O save me, for thy mercies' sake.<br><br> <p-n>5</p-n> Because those that deceased are<br> Of thee shall no remembrance have;<br> And who is he that will to thee<br> Give praises lying in the grave?<br><br> <p-n>6</p-n> I with my groaning weary am,<br> I also all the night my bed<br> Have caused for to swim; and I<br> With tears my couch have watered.<br><br> <p-n>7</p-n> Mine eye, consumed with grief, grows old,<br> Because of all mine enemies.<br> <p-n>8</p-n> Hence from me, wicked workers all;<br> For God hath heard my weeping cries.<br><br> <p-n>9</p-n> God hath my supplication heard,<br> My pray'r received graciously<br> <p-n>10</p-n> Shamed and sore vexed be all my foes,<br> Shamed and back turn�d suddenly.<br><br><br><br>To the chief Musician on Neginoth upon Sheminith,<br>A Psalm of David.<br><br> <p-n>1</p-n> In thy great indignation,<br> O Lord, rebuke me not;<br> Nor on me lay thy chast 'ning hand,<br> in thy displeasure hot.<br><br> <p-n>2</p-n> Lord, I am weak, therefore on me<br> have mercy, and me spare:<br> Heal me, O Lord, because thou know'st<br> my bones much vexed are.<br><br> <p-n>3</p-n> My soul is vexed sore: but, Lord,<br> how long stay wilt thou make?<br> <p-n>4</p-n> Return, Lord, free my soul; and save<br> me, for thy mercies' sake.<br><br> <p-n>5</p-n> Because of thee in death there shall<br> no more remembrance be:<br> Of those that in the grave do lie,<br> who shall give thanks to thee?<br><br> <p-n>6</p-n> I with my groaning weary am,<br> and all the night my bed<br> I caused for to swim; with tears<br> my couch I watered.<br><br> <p-n>7</p-n> By reason of my vexing grief,<br> mine eye consumed is;<br> It waxeth old, because of all<br> that be mine enemies.<br><br> <p-n>8</p-n> But now, depart from me all ye<br> that work iniquity:<br> For why? the Lord hath heard my voice,<br> when I did mourn and cry.<br><br> <p-n>9</p-n> Unto my supplication<br> the Lord did hearing give:<br> When I to him my prayer make,<br> the Lord will it receive.<br><br> <p-n>10</p-n> Let all be shamed and troubled sore,<br> That en'mies are to me;<br> Let them turn back, and suddenly<br> ashamed let them be.<br><br>
Psa 7		<h4>	<p-n>Common Metre Tunes</p-n></h4>	<br>Shiggaion of David, which he sang unto the Lord, concerning the words of Cush the<br>Benjamite.<br><br> <p-n>1</p-n> O Lord my God, in thee do I<br> my confidence repose:<br> Save and deliver me from all<br> my persecuting foes;<br><br> <p-n>2</p-n> Lest that the enemy my soul<br> should, like a lion, tear,<br> In pieces rending it, while there<br> is no deliverer.<br><br> <p-n>3</p-n> O Lord my God, if it be so<br> that I committed this;<br> If it be so that in my hands<br> iniquity there is:<br><br> <p-n>4</p-n> If I rewarded ill to him<br> that was at peace with me;<br> (Yea, ev'n the man that without cause<br> my foe was I did free;)<br><br> <p-n>5</p-n> Then let the foe pursue and take<br> my soul, and my life thrust<br> Down to the earth, and let him lay<br> mine honor in the dust.<br><br> <p-n>6</p-n> Rise in thy wrath, Lord, raise thyself,<br> for my foes raging be;<br> And, to the judgment which thou hast<br> commanded, wake for me.<br><br> <p-n>7</p-n> So shall th' assembly of thy folk<br> about encompass thee:<br> Thou, therefore, for their sakes, return<br> unto thy place on high.<br><br> <p-n>8</p-n> The Lord he shall the people judge:<br> my judge, Jehovah, be,<br> After my righteousness, and mine<br> integrity in me.<br><br> <p-n>9</p-n> O let the wicked's malice end;<br> but stablish stedfastly<br> The righteous: for the righteous God<br> the hearts and reins doth try.<br><br> <p-n>10</p-n> In God, who saves th' upright in heart,<br> is my defense and stay.<br> <p-n>11</p-n> God just men judgeth, God is wroth<br> with ill men ev'ry day.<br><br> <p-n>12</p-n> If he do not return again,<br> then he his sword will whet;<br> His bow he hath already bent,<br> and hath it ready set:<br><br> <p-n>13</p-n> He also hath for him prepared<br> the instruments of death;<br> Against the persecutors he<br> his shafts ordained hath.<br><br> <p-n>14</p-n> Behold, he with iniquity<br> doth travail, as in birth;<br> A mischief he conceived hath,<br> and falsehood shall bring forth.<br><br> <p-n>15</p-n> He made a pit and digged it deep,<br> another there to take;<br> But he is fall'n into the ditch<br> which he himself did make.<br><br> <p-n>16</p-n> Upon his own head his mischief<br> shall be returned home;<br> His vi'lent dealing also down<br> on his own pate shall come.<br><br> <p-n>17</p-n> According to his righteousness<br> the Lord I'll magnify;<br> And will sing praise unto the name<br> of God that is most high.<br><br>
Psa 8		<h4>	<p-n>Common Metre Tunes</p-n></h4>	<br>To the chief Musician upon Gittith, A Psalm of David. <br><br> <p-n>1</p-n> How excellent in all the earth,<br> Lord, our Lord, is thy name!<br> Who hast thy glory far advanced<br> above the starry frame.<br><br> <p-n>2</p-n> From infants' and from sucklings' mouth<br> thou didest strength ordain,<br> For thy foes' cause, that so thou might'st<br> th' avenging foe restrain.<br><br> <p-n>3</p-n> When I look up unto the heav'ns,<br> which thine own fingers framed,<br> Unto the moon, and to the stars,<br> which were by thee ordained;<br><br> <p-n>4</p-n> Then say I, What is man, that he<br> remembered is by thee?<br> Or what the son of man, that thou<br> so kind to him should'st be?<br><br> <p-n>5</p-n> For thou a little lower hast<br> him than the angels made;<br> With glory and with dignity<br> thou crowned hast his head.<br><br> <p-n>6</p-n> Of thy hands' works thou mad'st him lord,<br> all under's feet didst lay;<br> <p-n>7</p-n> All sheep and oxen, yea, and beasts<br> that in the field do stray;<br><br> <p-n>8</p-n> Fowls of the air, fish of the sea,<br> all that pass through the same.<br> <p-n>9</p-n> How excellent in all the earth,<br> Lord, our Lord, is thy name!<br><br>
Psa 9		<h4>	<p-n>Common Metre Tunes</p-n></h4>	<br>To the chief Musician upon Muth-labben, A Psalm of David.<br><br> <p-n>1</p-n> Lord, thee I'll praise with all my heart,<br> thy wonders all proclaim.<br> <p-n>2</p-n> In thee, most High, I'll greatly joy,<br> and sing unto thy name.<br><br> <p-n>3</p-n> When back my foes were turned, they fell,<br> and perished at thy sight:<br> <p-n>4</p-n> For thou maintain'dst my right and cause;<br> on throne sat'st judging right.<br><br> <p-n>5</p-n> The heathen thou rebuked hast,<br> the wicked overthrown;<br> Thou hast put out their names, that they<br> may never more be known.<br><br> <p-n>6</p-n> O en'my! now destructions have<br> an end perpetual:<br> Thou cities razed; perished with them<br> is their memorial.<br><br> <p-n>7</p-n> God shall endure for aye; he doth<br> for judgment set his throne;<br> <p-n>8</p-n> In righteousness to judge the world,<br> justice to give each one.<br><br> <p-n>9</p-n> God also will a refuge be<br> for those that are oppressed;<br> A refuge will he be in times<br> of trouble to distressed.<br><br> <p-n>10</p-n> And they that know thy name, in thee<br> their confidence will place:<br> For thou hast not forsaken them<br> that truly seek thy face.<br><br> <p-n>11</p-n> O sing ye praises to the Lord,<br> that dwells in Zion hill;<br> And all the nations among<br> his deeds record ye still.<br><br> <p-n>12</p-n> When he enquireth after blood,<br> he then rememb'reth them:<br> The humble folk he not forgets<br> that call upon his name.<br><br> <p-n>13</p-n> Lord, pity me; behold the grief<br> which I from foes sustain;<br> Ev'n thou, who from the gates of death<br> dost raise me up again;<br><br> <p-n>14</p-n> That I, in Zion's daughters' gates,<br> may all thy praise advance;<br> And that I may rejoice always<br> in thy deliverance.<br><br> <p-n>15</p-n> The heathen are sunk in the pit<br> which they themselves prepared;<br> And in the net which they have hid<br> their own feet fast are snared.<br><br> <p-n>16</p-n> The Lord is by the judgment known<br> which he himself hath wrought:<br> The sinners' hands do make the snares<br> wherewith themselves are caught.<br><br> <p-n>17</p-n> They who are wicked into hell<br> each one shall turn�d be;<br> And all the nations that forget<br> to seek the Lord most high. <br><br> <p-n>18</p-n> For they that needy are shall not<br> forgotten be alway;<br> The expectation of the poor<br> shall not be lost for aye.<br><br> <p-n>19</p-n> Arise, Lord, let not man prevail;<br> judge heathen in thy sight:<br> <p-n>20</p-n> That they may know themselves but men,<br> the nations, Lord, affright<br><br>
Psa 100		<h4>	<p-n>L.M.</p-n></h4>	<br> <p-n>1</p-n> All people that on earth do dwell,<br> Sing to the Lord with cheerful voice.<br> <p-n>2</p-n> Him serve with mirth, his praise forth tell,<br> Come ye before him and rejoice.<br><br> <p-n>3</p-n> Know that the Lord is God indeed;<br> Without our aid he did us make:<br> We are his flock, he doth us feed,<br> And for his sheep he doth us take.<br><br> <p-n>4</p-n> O enter then his gates with praise,<br> Approach with joy his courts unto:<br> Praise, laud, and bless his name always,<br> For it is seemly so to do.<br><br> <p-n>5</p-n> For why? the Lord our God is good,<br> His mercy is for ever sure;<br> His truth at all times firmly stood,<br> And shall from age to age endure.<br><br>Second Version <br><br><br> <p-n>1</p-n> O all ye lands, unto the Lord<br> make ye a joyful noise.<br> <p-n>2</p-n> Serve God with gladness, him before<br> come with a singing voice.<br><br> <p-n>3</p-n> Know ye the Lord that he is God;<br> not we, but he us made:<br> We are his people, and the sheep<br> within his pasture fed.<br><br> <p-n>4</p-n> Enter his gates and courts with praise,<br> to thank him go ye thither:<br> To him express your thankfulness,<br> and bless his name together.<br><br> <p-n>5</p-n> Because the Lord our God is good,<br> his mercy faileth never;<br> And to all generations<br> his truth endureth ever.<br><br>
