#no sort
GEN 1:1	<p-n>@1. Mose  1:1</p-n>	Im Anfang schuf Gott den Himmel und die Erde.  
GEN 1:2	<p-n>@1. Mose  1:2</p-n>	Und die Erde war wüst und leer, und es lag Finsternis auf der Tiefe, und der Geist Gottes schwebte über den Wassern.  
GEN 1:3	<p-n>@1. Mose  1:3</p-n>	Und Gott sprach: Es werde Licht! Und es ward Licht.  
GEN 1:4	<p-n>@1. Mose  1:4</p-n>	Und Gott sah, daß das Licht gut war; da schied Gott das Licht von der Finsternis;  
GEN 1:5	<p-n>@1. Mose  1:5</p-n>	und Gott nannte das Licht Tag, und die Finsternis Nacht. Und es ward Abend, und es ward Morgen: der erste Tag.  
GEN 1:6	<p-n>@1. Mose  1:6</p-n>	Und Gott sprach: Es soll eine Feste entstehen inmitten der Wasser, die bilde eine Scheidewand zwischen den Gewässern!  
GEN 1:7	<p-n>@1. Mose  1:7</p-n>	Und Gott machte die Feste und schied das Wasser unter der Feste von dem Wasser über der Feste, daß es so ward.  
GEN 1:8	<p-n>@1. Mose  1:8</p-n>	Und Gott nannte die Feste Himmel. Und es ward Abend, und es ward Morgen: der zweite Tag.  
GEN 1:9	<p-n>@1. Mose  1:9</p-n>	Und Gott sprach: Es sammle sich das Wasser unter dem Himmel an einen Ort, daß man das Trockene sehe! Und es geschah also.  
GEN 1:10	<p-n>@1. Mose  1:10</p-n>	Und Gott nannte das Trockene Land; aber die Sammlung der Wasser nannte er Meer. Und Gott sah, daß es gut war.  
GEN 1:11	<p-n>@1. Mose  1:11</p-n>	Und Gott sprach: Es lasse die Erde grünes Gras sprossen und Gewächs, das Samen trägt, fruchtbare Bäume, deren jeder seine besondere Art Früchte bringt, in welcher ihr Same sei auf Erden! Und es geschah also.  
GEN 1:12	<p-n>@1. Mose  1:12</p-n>	Und die Erde brachte hervor Gras und Gewächs, das Samen trägt nach seiner Art, und Bäume, welche Früchte bringen, in welchen ihr Same ist nach ihrer Art. Und Gott sah, daß es gut war.  
GEN 1:13	<p-n>@1. Mose  1:13</p-n>	Und es ward Abend, und es ward Morgen: der dritte Tag.  
GEN 1:14	<p-n>@1. Mose  1:14</p-n>	Und Gott sprach: Es seien Lichter an der Himmelsfeste, zur Unterscheidung von Tag und Nacht, die sollen zur Bestimmung der Zeiten und der Tage und Jahre dienen,  
GEN 1:15	<p-n>@1. Mose  1:15</p-n>	und zu Leuchtern an der Himmelsfeste, daß sie die Erde beleuchten! Und es geschah also.  
GEN 1:16	<p-n>@1. Mose  1:16</p-n>	Und Gott machte die zwei großen Lichter, das große Licht zur Beherrschung des Tages und das kleinere Licht zur Beherrschung der Nacht; dazu die Sterne.  
GEN 1:17	<p-n>@1. Mose  1:17</p-n>	Und Gott setzte sie an die Himmelsfeste, damit sie die Erde beleuchteten  
GEN 1:18	<p-n>@1. Mose  1:18</p-n>	und den Tag und die Nacht beherrschten und Licht und Finsternis unterschieden. Und Gott sah, daß es gut war.  
GEN 1:19	<p-n>@1. Mose  1:19</p-n>	Und es ward Abend, und es ward Morgen: der vierte Tag.  
GEN 1:20	<p-n>@1. Mose  1:20</p-n>	Und Gott sprach: Das Wasser soll wimmeln von einer Fülle lebendiger Wesen, und es sollen Vögel fliegen über die Erde, an der Himmelsfeste dahin!  
