-isme	<p-n>E</p-n> and -<br><p-l>isma </p-l><p-n>D</p-n> -ism.
-kah II	interrogative suffix attached to word or phrase being ques- tioned or to question word in direct or indirect question. <i>Sudah</i>– <i>makan</i>? Have you eaten? <i>Apa</i>– <i>dia</i> <i>sudah</i> <i>datang</i>? Has he arrived? <i>semua</i> <i>warganegara</i>, <i>Jawa</i>– <i>ia</i>, <i>Sunda</i>– <i>ia</i> all citi- zens, be they Javanese, Sundanese.
-ku	shortened form of <i>aku</i> indicating first-person singular pos- sessor, my. <i>rumah</i>– my house.
-lah I	(a particle suffixed to the emphatic word or phrase in the sen- tence) <br><p-l>1 </p-l>softens an imperative. <i>Pergi</i>– <i>sekarang</i>! Leave now! <br><p-l>2 </p-l>shows inversion of subject and predicate. Attached to entire predicate or part of the predicate when it precedes the subject. <i>Pérs</i>– <i>yang</i> <i>mendorong</i> <i>kebangkitan</i> <i>nasional</i>. It’s the press which provides the impetus for national development. <i>Be</i>- <i>rangkat</i>– <i>dia</i>. And then he left. ...<i>pun</i> ...– <p-n>cla</p-n> and then (in nar- rative). <i>Maka</i> <i>permaisuripun</i> <i>beranak</i>– <i>seorang</i> <i>perempuan</i>. And then the princess gave birth to a daughter. – <i>ya</i> [and <p-n>coq</p-n> – <i>yauw</i>] (an emphasizer). <i>nggak</i> – <i>yauw</i> no way!
-nya	 <br><p-l>1 </p-l>his, her, its, their. <i>buku</i>– his/her/its/their book. <br><p-l>2 </p-l>your (indirect second person). “<i>Kampung</i>– <i>di</i> <i>mana</i>?” “Where is your ka- mpung?” <i>Nama</i>– <i>siapa</i>? a) What is his/her name? b) What is your name? <br><p-l>3 </p-l>form of the third-person pronoun used after prepositions or meN- verbs. <i>bertamu</i> <i>dengan</i>– to visit her. <i>memberitahu</i> <i>kepada</i>– to inform him. <i>Mobil</i> <i>itu</i> <i>terbeli</i> <i>oléh</i>–. He could afford to buy that car. <i>melihat</i> <i>dari</i> <i>jauh</i>– to see her from far away. <br><p-l>4 </p-l><i>alangkah</i> (<i>betapa</i>/<i>bukan</i> <i>main</i>)– how ...! <i>Al</i>- <i>angkah</i> <i>mahal</i>– <i>kamus</i> <i>ini</i>! How expensive this dictionary is! <i>Betapa</i> <i>seremnya</i> <i>film</i> <i>itu</i>! How terrifying the film was! <i>Bukan</i> <i>main</i> <i>pintar</i>– <i>mahasiswa</i> <i>itu</i>. How smart that college student is! <br><p-l>5 </p-l><i>yang</i> + noun + -<i>nya</i> whose, of which. <i>Rumah</i> <i>yang</i> <i>jendé</i>- <i>lanya</i> <i>hijau</i> <i>sangat</i> <i>bagus</i>. The house whose windows are green is very nice. <br><p-l>6 </p-l>the other (of a pair or series). <i>yang</i> <i>satu</i>– <i>lagi</i> the other (one). <i>yang</i> <i>satu</i> <i>biru</i>, <i>satu</i>– <i>mérah</i> one is blue, the other is red. <br><p-l>7 </p-l>per, each, a(n). <i>satu</i> <i>pon</i>– 70 cents a pound. <br><p-l>8 </p-l><i>bukan</i>– a) in a statement it suggests “to my mind ... not.” <i>Bukan</i>– <i>besar</i> <i>rumah</i> <i>yang</i> <i>dibelinya</i>. To my mind, the house he bought was not large. b) it’s (not that). In a contradictory statement it ex- presses “not that ... ,” usually followed by another sentence pre- ceded by the conjunction <i>tetapi</i> or <i>melainkan</i>. <i>Bukan</i>– <i>dia</i> <i>bodoh</i> <i>melainkan</i> <i>dia</i> <i>malas</i> <i>saja</i>. It’s not that he is stupid; he’s just lazy. <br><p-l>9 </p-l>(anaphoric) the (aforementioned). <i>Koran</i>– <i>di</i> <i>mana</i>? Where’s the newspaper? <br><p-l>10 </p-l>forms nouns from intransitive or passive verbs or adjectives. <i>tinggi</i>– the height. <i>berat</i>– the weight. <i>pergi</i>– (s.o.’s) going away, leaving. <i>Ketemunya</i> <i>di</i> <i>mana</i>? Where did they meet?
-tah	interrogative suffix expressing doubt or wonder. <i>Apatah</i> <i>faé</i>- <i>dahnya</i>? What use is it, I wonder? <i>Initah</i> <i>gambarannya</i>? Is this his portrait, I wonder.
-wan I	suffix for the formation of male persons, such as <i>wartawan</i>,\netc.
-wati	<p-n>Skr</p-n> suffix for the formation of female persons; <i>cp</i> -WAN, such as <i>wartawati</i>.
3-H	<i>Konsép</i> – <p-n>Bat</p-n> the 3-Ha concept consisting of <i>Hamoraon</i> (Wealth), <i>Hagabéon</i> (Descendants/Prosperity), long life, and <i>Hasangapon</i> (Prestige).
3D	[Duit, Dulur dan Dalit] <p-n>Jv</p-n> Money, Relatives, and Close Unity (in village development).
