if	<p-n>suffix</p-n> bersifat melakukan atau menunjukkan mutu kegiatan:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;"></div></div>
-is	<p-n>noun</p-n> orang yang bergerak atau ahli dalam (insani):<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;"></div></div>
-man	<p-n>suffix</p-n> <h4>Kata turunan</h4> <h4>Frasa dan kata majemuk</h4>
-wati	@-wan	@dewa	@dewi	@mahadewa	@mahadewi	@mahasiswa	@mahasiswi	@muda	@mudi	@pemuda	@pemudi	@saudara	@saudari	@siswa	@siswi	<p-n>noun</p-n> bentuk feminin dari -wan<div class="form_of">Form of: -wan</div>
1	<p-n>symbol</p-n> angka satu (1).
a	<p-n>character</p-n> <ol><li>huruf pertama abjad Indonesia<br></li><li>nama huruf a<br></li><li>penanda pertama dl urutan (mutu, nilai, dsb)<br></li><li>nada keenam dl tangga nada C mayor<div class="tags"><b>music</b></div><br></li></ol>
a.s.	<p-n>noun</p-n> <p-n>acronym</p-n> gelar yang diberikan kepada nabi dan rasul, selain Nabi Muhammad, serta malaikat, artinya 'semoga keselamatan dilimpahkan kepadanya'; dari alaihi salam<div class="tags"><b>Islam</b></div>
ab	<p-n>noun</p-n> <ol><li>wadah kecil dari timah untuk candu; hap<br></li><li><p-n>archaic</p-n> ayah<br></li></ol>
aba	@aba-aba	<p-n>noun</p-n> <p-n>alt-of</p-n> variasi dari kata abah
aba	@aba-aba	<p-n>noun</p-n> isyarat berupa bunyi ketukan
aba-aba	<p-n>noun</p-n> <ol><li>kata-kata yang digunakan untuk memberi arahan atau perintah, umumnya dalam baris-berbaris dan pertandingan.<br></li><li>pertanda yang diberikan untuk menjalankan sebuah tindakan, baik berupa audio atau tampilan visual.<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;"><ul><li>Senopati Pamungkas</li><li><b>translation</b>: Tanpa menunggu aba-aba, para prajurit bergerak lugas.</li></ul></div></div><br></li></ol>
abab	<p-n>noun</p-n> embusan udara yang keluar dari mulut
abab	<p-n>noun</p-n> bau yang keluar dari rongga mulut
abad	<p-n>noun</p-n> <ol><li>masa seratus tahun<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">bangunan itu diperkirakan dapat bertahan satu abad</div></div><br></li><li>jangka waktu yang lamanya seratus tahun:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">abad ke-20 mulai pada tahun 1901 sampai tahun 2000</div></div><br></li><li>zaman (yang lamanya tidak tentu)<br></li><li>masa yang kekal, tidak berkesudahan<br></li></ol>
abad keemasan	<p-n>noun</p-n> masa kegemilangan dan kejayaan yang dialami suatu bangsa atau negara dalam sejarahnya; zaman keemasan
abad komputer	<p-n>noun</p-n> zaman modern yang orang-orangnya memanfaatkan komputer dalam menyimpan dan mengolah data
abad modern	<p-n>noun</p-n> masa atau zaman yang ditandai dengan kemajuan peradaban manusia (penemuan baru bidang teknologi dsb)
abad pertengahan	<p-n>noun</p-n> kurun waktu sekitar tahun 500-1500 dalam sejarah peradaban atau kebudayaan Eropa Barat
abadi	<p-n>adj</p-n> kekal; tidak berkesudahan:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">di dunia ini tidak ada yang abadi</div></div>
abadiah	<p-n>noun</p-n> kekekalan
abadikan	<p-n>verb</p-n> bentuk transitif dari mengabadikan<div class="form_of">Form of: mengabadikan</div>
abadikanlah	<p-n>verb</p-n> bentuk imperatif dari abadikan<div class="form_of">Form of: abadikan</div>
abah	@abah-abah	<p-n>noun</p-n> arah; tuju:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">tidak tentu abahnya</div></div>
abah-abah	<p-n>noun</p-n> <ol><li>alat; perkakas;<br></li><li>tali-temali;<br></li></ol>
abahkan	<p-n>verb</p-n> bentuk transitif dari mengabahkan<div class="form_of">Form of: mengabahkan</div>
abahkanlah	<p-n>verb</p-n> bentuk imperatif dari abahkan<div class="form_of">Form of: abahkan</div>
abai	<p-n>adj</p-n> <ol><li>tidak dipedulikan (tidak dikerjakan baik-baik, tidak dipentingkan, dsb)<br></li><li>lalai:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">sebagai seorang ayah, ia abai dari kewajiban keluarga</div></div><br></li></ol>
abaian	<p-n>noun</p-n> <p-n>literary</p-n> penghilangan atau pengubahan bagian naskah yang tidak dipahami lagi oleh penyalin
abaikan	<p-n>verb</p-n> bentuk transitif dari mengabaikan<div class="form_of">Form of: mengabaikan</div>
abaikanlah	<p-n>verb</p-n> bentuk imperatif dari abaikan<div class="form_of">Form of: abaikan</div>
abaimana	<p-n>noun</p-n> <ol><li><p-n>archaic</p-n> lubang pelepasan; dubur<br></li><li>kemaluan<br></li></ol>
abaka	<p-n>noun</p-n> tumbuhan yang seratnya dibuat tali belati; Musa textilis
abaktinal	<p-n>adj</p-n> berkenaan dengan sisi tubuh yang tidak mengandung mulut, seperti pada binatang laut<div class="tags"><b>biology</b></div>
abakus	<p-n>noun</p-n> <ol><li>dekak-dekak; swipoa; sempoa<br></li><li>lempeng datar di atas kepala tiang dengan pinggiran cekung atau beralur<div class="tags"><b>architecture</b></div><br></li></ol>
abampere	<p-n>noun</p-n> satuan arus elektrik dalam sistem sentimeter-gram-sekon (cgs) elektromagnetik
aban	@aban-aban	<p-n>noun</p-n> sebutan bagi duda dalam masyarakat Dayak Kayan<div class="tags"><b>anthropology</b></div>
abangan	<p-n>noun</p-n> golongan masyarakat yang menganut agama Islam, tetapi tidak melaksanakan ajaran secara keseluruhan
abangan	<p-n>noun</p-n> talang air pada atap rumah dsb
abangga	<p-n>noun</p-n> sikap berdiri sebuah arca<div class="tags"><b>archaeology</b></div>
abangku	<p-n>noun</p-n> bentuk posesif orang pertama dari abang; abang saya/aku<div class="form_of">Form of: aku</div>
abangmu	<p-n>noun</p-n> bentuk posesif orang kedua dari abang; abang kamu/Anda<div class="form_of">Form of: kedua</div>
abar	@abar-abar	<p-n>noun</p-n> <h4>Kata turunan</h4> <h4>Frasa dan kata majemuk</h4>
