ថបនីយវត្ថុ,"<br>1). See: ឋបនីយវត្ថុ."
ធម៌សុចរិត,"[tʰoa soʔcaʔrɨt] [[ធម៌]] [[សុចរិត]] <br>1). honesty."
គ្រន្ថី,"[krʊəntʰəy] <br>1). n gland. Sanskrit granthi 'knot
ម៉ោង៥កន្លះល្ងាច,"[maoŋ ------ kɑnlah lŋiec] [[ម៉ោង]] [[៥]] [[កន្លះ]] [[ល្ងាច]] <br>1). <br>50). :30 p.m. (half past five in the evening)."
អនុសោក,"[ʔaʔnuʔsaok] <br>1). n frequent feelings of sorrow;<br> unforgettable remorse. Pali anu-;<br> soka 'grief.'"
សម្រង់,"[sɑmrɑŋ] <br>1). n abstract
ជ្រៀតពាក្យ,"[criət piek] [[ជ្រៀត]] [[ពាក្យ]] <br>1). to insert a word (between other words)."
ខ្សឹបខ្សៀវ,"[ksəp ksiəv] [[ខ្សឹប]] [[ខ្សៀវ]] <br>1). ខ្សឹប
ពំនូត,"[pumnuut] <br>1). n ball (of rice);<br> tablet. See: ពូត."
ធ្វើការរអាក់រអួល,"[tvəə kaa rɔʔak-rɔʔuəl] [[ធ្វើការ]] [[រអាក់រអួល]] <br>1). to work hesitantly or interruptedly."
ស្រួចរលែម,"[sruǝc rɔlɛɛm] [[ស្រួច]] [[រលែម]] <br>1). very sharp-pointed.<br>#..). រលែម"
កិត្តិសព្ទ,"[ketteʔsap] <br>1). n good reputation
ច្រត់លើតុ,"[crat lǝǝ tok] [[ច្រត់]] [[លើ]] [[តុ]] <br>1). to lean on a table."
ប្រហែលគ្នា,"[prɑhael knie] [[ប្រហែល]] [[គ្នា]] <br>1). similar
ទឹកមាត់ប្រៃ,"[tɨk moat pray] [[ទឹកមាត់]] [[ប្រៃ]] <br>1). having gained admiration from the audience
ច្រោក,"[craok] <br>1a). p very sharp (as a razor). <br>1b). a sharply. <br>2). i sound of water dripping on leaves. <br>3a). p fluent. <br>3b). a fluently (in reading)."
ក្រោមអធិបតីភាពនៃលោក,"[kraom ʔaʔtʰippaʔdəy pʰiep ney look~lookaʔ] [[ក្រោម]] [[អធិបតីភាព]] [[នៃ]] [[លោក]] <br>1). ... under the presidency of Mr..."
សន្សើមត្រោស,"[sɑnsaǝm trɑh] [[សន្សើម]] [[ត្រោស]] <br>1). heavy dew. See: សន្សើមថ្លោស"
វាររវើក,"[vie rɔvəək] [[វារ]] [[រវើក]] <br>1). to crawl around
ទេវតាសង្ហរឲ្យយល់,"[teiveaʔ taa sɑŋ~sɑŋhɑɑ ʔaoy yʊəl] [[ទេវតា]] [[សង្ហរ]] [[ឲ្យ]] [[យល់]] <br>1). the god leads the mind to the understanding of..."
កំណត់​បាត់​ការ​,"<br>1). official memorandum/order."
បាចទឹកទូក,"[baac tɨk tuuk] [[បាចទឹក]] [[ទូក]] <br>1). to bail out a boat."
អាណត្តិប្រៃសណីយ,"[ʔaanat~ʔaanatteʔ ------] [[អាណត្តិ]] [[ប្រៃសណីយ]] <br>1). money order."
ឈើសាច់ស្លាយ,"[cʰəə sac slaay] [[ឈើ]] [[សាច់]] [[ស្លាយ]] <br>1). soft wood."
មគធ,"[meaʔkeaʔtʰeaʔ] <br>1). n name of a region in India
ចាក់ថ្នោលស្ទង់ទឹក,"[cak tnaol stɔǝŋ tɨk] [[ចាក់]] [[ថ្នោល]] [[ស្ទង់ទឹក]] <br>1). to probe the depth of water with a long pole."
អាឡោះអាល័យ,"[ʔaalɑh ʔaalay] [[អាឡោះ]] [[អាល័យ]] <br>1). to be nostalgic about<br>#..). p to be nostalgic about
សាមីការ,"[saamǝy kaa] [[សាមី]] [[ការ]] <br>1). foreman of a project
ច្រោង,"[craoŋ] <br>1a). a with feet off the ground (up in the air). <br>1b). p to be uprooted (with the roots up in the air)."
