Kalyani	កល្យាណី   F  beautiful woman, attractive woman, lovely woman    
Achariya	អច្ឆរិយា  U  wonderful, marvelous    
Adikavi	អាទិ​កវី  M  the original poet, the first poet, poet before any other poet    
Adit	អតីត  M  past    
Aditep	អាទិ​ទេព  M  the first god, the primal god, god before any other god    
Aditya	អាទិត្យា  M  the sun-god; son of Aditi; name of the luminous celestial body around which the earth and other planets revolve; 40th and 563rd names of Vishnu (preserver of the universe); Aditya is the golden being residing in the orb of the Sun (from the Bhagavad Gita)    
Aek	ឯក  U  one    
Akhara	អក្ខរា  F  letter    
Akney	អគ្នេយ៍   U  Southeast
Aknung	អនង្គ  F  charming girl ; epithet of the Indian Love-god គ្អាមា
Akrun	អរុណ  M  morning sun; name of the sun god
Akrunny	អរុណី  F  morning sun
Amara	អមរា  F  deity
Amara	អមរា  F  the immortal, the one that lasts forever, the gods
Amarak	អមរ  M  immortal, deity, angel, spirit, supernatural being 
Amarakanya	អមរា​កញ្ញា  F  young goddess, adolescent goddess
Amarakburak	អមរ​បុរៈ  M  city of the gods, the god's citadel
Amarakroth	អមរ​រ័ត្ន   F  diamond
Amaran	អមរាន  M  the immortal, the one that lasts forever, the gods
Amaratna	អមរា​រតនា  U  god's gem, eternal gem, diamond
Amaravaddi	អមរ​បតី  F  abode of the immortals, paradise, heaven
Amarin	អមរិន្ទ  M  immortal, deity, angel, spirit, supernatural being 
Amarindra	អមរិន្ដ្រា  F  leader of the immortals, ruler of the gods
Amarindrapura	អមរ​បព៌  M  celestial citadel of Indra; god of all gods; name of the capital during reign of Khmer Empire founder Jayavarman II (
Amnot	អំណត់  F  patience, composure, poise, self-control, calmness, repose, serenity
Ampho	អម្ពរ  F  fabric, sky
Anchaly	អញ្ជលី  U  hand
Angkea	អង្គារ   F  Tuesday; the planet Mars; a kind of tall tropical tree in Cambodia well known for its mildly fragrant yellow flowers which bloom during the months of April and May after all the leaves have already fallen off
Anun	អានន្ទ  M  happiness, joy, satisfaction, merriment, gaiety, rejoicing, gladness; Ananda (first cousin and one of the main disciples of the Gautama Buddha)
Apsara	អប្សរា  F  angel
Ary	អារី  F  knowledge
Athikreach	អាទិ​រាជ  M  the initial king, the first king, king before any other king
Athith	អាទិត្យ  M  Sunday
Atichavong	អាទិ​វង្ស  M  aticha + vong (dynasty) : dynasty of the sun-god
Atik	អាទិ  M  basis, first thing, origin, starting point, cause; principle; base; foundation. 
Bo	បូព៌  U  east
Bona	ប៊ុណ្ណា  M  boy; man
Bopha	បុប្ផា  F  beautiful flowers
Bora	បុរ៉ា  M  ancient
Boramey	បូណ៌មី  F  day of the full moon
Boran	បុរាណ  M  ancient
Borey	បូរី  U  country, great city
