ben	bdef
à Kempis, Thomas	[author of *The Imitation of Christ*, which is one of the best known Christian books on devotion (c. 1380-1471)] <p-l>ថូម៉ាស អាកែមពីស។</p-l>
Aaron	(brother of Moses and Israel's first high priest) <p-l>អើរ៉ុន</p-l>
Aaronids	(the descendants of Aaron) <p-l>កូនចៅអឺរ៉ុន</p-l>
Abba	(Aramaic "father") <p-l>«អ័ប្បា» (ភាសាអ៊ីរ៉ាម)</p-l>
Abbael, King.../Abban I	(King of Aleppo, in northern Syria from c. 1760 BC) <p-l>ស្ដេច អាប់បាអែល។</p-l>
abbey	(a church building attached to a community of Christian monks governed by an abbot) <p-l>វិហារសាសនា។</p-l>
abbot	(the superior of an abbey of Christian monks) <p-l>ចៅអធិការនៃកុដិគ្រីស្ទបរិស័ទ</p-l>
Abdi-Ashirta	(a ruler of Amurru, southern Syria, in 14th Century BC) <p-l>អាប់ឌី អាស៊ីតា</p-l>
Abdi-Khepa, King...	[a local chieftain of Jerusalem (called Urasalim at that time) during the mid-1330's BC and an author of the Amarna Letters] <p-l>ស្តេចអាប់ឌី ខេប៉ា។</p-l>
Abdi-tirsi	(King of Hazor in 14th Century BC and author of an Amarna Letter) <p-l>ស្ដេច អាប់ឌីទើរស៊ី។</p-l>
Abel	(Adam and Eve's second son) <p-l>អេបិល</p-l>
Abel-keramim	(name of a settlement in Transjordan) <p-l>អេបិល កេរ៉ាមីម</p-l>
Abel-maim	(name of a settlement in Transjordan) <p-l>អេបិល ម៉ែម</p-l>
Abel-mizraim	(name of a settlement in Transjordan) <p-l>អេបិល មីសរ៉ែម</p-l>
Abiathar	<p-l>អ័បៀថើរ</p-l>
Abib	(the first month of the Israelite year, beginning with the new moon after the barley has ripened) <p-l>ខែអាប៊ីប។</p-l>
abide	(vb) (to remain faithful to) <p-l>ស្មោះត្រង់ចំពោះ</p-l>
Abigail	(wife of Nabal, and of King David) <p-l>នាងអីប៊ីកែល</p-l>
Abila, City of...	(an ancient city NW of Damascus, on the Barada River, and the centre of the Abilene region) <p-l>ក្រុងអាប៊ីឡា។</p-l>
Abimael	(son of Joktan, son of Eber) <p-l>អីប៉ីម៉ែល</p-l>
Abimelech	<p-l>អំប៊ីម៉ាឡិច</p-l> (king of Gerar) <p-l>ស្តេចអីប៊ីម៉ាឡិច</p-l>
Abimilki	[mayor of Tyre (Surru) in mid-14th Century BC and an author of the Amarna Letters] <p-l>អាប៊ីមអ៊ីធី។</p-l>
ablution	(ritual washing of a priest's hands and of sacred vessels) <p-l>ពីធីលាងសំអាត</p-l>
abode	(a place where one lives) <p-l>ទីលំនៅ</p-l>
abolish	(vb) (to do away with, to put an end to) <p-l>លុបបំបាត់</p-l> abolition <p-l>ការលុបបំបាត់</p-l>
abomination	(a person or thing that is disgusting or loathsome) <p-l>ការគួរឲ្យស្អប់ខ្ពើម (គ.ប : ការ គួរឲ្យស្អប់ខ្ពើម គ.ខ.ប: អ្នកគួរស្អប់ខ្ពើម)។</p-l>
Aboth	(alternatively known as "Chapters of the Fathers" is a Mishnah tract that is a compendium of practical ethics, consisting mainly of maxims by the Jewish Fathers) <p-l>«អាបូត»។</p-l>
Abraham	(NBD) <p-l>អ័ប្រាហាំ</p-l>
Abraham. Apocalypse of...	(a pseudopigraphic work based on the OT, probably composed 70-150 AD and considered to be Jewish apocalyptic literature) <p-l>ឯកសារ «វិវរណៈនៃអ័ប្រាហាំ»។</p-l>
Abrahamic	(adj) (belonging to Abraham) <p-l>នៃអ័ប្រាហាំ</p-l>
Abrahamic Covenant	(establishes Abraham and his chosen descendants as the inheritors of God's promises) <p-l>សម្ពន្ធមេត្រីរបស់អ័ប្រាហាំ។</p-l>
Abraham's bosom	<p-l>ដើមទ្រូងលោកអ័ប្រាហាំ</p-l>
Abram	(son of Terah) <p-l>អាប់រ៉ាម</p-l>
abrogate	(vb) (to cancel or revoke formally) <p-l>ទុកជាមោឃៈ</p-l> (informal) <p-l>លុបចោល</p-l>
Absalom	(third son of King David) <p-l>អាប់សាឡឹម</p-l>
absolute	(adj) (having unlimited authority) <p-l>ដែលមានអំណាចដាច់ខាត</p-l>
Absolute, the...	(reference to God focusing upon his total authority) <p-l>ព្រះដែលមានអំណាចពេញ លេញ។</p-l>
absolution	(Roman Catholicism: a formal remission of sin, generally pronounced by a priest in the sacrament of penance) <p-l>ការប្រកាសការលើកលែងទោសដោយសង្ឃ។</p-l>
Absolution	(the forgiveness of sin by and through Jesus Christ) <p-l>ការលើកលែងទោសដោយព្រះ យេស៊ូវគ្រីស្ទ។</p-l>
absolve	(vb) (to pronounce not guilty) <p-l>លើកលែងទោស</p-l>
absorb	(vb) (to engage or occupy the interest, attention or time of someone) <p-l>ជក់ចិត្ត</p-l> selfabsorbed <p-l>ជក់ចិត្តនៅតែម្នាក់ឯង។</p-l>
abstinence	(restraint from some action or pleasure) <p-l>ការតម</p-l>
abstract	(adj) (having no reference to material objects or specific examples) <p-l>អរូបី</p-l> (informal) <p-l>ដែលអត់មានរូប។</p-l>
abundance	(a copious supply) <p-l>ភាពពេញបរិបូរ (គ.បៈ : ពេញបរិបូរ គ.ខ.បៈ : ពេញបរិបូរណ៍)</p-l>
Abydos, City of...	(an important Egyptian city predating the Dynastic Period and former capital of Upper Egypt) <p-l>ក្រុងអាប៊ីដូស។</p-l>
abyss, the...	(an immeasurably deep gulf or pit - see Rev. 20:3) <p-l>ជង្ហុកធំ (គ.បៈ : ជង្ហុកធំ គ.ខ.បៈ : ស្ថាននរក-អវិចី)។</p-l>
acacia wood	(a close grained wood well suited for construction) <p-l>ឈើនាងនួន</p-l>
accession	(the act of entering upon) <p-l>ការចូលរួម</p-l>
Acco	(also known as Akko or Acre, a seaport in western Galilee that is one of the oldest inhabited sites in Israel) <p-l>ក្រុងអាកូ។</p-l>
accolade	(strong praise or approval) <p-l>ការសរសើរ</p-l>
account	(a written description or narration of an occurence) <p-l>រឿងរ៉ាវ</p-l>
account	(vb) (to assess, to judge) <p-l>គិតវាយតម្លៃ ប៉ាន់ស្មាន</p-l>
accountability	(n) (action of being held responsible to someone or for some action) <p-l>ភាព</p-l>
អាចទទួលខុសត្រូវ [(គ.បៈ :	<p-l>ជាប់មានទោស ទារពីដៃ រៀបរាប់ប្រាប់) (គ.ខ.ប: ទទួលទោស... ទារ ត្រូវធ្វើរបាយការណ៍)]។</p-l>
accursed	(adj) (subject to a curse, doomed) <p-l>ដែលត្រូវបណ្តាសា</p-l>
accuse	(vb) (to charge with a fault or a crime) <p-l>ចោទប្រកាន់</p-l> accused (n) <p-l>អ្នកដែលគេចោទប្រកាន់</p-l>
accuser	(n) <p-l>អ្នកចោទប្រកាន់។</p-l>
Achaemenid Empire	(also known as the First Persian Empire, founded in 6th Century BC by Cyrus the Great who overthrew the Median Federation and at c. 500 BC extended from the Indus Valley to the border of Greece) <p-l>ចក្រភពអាឃីមែនីដ។</p-l>
Achaia, Country of...	(a Roman province enbracing almost all of Greece) <p-l>ស្រុកអាខៃ</p-l>
Achan	(an Israelite who pillaged goods that were consecrated to the Lord - Joshua 7) <p-l>អេកាន</p-l>
Achish, King...	(two Philistine rulers of Gath) <p-l>ស្តេចអីគីស</p-l>
Achsah	(daughter of Caleb) <p-l>នាងអាកសា</p-l>
Achzib, City of...	(located in Judah, in the lowlands west of Dead Sea) <p-l>ក្រុងអាក់ស៊ីប</p-l>
acknowledge	(vb) (to recognize or admit the existence, truth or reality of) <p-l>ទទួលស្គាល់</p-l>
acquit	(vb) (to deliver and release a person appearing before a court on a charge of crime, as by a finding of not guilty) <p-l>សម្រេចឲ្យរួចទោស</p-l> acquittal (n) <p-l>ការឲ្យរួចខ្លួនជ្រះ ស្រឡះ សេចក្តីសម្រេចគ្មានទោស។</p-l>
