#desc	Khmer (ព្រះគម្ពីរបរិសុទ្ធកែសម្រួល ២០១៦)" status="© 2016 United Bible Societies" <a href="https://www.bible.com/bible/2227/GEN.7.គកស១៦">bible.com</a>
#priority	3
#no sort
GEN 1:1	@<p-n>លោកុប្បត្តិ 1:1</p-n>	កាល​ដើម​ដំបូង​ឡើយ ព្រះ​បាន​បង្កើត​ផ្ទៃ​មេឃ និង​ផែន‌ដី។
GEN 1:2	@<p-n>លោកុប្បត្តិ 1:2</p-n>	ផែន‌ដី​គ្មាន​រូប​រាង នៅ​ទទេ មាន​តែ​ភាព​ងងឹត​នៅ​គ្រប​លើ​ជម្រៅ​ទឹក ហើយ​ព្រះ‌វិញ្ញាណ របស់​ព្រះ​ក៏​រេរា​ពី​លើ​ផ្ទៃ​ទឹក។
GEN 1:3	@<p-n>លោកុប្បត្តិ 1:3</p-n>	ព្រះ​មាន​ព្រះ‌បន្ទូល​ថា៖ «ចូរឲ្យ​មាន​ពន្លឺ» នោះ​ពន្លឺ​ក៏​មាន​ឡើង ។
GEN 1:4	@<p-n>លោកុប្បត្តិ 1:4</p-n>	ព្រះ‌ទ្រង់​ទត​ឃើញ​ថា ពន្លឺ​នោះ​ល្អ​ហើយ ព្រះ​ក៏​ញែក​ពន្លឺ​ចេញ​ពី​ភាព​ងងឹត។
GEN 1:5	@<p-n>លោកុប្បត្តិ 1:5</p-n>	ព្រះ​ហៅ​ពន្លឺ​ថា "ថ្ងៃ" ហើយ​ហៅ​ភាព​ងងឹត​ថា "យប់" នោះ​ក៏​មាន​ល្ងាច មាន​ព្រឹក ជា​ថ្ងៃ​ទី​មួយ។
GEN 1:6	@<p-n>លោកុប្បត្តិ 1:6</p-n>	បន្ទាប់​មក ព្រះ​មាន​ព្រះ‌បន្ទូល​ថា៖ «ចូរ​ឲ្យ​មាន​លំហ​មួយ​នៅ​កណ្ដាល​ទឹក ដើម្បី​ញែក​ទឹក​ចេញ​ពី​គ្នា»។
GEN 1:7	@<p-n>លោកុប្បត្តិ 1:7</p-n>	ព្រះ​បាន​ធ្វើ​ឲ្យ​មាន​លំហ ហើយ​ញែក​ទឹក​ដែល​នៅ​ក្រោម​លំហ​ចេញ​ពី​ទឹក​ដែល​នៅ​លើ​លំហ នោះ​ក៏​កើត​មាន​ដូច្នោះ​មែន។
GEN 1:8	@<p-n>លោកុប្បត្តិ 1:8</p-n>	ព្រះ​ហៅ​លំហ​នោះ​ថា "មេឃ" នោះ​ក៏​មាន​ល្ងាច មាន​ព្រឹក​ឡើង ជា​ថ្ងៃ​ទី​ពីរ។
GEN 1:9	@<p-n>លោកុប្បត្តិ 1:9</p-n>	បន្ទាប់​មក ព្រះ​មាន​ព្រះ‌បន្ទូល​ថា៖ «ចូរ​ឲ្យ​ទឹក​ដែល​នៅ​ក្រោម​មេឃ ប្រមូល​ផ្ដុំ​គ្នា​នៅ​កន្លែង​តែ​មួយ ហើយ​ឲ្យ​មាន​ទី​គោក​ដុះ​ឡើង» នោះ​ក៏​កើត​មាន​ដូច្នោះ​មែន។
GEN 1:10	@<p-n>លោកុប្បត្តិ 1:10</p-n>	ព្រះ​ហៅ​ទី​គោក​នោះ​ថា "ដី" ហើយ​ទឹក​ដែល​ប្រមូល​គ្នា​នោះ​ថា "សមុទ្រ" ព្រះ​ក៏​ទត​ឃើញ​ថា​ល្អ។
GEN 1:11	@<p-n>លោកុប្បត្តិ 1:11</p-n>	ព្រះ​មាន​ព្រះ‌បន្ទូល​ថា៖ «ចូរ​ឲ្យ​‌ដី​ដុះ​ចេញ​ជា​តិណ‌ជាតិ ជា​ធញ្ញជាតិ​ដែល​មាន​គ្រាប់ និង​រុក្ខ​ជាតិ​ដែល​មាន​ផ្លែ​តាម​ពូជ ហើយ​មាន​គ្រាប់​ក្នុង​ផ្លែ​នោះនៅ​លើ​ផែន​ដី» នោះ​ក៏​កើត​មាន​ដូច្នោះ​មែន។
