#desc	ANT dictionary from <a href="https://antkh.com">antkh.com</a>
#priority	3
កក	1.(បច្ចេកទេស) (ការកក) Agglutination, coagulation, clotting  2.(បច្ចេកទេស) Coagulate, clot, agglutinate, frost, deposit <br/>កិរិយាសព្ទ 1.To be frozen; to become coagulated.. <br/>▪ បង្កក ក្លាយមកពីពាក្យ កក<br/>
កកខ្ទុះក្នុងតំរងនោម	នាម 1.(បច្ចេកទេស) (ការកកខ្ទុះក្នុងតំរងនោម) Periodontitis, pyorrhea <br/>
កកដុំៗ	1.(បច្ចេកទេស) (ដែលកកដុំៗ) Clotted, curdled, grainy, grumous <br/>
កករ	1.Sediment, impurity in a liquid, residue. <br/>នាម 1.(បច្ចេកទេស) Deposit  2.(បច្ចេកទេស) (ដែលមានកករ) Colloidal  3.(បច្ចេកទេស) Colloidally <br/>
កករទឹកនោម	នាម 1.(បច្ចេកទេស) Urinary pellet, urinary sediment <br/>
កកស្ទះ	នាម 1.(បច្ចេកទេស) (ការកកស្ទះ) Indigestion, jam <br/>គុណនាម 1.(បច្ចេកទេស) (ដែលកកស្ទះ) Congesitive <br/>
កកស្ទះគំរោង	នាម 1.(បច្ចេកទេស) (ការកកស្ទះគំរោង) Project indigestion <br/>
កកស្ទះចរាចរ	នាម 1.(បច្ចេកទេស) (ការកកស្ទះចរាចរ) Traffic jam <br/>
កកាត	1.Almost gone only a little left.<br/>ឧទាហរណ៍៖ ទឹកសម្លនៅសល់កកាតនឹងបាតឆ្នាំង<br/>Example: There's only a little soup left at the bottom of the pot. <br/>
កកាយ	កិរិយាសព្ទ 1.To scratch (as a hen scratching the ground), to make a hole in the ground, to scratch repeatedly until a hole is made in the ground. <br/>
កកិចកកុច	1.Tricky, bad, insincere, wicked, untrustworthy. <br/>
កកិដ	1.Zodiacal sign of the crab, corresponding to July. <br/>
កកិត	នាម 1.(បច្ចេកទេស) (ការកកិត) Friction, chafing, rubbing <br/>កិរិយាសព្ទ 1.To move close to; to be neck and neck; to sideswipe (as two cars) ; to touch lightly. <br/>
កកិល	កិរិយាសព្ទ 1.To move something little by little; to move little by little on one's buttocks. <br/>
កកូរ	កិរិយាសព្ទ 1.To stir often many times. to mix, to beat. <br/>
កកូលភាព	នាម 1.Hardness, toughness; lasting value. <br/>
កកួរ	នាម 1.(បច្ចេកទេស) Panicle base <br/>
កកើត	កិរិយាសព្ទ 1.To build, construct. ▪ ស្មើនឹង​ពាក្យ ៖ ក<br/>
កកើតកោសិកាក្រហម	នាម 1.(វេជ្ជសាស្ត្រ) Haematopoiesis, hematopoiesis, sanguification <br/>
កកើតគភ៌	នាម 1.(វេជ្ជសាស្ត្រ) (ការកកើតគភ៌) Conception, fecundation, fertilization, impregnation, insemination <br/>
កកើតដង្កូវ	នាម 1.(បច្ចេកទេស) (ការកកើតដង្កូវ) Myiasis <br/>
កកើតថ្មីនៃជាលិកា	នាម 1.(វេជ្ជសាស្ត្រ) (ការកកើតថ្មីនៃជាលិកា) Neoplasm <br/>
កកើតភ្លុកធ្មេញថ្មី	នាម 1.(បច្ចេកទេស) (ការកកើតភ្លុកធ្មេញថ្មី) Dentification, dentinification, dentinogenesis <br/>
កកើតមិនពេញលេញ	នាម 1.(បច្ចេកទេស) (ភាពកកើតមិនពេញលេញ) Hypoplasia, hypoplasty <br/>
កកើតលក្ខណៈអភេទ	នាម 1.(វេជ្ជសាស្ត្រ) Asexual multiplication, asexual repliction, asexual reproduciton <br/>
កកើតឡើងវិញ	នាម 1.(បច្ចេកទេស) (ការកកើតឡើងវិញ) Regeneration <br/>កិរិយាសព្ទ 1.(បច្ចេកទេស) Regenerate <br/>
កកេបកកាប	កិរិយាវិសេសន៍ 1.Feverishly. <br/>
កកេរ	កិរិយាសព្ទ 1.To gnaw, to nibble (of an animal) , to eat by nibbling.<br/>ឧទាហរណ៍៖ ឆ្កែកកេរឆ្អឹង<br/>Example: The dog gnaws (on) the bone. <br/>
កកេះ	កិរិយាសព្ទ 1.To scratch often; to insist often on something (as a ruse) ▪ ក្លាយមកពីពាក្យ ៖ កេះ<br/>
កកែកករ	កិរិយាសព្ទ 1.To utter, to mumble (as a baby starting to talk) <br/>
កកែងកកោង	1.Ride, impolite, pretentious. <br/>
កកែប	នាម 1.Fetlock <br/>
កកោក	កិរិយាវិសេសន៍ 1.Loudly, noisily, talkatively. <br/>
កកោស	កិរិយាសព្ទ 1.To scrape carelessly. <br/>
កកោះ	នាម 1.Kind of tree [the wood is, used to make furniture and house columns]. <br/>
កក់	នាម 1.(បច្ចេកទេស) (ការកក់) Reservation  2.Shower head.  3.A type of reed used for weaving mats.. <br/>កិរិយាសព្ទ 1.(បច្ចេកទេស) Make a reservation  2.To wash; to clean, to soak (in order to clean) ; to wet (of rain) <br/>
កក់ក្ដៅ	1.Warm, affectionate; to comfort, to keep warm. <br/>
កក់ក្បាល	កិរិយាសព្ទ 1.To wash the head. <br/>
កក់ច្រើន	នាម 1.(បច្ចេកទេស) (ការកក់ច្រើន) Block booking <br/>
កក់ឆ័ត្រ	នាម 1.(បច្ចេកទេស) Umbrella sedge <br/>
កក់ជាក្រុម	នាម 1.(បច្ចេកទេស) (ការកក់ជាក្រុម) Group booking <br/>
កក់ជាន់គ្នា	នាម 1.(បច្ចេកទេស) (ការកក់ជាន់គ្នា) Double booking <br/>
កក់ទាំងអស់	កិរិយាសព្ទ 1.(បច្ចេកទេស) Book up <br/>
កក់បន្ទប់	នាម 1.(បច្ចេកទេស) (ការកក់បន្ទប់) Room reservations <br/>
កក់បន្ទប់តាមទូរសព្ទ	នាម 1.(បច្ចេកទេស) (ការកក់បន្ទប់តាមទូរសព្ទ) Telephone booking <br/>
កក់បន្ទេល	នាម 1.(បច្ចេកទេស) Scirpus grossus <br/>
កក់ប្រាក់	កិរិយាសព្ទ 1.(បច្ចេកទេស) Pay money down, deposit <br/>
កក់យឺត	នាម 1.(បច្ចេកទេស) (ការកក់យឺត) Late booking <br/>
កក់រឺបំរុងទុក	នាម 1.(បច្ចេកទេស) (ការកក់រឺបំរុងទុក) Reserve, booking <br/>កិរិយាសព្ទ 1.(បច្ចេកទេស) Reserve, book <br/>
កក់រឺបំរុងទុកបន្ទប់រឺសំបុត្រ	នាម 1.(បច្ចេកទេស) Reserve a room or a ticket <br/>
កក់លុយទិញផ្ទះ	កិរិយាសព្ទ 1.(បច្ចេកទេស) Put down money on a house <br/>
កក់លើស	នាម 1.(បច្ចេកទេស) (ការកក់លើស) Overbooking <br/>កិរិយាសព្ទ 1.(បច្ចេកទេស) Overbook <br/>
កក់សក់	កិរិយាសព្ទ 1.To wash (or shampoo) the hair. <br/>
កក្កដ	នាម 1.Crab; zodiacal sign of the crab (=cancer) <br/>
កក្កដនិវត្ដន៍	1.Tropic of Cancer. <br/>
កក្កដា	នាម 1.July. <br/>
កក្កដៈ	1.July ▪ ស្មើនឹង​ពាក្យ ៖ កក្ដរាសី<br/>
កក្ងៀង	1.Neck bent to one side. <br/>
កក្ដរាសី	▪ ស្មើនឹង​ពាក្យ ៖ កក្កដៈ<br/>
កក្រិត	គុណនាម 1.Very black; very black and empty. <br/>
កក្រើក	កិរិយាសព្ទ 1.To tremble, shake; to be trembling, shaking; to move under pressure. <br/>
កក្រោះ	1.Dry, empty (of meaning) <br/>
