#desc	Goːgle Khmer Lexicon via: <a href="https://huggingface.co/datasets/seanghay/goːgle-khmer-lexicon">seanghay</a> translated to G2K's phonetics.
#priority	2
a	ʔeː
aːmir	ʔaː.miə
aːron	ʔaː.ron
ab	ʔap
abarca	ʔaː.ɓaː.khaː
abbas	ʔaː.ɓah
abbott	ʔaː.ɓot
abbvie	ʔɛːp.wiː
abdel	ʔap.ɗɛːl
abdul	ʔap.ɗul
abdullah	ʔap.ɗul.lah
abe	ʔaː.ɓeː
abercrombie	ʔaː.ɓəː.kroːm.ɓiː
abogado	ʔaː.ɓoː.gaː.ɗoː
about	ʔəʔ.ɓaw
abraham	ʔaː.praː.ham
abu	ʔaː.ɓuː
abuja	ʔaː.ɓuː.caː
ac	ʔeː.siː
acacia	ʔaː.khaː.sjaː
academy	ʔaː.khaː.ɗəː.miː
accenture	ʔaː.sən.chəː
access	ʔɛːk.sɛh
accessories	ʔɛːk.sɛh.soː.riː
account	ʔaː.khaon
accountant	ʔaː.khaon.thɛːn
accountants	ʔaː.khaon.thən
ace	ʔeː.siː.ʔiː
acetaminophen	ʔaː.seː.taː.miː.noː.fɛːn
ach	ʔac
achar	ʔaː.caː
ackup	ʔɛːk.ʔap
acledabank	ʔeː.siː.liː.ɗaː.ɓɛːŋ
acmilan	ʔeː.siː.miː.ləːn
acquisition	ʔɛː.kwiː.ziː.sən
acra	ʔeː.siː.ʔɑː.ʔeː
active	ʔɛːk.thiːw
activision	ʔɛːk.thiː.wiː.zən
actor	ʔɛːk.thəː
acuity	ʔaː.kjuː.ʔiːt.thiː
acura	ʔaː.kjuː.raː
ad	ʔeː.ɗiː
adam	ʔaː.ɗam
adams	ʔaː.ɗam
adcash	ʔɛːt.khɛːh
addthis	ʔɛːt.ɗih
adf	ʔeː.ɗiː.ʔɛːf
adhoc	ʔaːt.hok
adlure	ʔɛːt.luə
admin	ʔɛːt.miːn
administrator	ʔɛːt.miː.nih.streː.thəː
adn	ʔeː.ɗiː.ʔən
adobe	ʔaː.ɗoː.ɓiː
adolf	ʔaː.ɗoːl
ads	ʔɛːt
adult	ʔəʔ.ɗal
adunasib	ʔaː.ɗuː.naː.səp
advance	ʔɛːt.waːn
advanced	ʔɛːt.wan
ae	ʔae
aecom	ʔeː.khɑm
aeg	
aek	ʔaek
aekak	ʔaek.kaʔ
aekakpheap	ʔaek.kaʔ.phiep
aem	ʔaem
aeng	ʔaeŋ
aeon	ʔiː.ʔɑːn
aero	ʔɛə.roː
aerospace	ʔɛə.roː.speːh
aerosystems	ʔɛə.roː.siːs.təm
aetna	ʔaet.naː
af	
affiliated	ʔaː.fiː.liː.ʔeːt.thiːt
affleck	ʔaːf.flɛːk
afl	
aflac	ʔaː.flɛːk
afp	ʔeː.ʔɛːf.phiː
afpforum	ʔeː.ʔɛːf.phiː.fɑː.rəm
agco	
age	ʔeːc
agency	ʔeː.cən.siː
aggregates	ʔaː.griː.geːt
agilent	ʔeː.ciː.lɛːn
agke	ʔeː.ciː.kheː.ʔiː
agoda	ʔaː.goː.ɗaː
ah	ʔaː
aha	ʔaː.haː
ahrak	ʔaː.reak
airasia	ʔie.ʔeː.siə
airbus	ʔɛː.ɓəh
airforce	ʔɛə.fɑːh
airgas	ʔɛə.geah
airlines	ʔɛə.laːɲ
airtel	ʔɛə.thɛːl
airways	ʔɛə.weː
aizhai	ʔaj.zaj
aja	ʔaː.caː
ajinomoto	ʔaː.ciː.noː.moː.toʔ
ak	ʔɑːk
aka	ʔeː.kheː.ʔeː
akamaihd	ʔaː.kaː.maj.ʔeːch.ɗiː
akio	ʔaː.khiː.ʔoː
akleangkaer	ʔak.leaŋ.kae
ako	ʔaː.koː
akphivoad	ʔaʔ.phiʔ.woat
akphivoadth	ʔaʔ.phiʔ.woat
akphivoat	ʔaʔ.phiʔ.woat
akphivodth	ʔaʔ.phiʔ.woat
akphivorth	ʔaʔ.phiʔ.woat
akpiwat	ʔaʔ.phiʔ.woat
akra	ʔaː.kraː
akreiy	ʔaʔ.rəj
aksar	ʔak.sɑː
al-nahyan	ʔal.nah.jaːn
alaeng	ʔaː.laeŋ
alan	ʔeː.lɛːn
alaska	ʔaː.laːs.kaː
alba	ʔal.ɓaː
albao	ʔal.ɓaw
albemarle	ʔal.ɓəː.maː.liː
albert	ʔal.ɓəːt
albire	ʔal.ɓiə.riː
alcoa	ʔal.koa
aldo	ʔal.ɗoː
aldolase	ʔaːl.ɗoː.lah
aldrich	ʔal.ɗrɨc
alere	ʔaː.liə
aleris	ʔaː.ləː.rih
alessandra	ʔaː.lɛh.san.ɗraː
alexander	ʔaː.ləc.san.ɗəː
alexey	ʔaː.ləc.siː
alexion	ʔaː.ləc.sən
algeria	ʔal.zeː.riə
ali	ʔaː.liː
alibaba	ʔaː.liː.ɓaː.ɓaː
alice	ʔaː.lih
aliexpress	ʔaː.liː.ʔəc.sprɛːh
alighieri	ʔaː.liː.gəː.riː
aliko	ʔaː.liː.koː
alila	ʔaː.liː.laː
alisher	ʔaː.lih.səː
alkylphenoletho	ʔal.kiːl.pheː.noː.leː.thoː
alleghany	ʔɛːl.ləː.geː.niː
allegheny	ʔal.ləː.geː.niː
allen	ʔal.lɛːn
allergan	ʔal.ləː.gən
allfinanz	ʔɑːl.fiː.nan
alliance	ʔaː.laːj.ʔən
alliant	ʔaː.laːj.ʔən
allison	ʔaː.liː.sən
allkpop	ʔɑːl.kheː.phɑp
allpop	ʔɑːl.phɑp
allstate	ʔɑːl.steːt
ally	ʔal.laːj
alogh	ʔaː.lok
alpha	ʔal.faː
alphahydro	ʔal.faː.haːj.ɗroː
alsace	ʔal.sɛːk
alter	ʔɑːl.thəː
altria	ʔal.triə
altynbekova	ʔal.tiːn.ɓeː.koː.waː
aluminum	ʔaː.luː.miː.nɨm
amadeus	ʔaː.maː.ɗiəh
amazing	ʔaː.meː.ziːŋ
amazon	ʔaː.maː.zoːn
ambaeng	ʔɑm.ɓaeŋ
ambang	ʔɑm.ɓaŋ
ambani	ʔam.ɓaː.niː
ambel	ʔɑm.ɓəl
ambil	ʔɑm.ɓəl
amboes	ʔɑm.ɓəːh
ambrosio	ʔɑm.proː.sjoː
amedeo	ʔaː.meː.ɗɛːw
amerco	ʔaː.məː.koː
ameren	ʔaː.məː.rɛːn
america	ʔaː.meː.riʔ.khaː
american	ʔaː.meː.rɨc.khɛːn
ameriprise	ʔaː.mɛː.riː.praj
amerisourcebergen	ʔaː.mɛː.riː.soah.ɓəː.gən
ameritrade	ʔaː.mɛː.riː.treːt
ames	ʔaː.mɛh
ametek	ʔaː.meː.tək
amgen	ʔɛːm.cən
amica	ʔaː.miː.kaː
amitabh	ʔaː.miː.thɛːp
amkor	ʔɑm.kɔː
amleang	ʔɑːm.leaŋ
amoled	ʔaː.moː.lɛːt
ampeae	ʔɑm.pɛː
ampeang	ʔɑm.peaŋ
ampear	ʔɑm.pie
ampeng	ʔɑm.peːŋ
amphenol	ʔɑm.pheː.nol
ampil	ʔɑm.pɨl
ampoan	ʔɑm.poan
ampok	ʔɑm.pɔːk
ampor	ʔɑm.pɔː
ampov	ʔɑm.pɨw
amprum	ʔɑm.prum
ampu	ʔɑm.puː
ampuep	ʔɑm.pɨp
ampuh	ʔɑm.puh
ampum	ʔɑm.puːm
amrae	ʔɑm.rae
amraek	ʔɑm.rɛːk
amsterdam	ʔam.stəː.ɗam
amtrust	ʔɛːm.trah
amung	ʔaː.muːŋ
an	ʔɑːn
ana	ʔaː.naː
anadarko	ʔaː.naː.ɗaː.koː
analog	ʔaː.naː.lɑk
analyze	ʔɛːn.naː.laːj
anat	ʔaː.naːt
ancha	ʔaɲ.caː
and	ʔɛːn
andaeng	ʔɑn.ɗaeŋ
andaet	ʔɑn.ɗaet
andaeuk	ʔɑn.ɗaək
andaot	ʔɑn.ɗaot
andas	ʔɑn.ɗaːh
ander	ʔɛːn.ɗəː
andersen	ʔɛːn.ɗəː.sən
andersons	ʔɛːn.ɗəː.sən
andeth	ʔɑn.ɗaet
andith	ʔɛːn.ɗɨt
andoal	ʔɑn.ɗaol
andoung	ʔɑn.ɗoːŋ
andrew	ʔɛːn.ɗruː
andria	ʔɛːn.ɗrie
andro	ʔɛːn.ɗroː
androgen	ʔɛːn.ɗroː.cən
android	ʔɛːn.ɗrɑːj
andy	ʔɛːn.ɗiː
ange	ʔaŋ
angel	ʔɛːŋ.cɑːl
angela	ʔɛːŋ.cəː.laː
angelina	ʔɛːn.cəː.liː.naː
angk	ʔɑŋ
