#desc	Google Khmer Lexicon via: <a href="https://huggingface.co/datasets/seanghay/google-khmer-lexicon">seanghay</a>.
#priority	2
a	ʔee
aamir	ʔaa.miə
aaron	ʔaa.ron
ab	ʔap
abarca	ʔaa.ɓaa.khaa
abbas	ʔaa.ɓah
abbott	ʔaa.ɓot
abbvie	ʔɛɛp.wii
abdel	ʔap.ɗɛɛl
abdul	ʔap.ɗul
abdullah	ʔap.ɗul.lah
abe	ʔaa.ɓee
abercrombie	ʔaa.ɓəə.kroom.ɓii
abogado	ʔaa.ɓoo.gaa.ɗoo
about	ʔəʔ.ɓaw
abraham	ʔaa.praa.ham
abu	ʔaa.ɓuu
abuja	ʔaa.ɓuu.caa
ac	ʔee.sii
acacia	ʔaa.khaa.sjaa
academy	ʔaa.khaa.ɗəə.mii
accenture	ʔaa.sən.chəə
access	ʔɛɛk.sɛh
accessories	ʔɛɛk.sɛh.soo.rii
account	ʔaa.khaon
accountant	ʔaa.khaon.thɛɛn
accountants	ʔaa.khaon.thən
ace	ʔee.sii.ʔii
acetaminophen	ʔaa.see.taa.mii.noo.fɛɛn
ach	ʔac
achar	ʔaa.caa
ackup	ʔɛɛk.ʔap
acledabank	ʔee.sii.lii.ɗaa.ɓɛɛŋ
acmilan	ʔee.sii.mii.ləən
acquisition	ʔɛɛ.kwii.zii.sən
acra	ʔee.sii.ʔɑɑ.ʔee
active	ʔɛɛk.thiiw
activision	ʔɛɛk.thii.wii.zən
actor	ʔɛɛk.thəə
acuity	ʔaa.kjuu.ʔiit.thii
acura	ʔaa.kjuu.raa
ad	ʔee.ɗii
adam	ʔaa.ɗam
adams	ʔaa.ɗam
adcash	ʔɛɛt.khɛɛh
addthis	ʔɛɛt.ɗih
adf	ʔee.ɗii.ʔɛɛf
adhoc	ʔaat.hok
adlure	ʔɛɛt.luə
admin	ʔɛɛt.miin
administrator	ʔɛɛt.mii.nih.stree.thəə
adn	ʔee.ɗii.ʔən
adobe	ʔaa.ɗoo.ɓii
adolf	ʔaa.ɗool
ads	ʔɛɛt
adult	ʔəʔ.ɗal
adunasib	ʔaa.ɗuu.naa.səp
advance	ʔɛɛt.waan
advanced	ʔɛɛt.wan
ae	ʔae
aecom	ʔee.khɑm
aeg	
aek	ʔaek
aekak	ʔaek.kaʔ
aekakpheap	ʔaek.kaʔ.phiep
aem	ʔaem
aeng	ʔaeŋ
aeon	ʔii.ʔɑɑn
aero	ʔɛə.roo
aerospace	ʔɛə.roo.speeh
aerosystems	ʔɛə.roo.siis.təm
aetna	ʔaet.naa
af	
affiliated	ʔaa.fii.lii.ʔeet.thiit
affleck	ʔaaf.flɛɛk
afl	
aflac	ʔaa.flɛɛk
afp	ʔee.ʔɛɛf.phii
afpforum	ʔee.ʔɛɛf.phii.fɑɑ.rəm
agco	
age	ʔeec
agency	ʔee.cən.sii
aggregates	ʔaa.grii.geet
agilent	ʔee.cii.lɛɛn
agke	ʔee.cii.khee.ʔii
agoda	ʔaa.goo.ɗaa
ah	ʔaa
aha	ʔaa.haa
ahrak	ʔaa.reak
airasia	ʔie.ʔee.siə
airbus	ʔɛɛ.ɓəh
airforce	ʔɛə.fɑɑh
airgas	ʔɛə.geah
airlines	ʔɛə.laaɲ
airtel	ʔɛə.thɛɛl
airways	ʔɛə.wee
aizhai	ʔaj.zaj
aja	ʔaa.caa
ajinomoto	ʔaa.cii.noo.moo.toʔ
ak	ʔɑɑk
aka	ʔee.khee.ʔee
akamaihd	ʔaa.kaa.maj.ʔeech.ɗii
akio	ʔaa.khii.ʔoo
akleangkaer	ʔak.leaŋ.kae
ako	ʔaa.koo
akphivoad	ʔaʔ.phiʔ.woat
akphivoadth	ʔaʔ.phiʔ.woat
akphivoat	ʔaʔ.phiʔ.woat
akphivodth	ʔaʔ.phiʔ.woat
akphivorth	ʔaʔ.phiʔ.woat
akpiwat	ʔaʔ.phiʔ.woat
akra	ʔaa.kraa
akreiy	ʔaʔ.rəj
aksar	ʔak.sɑɑ
al-nahyan	ʔal.nah.jaan
alaeng	ʔaa.laeŋ
alan	ʔee.lɛɛn
alaska	ʔaa.laas.kaa
alba	ʔal.ɓaa
albao	ʔal.ɓaw
albemarle	ʔal.ɓəə.maa.lii
albert	ʔal.ɓəət
albire	ʔal.ɓiə.rii
alcoa	ʔal.koa
aldo	ʔal.ɗoo
aldolase	ʔaal.ɗoo.lah
aldrich	ʔal.ɗrɨc
alere	ʔaa.liə
aleris	ʔaa.ləə.rih
alessandra	ʔaa.lɛh.san.ɗraa
alexander	ʔaa.ləc.san.ɗəə
alexey	ʔaa.ləc.sii
alexion	ʔaa.ləc.sən
algeria	ʔal.zee.riə
ali	ʔaa.lii
alibaba	ʔaa.lii.ɓaa.ɓaa
alice	ʔaa.lih
aliexpress	ʔaa.lii.ʔəc.sprɛɛh
alighieri	ʔaa.lii.gəə.rii
aliko	ʔaa.lii.koo
alila	ʔaa.lii.laa
alisher	ʔaa.lih.səə
alkylphenoletho	ʔal.kiil.phee.noo.lee.thoo
alleghany	ʔɛɛl.ləə.gee.nii
allegheny	ʔal.ləə.gee.nii
allen	ʔal.lɛɛn
allergan	ʔal.ləə.gən
allfinanz	ʔɑɑl.fii.nan
alliance	ʔaa.laaj.ʔən
alliant	ʔaa.laaj.ʔən
allison	ʔaa.lii.sən
allkpop	ʔɑɑl.khee.phɑp
allpop	ʔɑɑl.phɑp
allstate	ʔɑɑl.steet
ally	ʔal.laaj
alogh	ʔaa.lok
alpha	ʔal.faa
alphahydro	ʔal.faa.haaj.ɗroo
alsace	ʔal.sɛɛk
alter	ʔɑɑl.thəə
altria	ʔal.triə
altynbekova	ʔal.tiin.ɓee.koo.waa
aluminum	ʔaa.luu.mii.nɨm
amadeus	ʔaa.maa.ɗiəh
amazing	ʔaa.mee.ziiŋ
amazon	ʔaa.maa.zoon
ambaeng	ʔɑm.ɓaeŋ
ambang	ʔɑm.ɓaŋ
ambani	ʔam.ɓaa.nii
ambel	ʔɑm.ɓəl
ambil	ʔɑm.ɓəl
amboes	ʔɑm.ɓəəh
ambrosio	ʔɑm.proo.sjoo
amedeo	ʔaa.mee.ɗɛɛw
amerco	ʔaa.məə.koo
ameren	ʔaa.məə.rɛɛn
america	ʔaa.mee.riʔ.khaa
american	ʔaa.mee.rɨc.khɛɛn
ameriprise	ʔaa.mɛɛ.rii.praj
amerisourcebergen	ʔaa.mɛɛ.rii.soah.ɓəə.gən
ameritrade	ʔaa.mɛɛ.rii.treet
ames	ʔaa.mɛh
ametek	ʔaa.mee.tək
amgen	ʔɛɛm.cən
amica	ʔaa.mii.kaa
amitabh	ʔaa.mii.thɛɛp
amkor	ʔɑm.kɔɔ
amleang	ʔɑɑm.leaŋ
amoled	ʔaa.moo.lɛɛt
ampeae	ʔɑm.pɛɛ
ampeang	ʔɑm.peaŋ
ampear	ʔɑm.pie
ampeng	ʔɑm.peeŋ
amphenol	ʔɑm.phee.nol
ampil	ʔɑm.pɨl
ampoan	ʔɑm.poan
ampok	ʔɑm.pɔɔk
ampor	ʔɑm.pɔɔ
ampov	ʔɑm.pɨw
amprum	ʔɑm.prum
ampu	ʔɑm.puu
ampuep	ʔɑm.pɨp
ampuh	ʔɑm.puh
ampum	ʔɑm.puum
amrae	ʔɑm.rae
amraek	ʔɑm.rɛɛk
amsterdam	ʔam.stəə.ɗam
amtrust	ʔɛɛm.trah
amung	ʔaa.muuŋ
an	ʔɑɑn
ana	ʔaa.naa
anadarko	ʔaa.naa.ɗaa.koo
analog	ʔaa.naa.lɑk
analyze	ʔɛɛn.naa.laaj
anat	ʔaa.naat
ancha	ʔaɲ.caa
and	ʔɛɛn
andaeng	ʔɑn.ɗaeŋ
andaet	ʔɑn.ɗaet
andaeuk	ʔɑn.ɗaək
andaot	ʔɑn.ɗaot
andas	ʔɑn.ɗaah
ander	ʔɛɛn.ɗəə
andersen	ʔɛɛn.ɗəə.sən
andersons	ʔɛɛn.ɗəə.sən
andeth	ʔɑn.ɗaet
andith	ʔɛɛn.ɗɨt
andoal	ʔɑn.ɗaol
andoung	ʔɑn.ɗooŋ
andrew	ʔɛɛn.ɗruu
andria	ʔɛɛn.ɗrie
andro	ʔɛɛn.ɗroo
androgen	ʔɛɛn.ɗroo.cən
android	ʔɛɛn.ɗrɑɑj
andy	ʔɛɛn.ɗii
ange	ʔaŋ
angel	ʔɛɛŋ.cɑɑl
angela	ʔɛɛŋ.cəə.laa
angelina	ʔɛɛn.cəə.lii.naa
angk	ʔɑŋ
angkal	ʔɑŋ.kal
angkam	ʔɑŋ.kaam
angkanh	ʔɑŋ.kaɲ
angkaol	ʔɑŋ.kaol
angkar	ʔɑŋ.kaa
angkar	ʔɑŋ.kɑɑ
angkatogeljitu	ʔɑŋ.kaa.thoo.gɛɛl.jii.tuu
angkear	ʔɑŋ.kie
angkeas	ʔɑŋ.kieh
angkob	ʔɑŋ.kup
angkong	ʔɑŋ.kuŋ
angkor	ʔɑŋ.kɔɔ
angkornet	ʔɑŋ.kɔɔ.nɛɛt
angkrang	ʔɑŋ.krɑɑŋ
angkrong	ʔɑŋ.krɔɔŋ
angkum	ʔɑŋ.kum
angkunh	ʔɑŋ.kuɲ
