#desc	2022 version of the <a href="https://play.google.com/store/apps/details?id=com.optimiskh.chuonnathdictionary&hl=en-US">Chuon Nath Digital Dictionary</a>
#priority	1
#word	khph	def
ក	[ក]	<ul><li><strong>ន.</strong> តួព្យញ្ជនៈទី១នៃអក្ខរក្រមព្យញ្ជនៈខ្មែរ និងជាតួព្យញ្ជនៈទី១ក្នុងវគ្គទី១។ តួព្យញ្ជនៈនេះមានអក្ខរសូរអន្តរជាតិ [k] ជាព្យញ្ជនៈរនាំងក្រអូម ខ្យល់មាត់ សូរស្ទះ សិថិល អឃោសៈ។</li><li><strong>កិ.</strong> តាំងផ្ដើម, តាំងធ្វើ<em> :កសាង, កកើត, កចេតិយ, កភូមិ។</em></li></ul><ol><li><strong>ន.</strong> អវយវៈដែលតពីក្បាលទៅស្មាឬទៅខ្លួននៃមនុស្សសត្វ<em> :កមនុស្ស, កមាន់។</em></li><li>កន្លែងដែលតជាប់ពីមាត់ដបជាដើមចុះទៅទល់នឹងក្អេងក៏ហៅ ក ដែរ<em> :កដប, កក្អម។</em></li><li>ផ្នែកនៃដៃឬជើងដែលតភ្ជាប់ពីប្រអប់ដៃទៅកំភួនដៃឬពីប្រអប់ជើងទៅកំភួនជើង<em> :កដៃ, កជើង។</em></li><li>ជាយអាវខាងលើនៅជុំវិញកឬត្រង់កន្លែងស៊កក្បាលបាន<em> :អាវកឌុប, អាវកវៀល។</em></li><li>ផ្នែកដែលតភ្ជាប់ពីដៃចង្កូតទៅតួកង់ឬម៉ូតូ<em> :កកង់, កម៉ូតូ។</em></li><li>ទងខាងដើមកួរស្រូវក៏ហៅ ក ដែរ<em> :កស្រូវ, កកួរ។</em></li><li>ផ្នែកស្ដួចដែលតភ្ជាប់ទៀបកោះទៅនឹងផ្ទៃដីគោក<em> :កទៀបកោះ។</em></li></ol>
កក	[កក]	<ul><li><strong>គុ.កិ.</strong>, <strong>គុ.</strong> កុះករ, តាន់តាប់, ជុំជិត, កុញ, ត្រៀបត្រា<em> :មើលទៅឃើញមនុស្សកក, ឈរកក។</em></li><li><strong>កិ.</strong> ប្រែពីរាវទៅជាខន់ឬទៅជារឹង<em> :ទឹកផ្ដើមកកនៅសីតុណ្ហភាពក្រោមសូន្យអង្សា។</em></li><li><strong>គុ.</strong> ដែលកក ដែលប្រែពីរាវទៅជាខន់ឬរឹង<em> :ចំណុចកករបស់ទឹកនៅសូន្យអង្សា។</em></li><li><strong>គុ.</strong> ដែលត្រជាក់ មិនក្ដៅ (ចំណីអាហារ)<em> :បាយកក។</em></li></ul>
កកកុញ	[កក-កុញ]	<ul><li><strong>គុ.កិ.</strong> ច្រើនត្រៀបត្រា ច្រើនកុះករ ណែនណាន់តាន់តាប់<em> :ពិធីបុណ្យអុំទូកមានមនុស្សច្រើនកកកុញ។</em></li></ul>
កករ	[ក-ក]	<ol><li><strong>ន.</strong> ផង់ឬកម្ទេចល្អិត ដែលនៅក្នុងសភាវៈរាវ មានទឹក, សុរា, ប្រេងជាដើម<em> :កករប្រេង។</em></li><li>(<strong>គីមី.</strong>) កាកសំណល់នៃសារធាតុមិនរលាយនៅក្នុងសូលុយស្យុងមួយ<em> :បន្ថែមភ្នាក់ងារធ្វើឱ្យរងជាកករ។</em></li><li><strong>គុ.</strong> ដែលមានសភាពមិនជ្រះថ្លា<em> :កករទឹកបាតពាង។</em></li></ol><ul><li><strong>ន.</strong> សភាពមិនជ្រះថ្លានៃចិត្ត<em> :សេចក្ដីសង្ស័យនាំឱ្យមានកករក្នុងចិត្ត។</em></li></ul>
កករចិត្ត	[ក-ក-ចិត]	<ul><li><strong>ន.</strong> ចិត្តសៅហ្មងហាក់ដូចជាមានកករ។</li></ul>
កកស្ទះ	[កក-ស្ទះ]	<ul><li><strong>កិ.</strong> មិនអាចផ្លាស់ទី រំកិល ងាក កម្រើក ឬធ្វើចលនាបាន ដោយសារមានរបស់គរជាប់បន្តគ្នាឬមនុស្សច្រើនណែនណាន់តាន់តាប់<em> :ចរាចរណ៍កកស្ទះ។</em></li></ul>
កកាត	[ក-កាត]	<ul><li><strong>គុ.កិ.</strong> ដែលនៅសល់តិច, ដែលនៅសល់រលាបៗ<em> :ទឹកសម្លនៅសល់កកាតនឹងបាតឆ្នាំង។</em></li></ul>
កកាយ	[ក-កាយ]	<ul><li><strong>កិ.</strong> កាយរឿយៗ; ជីកដីជារន្ធ, ជារូង, ជារង, ជារណ្ដៅដោយដៃ (មនុស្ស), ដោយជើង (សត្វ)<em> :មនុស្សកកាយដី, មាន់កកាយដី, អណ្ដើកកកាយដី។</em></li></ul>
កកិចកកុច	[ក-កិច-ក-កុច]	<ul><li><strong>គុ.</strong> ដែលមានចិត្តវៀច, មានគំនិតគេចកែ<em> :មនុស្សកកិចកកុច។</em></li></ul>
កកិត	[ក-កិត]	<ul><li><strong>កិ.</strong> ពាល់, ដដុសឬប៉ះយ៉ាងស្រាល។</li></ul>
កកិល	[ក-កិល]	<ul><li><strong>កិ.</strong> ទៅដោយគូទពីកន្លែងមួយទៅកន្លែងមួយទៀត<em> :មនុស្សខ្វិនកកិលដូចកូនក្មេង។</em></li></ul>
កកូរ	[ក-កូ]	<ul><li><strong>កិ.</strong> កូរញយៗ<em> :កកូរត្រុំឬ កកូរសម្ល។</em></li><li><strong>ន.</strong> ឈ្មោះសម្លខ្មែរមួយប្រភេទ<em> :សម្លកកូរ។</em></li></ul>
កកូរកកាយ	[ក-កូ-ក-កាយ]	<ol><li><strong>កិ.</strong> សសោះជ្រាវរាវរកអ្វីមួយ<em> :គាត់យកដែកកកូរកកាយរករបស់អេតចាយ។</em></li><li>(<strong>ព.ប្រ.</strong>) សើរើ ជ្រៀតជ្រែក បង្ករឿងដែលស្ងប់ហើយឱ្យផុសឡើងវិញ<em> :រឿងនោះបានស្ងប់យូរហើយ តែមកកកូរកកាយឡើងវិញ។</em></li></ol>
កកេបកកាប	[ក-កេប-ក-កាប]	<ul><li><strong>គុ.កិ.</strong> ដែលកខ្វេសកខ្វាសដោយខំប្រឹងដើរឬប្រឹងឡើងឱ្យបានឆាប់<em> :ខំឡើងដើមឈើកកេបកកាប។</em></li></ul>
កកេរ	[ក-កេ]	<ul><li><strong>កិ.</strong> ខាំរឿយៗ ដើម្បីឱ្យដាច់<em> :កកេរពោត, កណ្ដុរកកេរទូ។</em></li></ul>
កកេះ	[ក-កេះ]	<ul><li><strong>កិ.</strong> កេះរឿយៗ ដោយក្រចកជាដើម។</li></ul>
កកែកកកោក	[ក-កែក-ក-កោក]	<ul><li><strong>គុ.កិ.</strong>, <strong>ន.</strong> សម្ដីនិយាយគ្នាឮសូរកោកៗ ច្រើនដង។</li></ul>
កកែកករ	[ក-កែ-ក-ក]	<ul><li><strong>គុ.កិ.</strong>, <strong>ន.</strong> សម្ដីនិយាយមិនច្បាស់លាស់ យ៉ាងដូចក្មេងតូចដែលទើបចេះស្ដី<em> :កូនប្រុសខ្ញុំបានចេះស្ដីកកែកករហើយ។</em></li></ul>
កកែងកកោង	[ក-កែង-ក-កោង]	<ul><li><strong>គុ.</strong>, <strong>ន.</strong> កិរិយាពុំគប្បី, កោង, ព្រហើន, ឥតមានលំអុតលំឱន។</li></ul>
កកែប	[ក-កែប]	<ul><li><strong>ន.</strong> អវយវៈសត្វចតុប្បាទពួកខ្លះ នៅត្រង់គន្លាក់កែងជើងខាងក្រោយគល់ក្រចកជាខាងក្រោមកែបទាំងគូ<em> :កកែបគោ, កកែបក្របី។</em></li></ul>
កកោក	[ក-កោក]	<ul><li><strong>គុ.កិ.</strong>, <strong>ឧ.</strong> សូរនិយាយខ្លាំងឥតក្រែងដែលឮកោកៗ<em> :និយាយកកោក។</em></li></ul>
កកោស	[ក-កោស]	<ul><li><strong>កិ.</strong> កោសដោយធ្វេសប្រហែសឥតមានបំណងនឹងធ្វើឱ្យវត្ថុមួយនិងវត្ថុមួយរបករបោចខូចខាតឡើយ។</li></ul>
កកោះ	[ក-កោះ]	<ul><li><strong>ន.</strong> ឈ្មោះឈើមួយប្រភេទ មានខ្លឹមពណ៌ក្រមៅ ប្រើការធ្វើសសរផ្ទះ, ក្ដារក្រាលឬក្ដារងឿ។</li></ul>
កក់	[កក់]	<ul><li><strong>កិ.</strong> ជម្រះសក់ឱ្យស្អាត<em> :កក់សក់។</em></li><li><strong>កិ.</strong> ធ្វើឱ្យទទឹកជោក<em> :ភ្លៀងកក់។</em></li><li><strong>កិ.</strong> បញ្ចាំទុកមុន, ឱ្យមុនជាការបញ្ចាំចិត្ត<em> :ខ្ញុំបានកក់ប្រាក់ឱ្យគេរួចហើយ។</em></li><li><strong>ន.</strong> ឈ្មោះស្មៅទឹកមួយពួក សម្រាប់ប្រើធ្វើកន្ទេល<em> :កក់មានច្រើនប្រភេទ គឺ កក់មូល, កក់ជ្រុង, កក់ចែងម៉ែង។ល។</em></li><li><strong>ន.</strong> ឈ្មោះប្រដាប់ម្យ៉ាងមានសណ្ឋានដូចផ្លែឈូកសម្រាប់ងូតទឹក<em> :ទឹកធ្លាក់ចេញពីកក់។(ហៅផ្លែឈូក ក៏បាន។ បច្ចុប្បន្នគេនិយមហៅ ផ្កាឈូក)។</em></li></ul>
កក់ក្ដៅ	[កក់-ក្ដៅ]	<ol><li><strong>កិ.</strong> ក្ដៅល្មម ក្ដៅស្រួល<em> :ភួយនេះកក់ក្ដៅណាស់។</em></li><li><strong>កិ.</strong>, <strong>គុ.កិ.</strong> (<strong>ព.ប្រ.</strong>) ពេញចិត្ត រីករាយ, សង្ឃឹម ជឿជាក់ ទុកចិត្ត<em> :ពូកក់ក្ដៅដោយក្មួយមានការងារធ្វើ, ទទួលស្វាគមន៍យ៉ាងកក់ក្ដៅ។</em></li></ol><ul><li><strong>គុ.</strong> ដែលជឿជាក់ ដែលទុកចិត្ត<em> :គ្រួសារកក់ក្ដៅ។</em></li></ul>
កក្កដ	[ក័ក-កៈ-ដៈ]	<ul><li>(<strong>បា.</strong>; <strong>សំ.</strong> កក៌ដ ក្ដាម)<strong>ន.</strong> ឈ្មោះខែទី ៤នៃសុរិយគតិ, មាន ៣១ថ្ងៃ។ សព្វថ្ងៃប្រើជា កក្កដា រាប់ជាខែ ទី ៧។</li></ul>
កក្កដា	[ក័ក-កៈ-ដា]	<ul><li><strong>ន.</strong> ឈ្មោះខែទី ៧តាមសុរិយគតិ មាន ៣១ថ្ងៃ និងរាសីរូបក្ដាម។</li></ul>
កក្រិត	[ក-ក្រិត]	<ul><li><strong>គុ.កិ.</strong> ពាក្យសម្រាប់ញ៉ាំងពាក្យខ្មៅឱ្យប្លែកឡើង<em> :មនុស្សនោះខ្មៅកក្រិត គឺខ្មៅឥតរសជាតិ។</em></li></ul>
កក្រើក	[ក-ក្រើក]	<ul><li><strong>កិ.</strong> កម្រើក, រញ្ជួយ, របើកឡើង។</li></ul>
កក្រើកញាប់ញ័រ	[ក-ក្រើក-ញាប់-ញ័រ]	<ul><li><strong>កិ.</strong> កក្រើកញ័រយ៉ាងញាប់សព្វអន្លើ។</li></ul>
កក្រើករំជួល	[ក-ក្រើក-រំ-ជួល]	<ul><li><strong>កិ.</strong> កក្រើករញ្ជួយជ្រួលច្របល់។</li></ul>
កក្រើករំពើក	[ក-ក្រើក-រំ-ពើក]	<ul><li><strong>កិ.</strong> កក្រើកខ្លាំង, ជ្រួលច្របល់ខ្លាំង។</li></ul>
កក្រោះ	[ក-ក្រោះ]	<ul><li><strong>គុ.</strong> ដែលឥតរសជាតិ<em> :សោះកក្រោះ។</em></li></ul>
កក្លាក់	[ក-ក្លាក់]	<ul><li><strong>គុ.កិ.</strong> ច្រើននិយាយផ្សំជាមួយនឹងពាក្យ ហៀរ<em> :ហៀរកក្លាក់។</em></li></ul>
កក្លូក	[ក-ក្លូក]	<ul><li><strong>គុ.កិ.</strong> ដែលរាវខ្លាំង, ដែលមានទឹកច្រើន<em> :រាវកក្លូក។</em></li></ul>
កក្អាក	[ក-ក្អាក]	<ul><li><strong>គុ.កិ.</strong> ដែលឮសូរក្អាកៗច្រើនដង (សើច)<em> :សើចកក្អាក។(</em><strong>ម.ព.</strong> ក្អាកៗ)។</li></ul>
កក្អាកកក្អាយ	[ក-ក្អាក-ក-ក្អាយ]	<ul><li><strong>គុ.</strong>, <strong>គុ.កិ.</strong> ក្អាកក្អាយខ្លាំង, សប្បាយរីករាយខ្លាំង។</li></ul>
កក្អាយ	[ក-ក្អាយ]	<ul><li><strong>ប.</strong> ពាក្យសម្រាប់និយាយផ្សំនឹងពាក្យ កក្អាក<em> :សើចកក្អាកកក្អាយ។</em></li></ul>
កក្អិច	[ក-ក្អិច]	<ul><li><strong>គុ.កិ.</strong> ពាក្យសម្រាប់ចម្រើនពាក្យមាត់ឱ្យប្លែកឡើង (ត្រី)<em> :ត្រីមាត់កក្អិច។</em></li><li><strong>ប.</strong> ពាក្យសម្រាប់និយាយផ្សំនឹង កក្អៀក ថា កក្អិចកក្អៀក គឺ ឮសូរមាត់សើចច្រើនពុំដាច់សូរ<em> :សើចលេងកក្អិចកក្អៀក។</em></li></ul>
កក្អិល	[ក-ក្អិល]	<ul><li><strong>គុ.កិ.</strong>, <strong>គុ.</strong> ពាក្យសម្រាប់ចម្រើនពាក្យ និយាយ, សម្ដី ឱ្យប្លែកឡើង<em> :និយាយកក្អិល, សម្ដីកក្អិល។</em></li></ul>
កក្អឹក	[ក-ក្អឹក]	<ul><li><strong>គុ.កិ.</strong>, <strong>គុ.</strong> ក្អឹកៗច្រើនដងមិនដាច់សូរ<em> :សើចកក្អឹក។(</em><strong>ម.ព.</strong> កខឹក, ក្អឹកៗ)។</li></ul>
កក្អៀក	[ក-ក្អៀក]	<ul><li><strong>គុ.កិ.</strong>, <strong>ឧ.</strong> ក្អៀកៗច្រើនដងមិនដាច់សូរ<em> :សើចកក្អៀក។(</em><strong>ម.ព.</strong> ក្អៀកៗ)។</li></ul>
កក្អៀច	[ក-ក្អៀច]	<ul><li><strong>គុ.កិ.</strong> ពាក្យសម្រាប់ចម្រើនពាក្យចុះឱ្យប្លែក ឱ្យច្រើនឡើង (ដង្កូវ)<em> :ដង្កូវចុះកក្អៀច។</em></li></ul>
កខិកកខក់	[ក-ខិក-ក-ខក់]	<ol><li><strong>កិ.</strong> ឈ្លក់; រង្គោះ។</li><li><strong>ឧ.</strong> សូរឮដោយឈ្លក់ទឹក, ដោយរង្គោះ។</li></ol>
កខិបកខុប	[ក-ខិប-ក-ខុប]	<ul><li><strong>គុ.កិ.</strong>, <strong>គុ.</strong> ដែលមានចិត្តអរ ព្រោះបានរបស់ជាទីគាប់ចិត្ត<em> :អរកខិបកខុប។</em></li></ul>
កខឹក	[ក-ខឹក]	<ul><li><strong>គុ.កិ.</strong>, <strong>ឧ.</strong> ខឹកៗ ច្រើនដងមិនដាច់សូរ ហើយញាប់រន្ថាន់ (សើច)<em> :សើចកខឹក។</em></li></ul>
កខុប	[ក-ខុប]	<ul><li><strong>ន.</strong> ឈ្មោះសត្វល្អិតមួយប្រភេទ រូបដូចកន្លាតតែនៅក្នុងទឹក។</li></ul>
កខូស	[ក-ខូស]	<ul><li><strong>ឧ.</strong> (<strong>ម.ព.</strong> រខូស)។</li></ul>
កខ្វក់	[ក-ខ្វក់]	<ul><li><strong>គុ.</strong> ដែលគគ្រិចមិនស្អាត, ដែលស្មោកគ្រោក។</li></ul>
កខ្វិក	[ក-ខ្វិក]	<ul><li><strong>ប.</strong> ពាក្យសម្រាប់និយាយផ្សំជាមួយនឹងពាក្យ កខ្វក់<em> :កខ្វិកកខ្វក់។</em></li></ul>
កខ្វេសកខ្វាស	[ក-ខ្វេស-ក-ខ្វាស]	<ul><li><strong>គុ.កិ.</strong>, <strong>គុ.</strong> ដែលមានដំណើរខ្វេសខ្វាសរឿយៗ<em> :វារកខ្វេសកខ្វាស។</em></li></ul>
