#desc	number of occurrences of Khmer words via <a href="https://sealang.net/khmer/dictionary.htm">Sealang</a>
#priority	2
កក	525
កកកុញ	10
កករ	21
កកាត	5
កកាយ	73
កកិត	10
កកិល	1
កកូរ	25
កកើត	59
កកេរ	4
កកែប	44
កកោះ	6
កក់	819
កក់ក្ដៅ	32
កក់លុយ	3
កក់សក់	5
កក្កដា	8072
កក្រើក	36
កក្រោះ	9
កក្លាក់	2
កខឹក	4
កខុប	1
កខូច	2
កខ្វក់	70
កខ្វិក	1
កង	6960
កងកម្លាំង	139
កងកេង	5
កងខេមរភូមិន្ទ	1
កងដៃ	4
កងទ័ព	1239
កងទ័ពជើងគោក	9
កងទ័ពជើងទឹក	18
កងទ័ពអាកាស	19
កងបញ្ជាការ	3
កងពល	70
កងពលតូច	25
កងពលធំ	8
កងមាស	16
កងយោធពល	20
កងយោធពលខេមរភូមិន្ទ	15
កងយោធា	22
កងរថក្រោះ	3
កងរយ	5
កងរំពង	4
កងអាកាសចរណ៍	16
កង់	684
កង់រទេះ	5
កង់ឡាន	3
កង្កាញ់	2
កង្កួញ	1
កង្កែប	79
កង្ខា	5
កង្វក់	3
កង្វល់	635
កង្វេរ	1
កង្វះ	203
កង្វះខាត	38
កង្ហារ	22
កច្ចាយនៈ	1
កជើង	13
កញ្ចក់	1447
កញ្ចក់ឆ្លុះ	5
កញ្ចក់ទូរទស្សន៍	12
កញ្ចប់	185
កញ្ចាស់	53
កញ្ចឹង	21
កញ្ចុំ	1
កញ្ចុះ	12
កញ្ចូញ	2
កញ្ចូញគូទ	1
កញ្ចែ	3
កញ្ចោង	2
កញ្ច្រែង	7
កញ្ឆក់	24
កញ្ឆា	11
កញ្ឆៀវ	1
កញ្ឆេង	4
កញ្ឆេរ	3
កញ្ឆែត	5
កញ្ឆោត	5
កញ្ជើ	41
កញ្ជះ	17
កញ្ជះកញ្ជាយ	1
កញ្ជ្រឹល	11
កញ្ជ្រៀច	4
កញ្ជ្រៀវ	3
កញ្ជ្រោង	272
កញ្ជ្រោល	11
កញ្ញា	3147
កញ្ញាឯក	5
កដៃ	27
កឋិន	60
កណិការ	1
