#desc	English to Khmer Dictionary from <a href="https://play.google.com/store/apps/details?id=com.sonveasna.dictionary&hl=en">English Khmer Dictionary</a> by DroidSVS
#priority	2
#en	ipa	khph	desc	tags
A	eɪ	អេយ៍	<ul><li><p-n>(symbol)</p-n><ol><li><p-l> @ប្រើដើម្បីដាក់ឈ្មោះផ្នែក រឺ ចំណែកទី១ នៃវត្ថុអ្វីមួយតាមធម្មដាគេសរសេរ</p-l> a)<p-l> @រឺ</p-l> <p-n>(a)</p-n></li><li><p-l>@. (ប្រើនៅប្រទេសអង់គ្លេសដោយដាក់នៅមុខលេខផ្លូវ ដើម្បីសំគាល់ថាជាផ្លូវធំ)</p-l></li><li><p-l> @(ប្រើនៅពីមុខលេខដើម្បីបង្ហាញខ្នាតក្រដាស)</p-l> an A4<p-l> @ក្រដាស</p-l> A4 4 <p-n>(abbreviation)</p-n><p-l> @អំពែ,ចំលើយ</p-l></li></ol></li></ul>	symbol
a la mode	ˌɑ:lɑ:ˈməʊd	ˌអាឡា 'មូដ	<ul><li><p-n>(adverb)</p-n><p-l> @ដោយចំណូលចិត្ត, ដោយនិយមយ៉ាងច្រើន</p-l><br/> dress ~<p-l> @តាមសម័យ (គំនិត, សំលៀកបំពាក់)</p-l></li><li><p-n>(adjective)</p-n><ol><li><p-l> @គំនិតដែលភ្ញាក់រលឹក </p-l></li><li><p-l> @នាមស្ថិតនៅជាប់ពីក្រោយ, (អាហារ) ដែលមានដាក់ការ៉េម </p-l><br/>pie ~<p-l> @មានដាក់ការ៉េមពីលើ </p-l></li></ol></li></ul>	adverb
A level	'eɪ levl		<ul><li><p-n>(also advanced level)</p-n><p-n>(noun)</p-n><p-l>@(ចក្រភពអង់គ្លេស) ការប្រលងឬសញ្ញាប័ត្រមធ្យមសិក្សាប័ត្រភាគ២</p-l></li></ul>	noun
A&E	,eɪ ənd'i:	អេយ៍'អឺ	<ul><li><p-n>(abbreviation)</p-n>accident and emergency</li></ul>	abbreviation
A (1)	ˌeɪ'wʌn	ˌអេយ៍ 'វ៉ាន់	<ul><li>&nbsp;<p-l>@ល្អលេខមួយ, ល្អណាស់</p-l></li><li>A-OK /,eɪ əʊ&rsquo;ke/<p-l>@[អេយ៍ អូខេ៍]</p-l> <p-n>(adjective)</p-n>​<p-l> @ដែលសែនពេញចិត្ត</p-l></li><li>A-road/&lsquo;eɪ-rəʊd/<p-l>@['អឹ_ រ៉ូដ]</p-l> <p-n>(noun)</p-n>. <p-l>@ផ្លូវធំ</p-l>(<p-l>@វាតូចជាង </p-l>motorway<p-l> @តែធំជាង</p-l> Broadway)</li></ul>	noun
a (2)	ə,eɪ	អេយ៍	<ul><li>an /ən, &aelig;n/ <p-n>(indefinite)</p-n><p-n>(adjective)</p-n><ol><li><p-l>@គុណនាមម្យ៉ាងឥតមានប្រើក្នុងភាសាខ្មែរ ទេមានន័យថាៈ មូយរឺមូយណាមិនចំពោះ ឧ.</p-l> a book<p-l> @សៀវភៅរឺសៀវភៅមួយ</p-l> an<p-l> @មានន័យដូចគ្នានឹង</p-l> a<p-l> @តែសម្រាប់ប្រើតែនៅមុខដែលចាប់ផ្តើមឡើងនឹងស្រៈ ឧ</p-l> an airoplane<p-l> @យន្តហោះមួយ</p-l> a<p-l> @អាចប្រើជាគុណនាមផ្សំជាសំនួនវោហារ ឧ</p-l> A few books<p-l> @សៀវភៅពីរបីរឹបួនប្រាំ</p-l> a great many people<p-l> @មនុស្សដ៏ច្រើនមនុស្សសន្ធឹក</p-l></li><li><p-l>@ណាមួយណាម្នាក់ </p-l></li><li><p-l> @ដូចគ្នាប្រហែលគ្នាស្រដៀងគ្នា ឧ​</p-l> they are of an age&nbsp;<p-l> @គេទាំងឡាយមានអាយុប្រហែលគ្នា </p-l></li><li><p-l> @(ប្រើពីក្រោយពាក្យបដិសេធណាមួយ) តែមួយគត់</p-l> She din't t. tell us a thing about her ho liday<p-l> @នាងពុំបានប្រាប់ខ្ញុំបន្តិចសោះពីការសំរាកលំហែរបស់នាង </p-l></li><li><p-l> @ប្រើជាមួយនាមដែលភ្ជាប់ពីក្រោយដោយ</p-l> of + possess det + <p-n>(n)</p-n>+ s) a friend of my father's<p-l> @មិត្តម្នាដ់របស់ឳពុក </p-l></li><li><p-l> @(ប្រើពីមុខនាមពីរដឺលគេមើលឃើញដូចជាវត្ថុតែមួយ)</p-l> a knife and fork&nbsp;<p-l> @កាំបិតនិងសម </p-l></li><li><p-l> @(ប្រើជំនួស​ពាក្យ</p-l> one<p-l> @ពីមុខលេខ រឹ ប្រភាគ</p-l>) A thousand people attend the tennis match<p-l>  @មនុស្សមួយពាន់នាក់បានចួលទស្សនា ការប្រកួតកីឡាវាយកួនវាល់ </p-l></li><li><p-l> @សំរាប់ រឺ ចំពោះនិមួយៗក្នុង</p-l> 500 riels a kilo-game&nbsp;<p-l> @៥០០រៀលក្នុងមួយគីឡូ </p-l></li><li><p-l> @អក្សរកាត់ដូចជា</p-l> FM<p-l> @រឺ</p-l> UN<p-l> @សូរសំលេងរបស់តួអក្សរទីមួយជាអ្នកកំណត់ត្រូវដាក់</p-l> a<p-l> @រឺ</p-l> an<p-l> @ពីមុខវា</p-l> F<p-l> @អក្សរជាព្យព្ជានៈ​ប៉ុន្តែផ្តើមដោយសូរ</p-l> /e/<p-l> @ដូច្នេះយើងនិយាយថា</p-l> an FM radio<p-l>@។ អក្សរ</p-l> U<p-l> @ជាស្រះ ប៉ុន្តែផ្តើមឡើងដោយសូរ</p-l> /j/<p-l> @ដូច្នេះយើងនិយាយថា</p-l> a UN conference <p-l>@សន្និបាតអង្គការសហប្រជាជាតិ</p-l></li></ol></li></ul>	adjective
A, D	əɪdi:	អេយ៍ ' ដេ	<ul><li><p-n>(abbreviation)</p-n>Anno Dmini<p-l> @គ.ស. (គ្រឹះស្តសករាជ)</p-l></li></ul>	abbreviation
A, a	eɪ	អេយ៍	<ul><li><p-n>(noun)</p-n> <p-n>(pl. A's, a's /eɪz/)</p-n> <ol><li><p-l> @ស្រះ A អក្សរទីមួយតាមលំដាប់អក្ខរក្រមអង់គ្លេស </p-l></li><li><p-l> @ខ្ទង់(ភ្លេង) </p-l><br/>~ flat<p-l> @ស្រែកដាក់ </p-l></li><li><p-l> @ប្រភេទល្អបំផុត </p-l>is this road an A?<p-l> @តើផ្លូវនេះជាប្រភេទល្អបំផុតឬ?&nbsp;</p-l></li></ol></li><li><p-n>(<p-n>Idiom, Idiomatic</p-n>)</p-n> from A to Z<p-l> @ទាំងគ្រប់</p-l> know a subject from Atoz<p-l> @ចេះប្រធាន​បទតាំងពីដើមដល់ចប់</p-l> From A to B<p-l> @ពីកន្លែងមួយទៅកន្លែងមួយ </p-l></li></ul>	noun
A-bomb	'eɪbɑm	អឹ ' បមប៍	<ul><li><p-n>(noun)</p-n><p-n>(=atomic bomb)</p-n><p-l> @គ្រាប់បែកបរមាណូ</p-l></li></ul>	noun
A-OK	,eɪ əʊ’ke	អេយ៍ អូខេ៍	<ul><li><p-n>(adjective)</p-n>​<p-l> @ដែលសែនពេញចិត្ត</p-l></li></ul>	adjective
a-peak	əˈpi:k	អឹ-'ភិកខ៍	<ul><li><p-n>(adverb)</p-n><p-l> @បញ្ឈរត្រង់</p-l></li></ul>	adverb
a-riot	əˈrɪəʊt	អឹ 'រីអូត	<ul><li><p-n>(adverb)</p-n><p-l> @មិនស្ងប់ស្ងៀម</p-l></li></ul>	adverb
a-ripple	əˈrɪpl	អឹ 'រ៉ាផប៊ល	<ul><li><p-n>(adverb)</p-n><p-l> @ជាស្នាម, ជាចំរៀក</p-l></li></ul>	adverb
A-road	‘eɪ-rəʊd	'អឹ_ រ៉ូដ	<ul><li>&nbsp;<p-n>(noun)</p-n>.<p-l>@ផ្លូវធំ(វាតូចជាង</p-l>motorway<p-l> @តែធំជាង</p-l> Broadway)</li></ul>	noun
A.c. (also ac)	,eɪ'si:	,អឺ'សេ	<ul><li><p-n>(abbreviation)</p-n><ol><li>alternating current <p-l>@ចរន្តឆ្លាស់ </p-l></li><li> airconditioner<p-l> @ម៉ាស៊ីនត្រជាក់</p-l></li></ol></li></ul>	abbreviation
a.m	eɪˈem	អេយ៍ 'អេម	<ul><li><p-n>(US AM)</p-n>Latin ante meri-diem<p-l> @ព្រឹក (មុនម៉ោង១២ថ្ងៃ) ១០:០០ </p-l>a.m<p-l> @ម៉ោង១០ព្រឹក</p-l></li></ul>	
AA	'eɪ,eɪ	អេយ៍_អេយ៍	<ul><li><p-n>(abbreviation)</p-n>Automobile Association <p-l>@(អង្គភាពអង់គ្លេសមួយដែលផ្តល់សេវាសំរាប់ម្ចាស់រថយន្ត)</p-l></li></ul>	abbreviation
AAA	'eɪ,'eɪ,eɪ	អេយ៍_អេយ៍_អេយ៍	<ul><li><p-n>(abbreviation)</p-n>American Automobile Association <p-l>@(អង្គការអាមេរិចកាំងមួយដែលផ្តល់សេវាសំរាប់ម្ចាស់រថយន្ត)</p-l></li></ul>	abbreviation
aback	ə'bæk	អឹ​ 'ប៊ែកខ៍	<ul><li><p-n>(adjective)</p-n><p-l>@ទៅក្រោយ, ថយក្រោយ&nbsp;</p-l>to be taken aback<p-l> @ស្រឡាំងកាំង,ធ្វើអោយតក់ស្លុត</p-l></li></ul>	adjective
abactor	'æbəktə	អ៊ែ 'ប៊ឹកខឺ(រ)	<ul><li><p-n>(noun)</p-n><p-l>@ចោរ(លួចគោ, ក្របី)</p-l></li></ul>	noun
abacus	'æbəkəs	អ៊ែបឹខឹស	<ul><li>(plural. -cuses /-kəsɪz/ or abaci /'&aelig;bəsaɪ/ <p-l>@ក្បាច់(ប្រដាប់គិតលេខម្យ៉ាង)</p-l></li></ul>	noun
abaft	ə'ba:ft; US əbæft	អឺ​ 'បាហ្វថ៍	<ul><li><p-n>(adjective)</p-n><p-l> @ឆ្ពោះទៅកន្សៃនាវា, ខិតទៅរកកន្ទុយនាវា, ខាងក្រោយចម្ហៀងនៃ</p-l></li><li>abaft <p-n>(preposition)</p-n>~main-mast<p-l> @ក្រោយ</p-l></li></ul>	adjective
abalone	'æbələʊn	អ៊ែ 'បឹឡូនី	<ul><li><p-n>(noun)</p-n>French. <p-l>@អាបាឡូន(ខ្យងសមុទ្រម្យ៉ាង)</p-l></li></ul>	noun
abandon	ə'bændən	អឹ 'ប៊ែនដឹន	<ul><li><p-n>(verb)</p-n><ol><li><p-l>@ឈប់, បញ្ឈប់, បំភ្លេចចោល, លះបង់</p-l></li><li> (~ sb/sth) <p-n>(to sb/sth)</p-n><p-l>@បរិច្ចាក, ចោល, លះបង់, បោះបង់</p-l></li><li>. <p-n>(~ oneself to sth)</p-n><p-l>@បណ្តោយខ្លួន, ធ្លាក់ខ្លួន, ឬ លង់ខ្លួន</p-l> </li></ol></li><li>abandon <p-n>(also abandon-ment)</p-n><p-n>(noun)</p-n>with abandon <p-n>(adjective)</p-n><p-l>@ដោយស្មារតីលះបង់&nbsp;</p-l>abandoned <p-n>(adjective)</p-n><p-l> @ដែលបោះបង់ចោល, ដែលលះបង់ចោល</p-l> abandoned property<p-l> @សម្បត្តិបោះបង់ចោល, សម្បត្តិបរិច្ចាក</p-l></li></ul>Synonyms <ul><li>abandon <p-n>(verb)</p-n><p-l> @បរិច្ចាគ, ប្រហែល, ប្រគល់, បោះបង់ចោល, បណ្តោយខ្លួន, អស់សង្ឃឹម</p-l> cut off<p-l> @កាត់, កាត់ចោល, កាត់ផ្តាច់</p-l> desert<p-l> @រត់ចោល, (ប្រពន្ធឬតំណែង)</p-l> evacuate<p-l> @ជម្លៀសចេញ, ចេញពី, បញ្ចេញ, បណ្តេញចេញ</p-l> forsake<p-l> @បោះបង់ចោល</p-l> jiit<p-l> @ដកដៃ, ដោះដៃចោលសង្សារ</p-l> leave<p-l> @ចាកចេញ, ចេញ, ចេញទៅ, ទុកចោល</p-l> ostracize<p-l> @បណ្តេញចេញពីក្រុមអ្វីមួយ</p-l> quit<p-l> @ឈប់, លាចាក, លះបង់, បោះបង់</p-l> vacate<p-l> @ចេញពី, លាលែង, ចាត់ទុកជាមោឃះ </p-l></li></ul>	verb
