w	def
... ក៏ ... ដែរ	<br>1). also, as well ខ្ញុំក៏ធ្វើការដែរ I am working also.
... ក៏... ក៏	<br>1). both ... and ...
... ក៏ដោយ ... ក៏ដោយ	<br>1). whether... or..., it's all the same សើចក៏ដោយយំក៏ដោយ Laugh if you like, cry if you like.
... ក៏បាន ... ក៏បាន	<br>1). either... or...
... ក៏បានដែរ	<br>1). ... would be all right, can get along with ..., ... is OK បើគ្មានផ្កាស្លាទេ យើងយកផ្កាផ្សេងមកជំនួសក៏បានដែរ If they don't have areca flowers we'll be able to get along with a substitute.
... ក្តី ... ក្តី	[... kdəy ... kdəy] <br>1). fp either ... or ..., whether ... or ...
... ចុះ ... ឡើង	<br>1). to ... over and over eg. បញ្ជាក់ចុះបញ្ជាក់ឡើង . to explain over and over
... ណាក៏ដូចណាដែរ	<br>1). same, all the same រើសអ្វីក៏រើសម្ល៉េះ ណាក៏ដូចណាដែរទុក​ឲ្យអ្នកដទៃគេរើសផង! Why are (you) so picky? (They're) all the same and (you'll) keep others from choosing too!
... ផង ... ទៀត	<br>1). it is not enough that ..., but even...
... ផង ... ផង	<br>1). while, at the same time, both ... and ... កុំស៊ីផងនិយាយផង Don't talk while you're eating. ខ្វាក់ផងថ្លង់ផង both blind and deaf.
... មុខ ... ក្រោយ	<br>1). now and then ខ្ញុំនៅខ្វះ​មុខខ្វះក្រោយ Now and then I'm still short (of money).
... មួយ ... មួយ	<br>1). ... first ... then ខ្ញុំមើល​សៀវភៅនេះចប់មួយហើយ រួចខ្ញុំនឹងមើល មួយទៀត First I'll finish this book, then I'll read another one
... សិន ... សិន	<br>1). ... now ... now, first ... then ... See: សិនណា​!​ សិនទៅ សិនសើចសិនយំ sometimes laughing, sometimes crying
... ហើយ ... ទៀត	<br>1). both ... and ...;<br> again and again
... អ្នកផង	<br>1). others, other people, all of them See: ជនផង កុំផើមមុនការខ្លាចអ្នកផងគេ​សើច Don't get pregnant before marriage for fear that others will laugh.
ADJ + គួរ + VERB(PHRASE)	<br>1). ADJECTIVE to / for VERB ឈើនេះល្អគួរធ្វើផ្ទះ This wood is good for making houses.
