w	def
... ក៏ ... ដែរ	<ul><li>also, as well ខ្ញុំក៏ធ្វើការដែរ I am working also.
... ក៏... ក៏	<ul><li>both ... and ...
... ក៏ដោយ ... ក៏ដោយ	<ul><li>whether... or..., it's all the same សើចក៏ដោយយំក៏ដោយ Laugh if you like, cry if you like.
... ក៏បាន ... ក៏បាន	<ul><li>either... or...
... ក៏បានដែរ	<ul><li>... would be all right, can get along with ..., ... is OK បើគ្មានផ្កាស្លាទេ យើងយកផ្កាផ្សេងមកជំនួសក៏បានដែរ If they don't have areca flowers we'll be able to get along with a substitute.
... ក្តី ... ក្តី	[... kdəy ... kdəy] 	<ul><li>fp either ... or ..., whether ... or ...
... ចុះ ... ឡើង	<ul><li>to ... over and over eg. បញ្ជាក់ចុះបញ្ជាក់ឡើង . to explain over and over
... ណាក៏ដូចណាដែរ	<ul><li>same, all the same រើសអ្វីក៏រើសម្ល៉េះ ណាក៏ដូចណាដែរទុក​ឲ្យអ្នកដទៃគេរើសផង! Why are (you) so picky? (They're) all the same and (you'll) keep others from choosing too!
... ផង ... ទៀត	<ul><li>it is not enough that ..., but even...
... ផង ... ផង	<ul><li>while, at the same time, both ... and ... កុំស៊ីផងនិយាយផង Don't talk while you're eating. ខ្វាក់ផងថ្លង់ផង both blind and deaf.
... មុខ ... ក្រោយ	<ul><li>now and then ខ្ញុំនៅខ្វះ​មុខខ្វះក្រោយ Now and then I'm still short (of money).
... មួយ ... មួយ	<ul><li>... first ... then ខ្ញុំមើល​សៀវភៅនេះចប់មួយហើយ រួចខ្ញុំនឹងមើល មួយទៀត First I'll finish this book, then I'll read another one
... សិន ... សិន	<ul><li>... now ... now, first ... then ... See: <p-a>សិនណា</p-a>​!​ សិនទៅ សិនសើចសិនយំ sometimes laughing, sometimes crying
... ហើយ ... ទៀត	<ul><li>both ... and ...;<br> again and again
... អ្នកផង	<ul><li>others, other people, all of them See: <p-a>ជនផង</p-a> កុំផើមមុនការខ្លាចអ្នកផងគេ​សើច Don't get pregnant before marriage for fear that others will laugh.
ADJ + គួរ + VERB(PHRASE)	<ul><li>ADJECTIVE to / for VERB ឈើនេះល្អគួរធ្វើផ្ទះ This wood is good for making houses.
CLAUSE + ក៏ហីចុះ	<ul><li>it's all right if (you) don't + CLAUSE, who cares?, to heck with it, too bad បើមិនជឿ ក៏ហីចុះ​! If you don't believe me, that's too bad!
CLAUSE + ទេដឹង	<ul><li>maybe / perhaps + CLAUSE គាត់នៅផ្ទះទេដឹង​! Maybe he's home!
NOUN + ទេ(តើ)ដែល + VERB	<ul><li>emphasis marker, may indicate that a previous statement or belief is incorrect or other than one would think, it's NOUN that ... (var. NOUN + ទេតើ + VERB) វាទេតើ​ដែល​លួច​ ! It was he who stole it! ឯងបន្ទោសខ្ញុំមិនបានទេ វាទេតើ​ដែល​ធ្វើខុស You can't blame me, he's the one who did it. ខ្ញុំអត់បានវាយប្អូនខ្ញុំទេ គឺវាទេតើ​ដែលវាយខ្ញុំ I didn't hit him, rather it was he who hit me.
NOUN + នេះ + NOUN	<ul><li>too many / too much NOUN, one NOUN after another រឿង នេះរឿង (There are) too many problems, problem after problem
NOUN + ឯង	<ul><li>you (familiar and emphatic) ក្មួយឯងត្រូវខំរៀនណា៎​! Nephew, you've got to study hard!
VERB + ក៏ + VERB	<ul><li>go ahead and VERB, let's VERB then ទៅក៏ទៅ! Let's go!
VERB + ក៏ + VERB + ទៅ	<ul><li>go ahead and VERB, it's all right if (you) VERB ទៅក៏ទៅទៅ If you want to go, go ahead.
VERB + គេ + VERB + ឯង	<ul><li>to VERB people មើលគេមើលឯង to watch people
VERB + នេះ + VERB	<ul><li>VERB + too much, so VERB យកនេះយក take too much ខ្ជិលនេះខ្ជិល so very lazy
VERB + បន្តិច​ ... មិន + VERB + មន្តិច​	<ul><li>more or less គាត់ចង់ទៅបន្តិច​ មិនចង់ទៅបន្តិច គាត់និយាយមិនដាច់ស្រេចសោះ He wants to go and doesn't want to go;<br> he just can't decide.
VERB + ពុត​	<ul><li>to fake ..., feign ...
VERB + ឡើងវិញ	<ul><li>to VERB again សុំ​មើលសេចក្តីនេះឡើងវិញ Please read the text again. យើងអស់មានឧបសគ្គអ្វីមក​រារាំងក្នុងដំណើរយើងទៅកាន់ការចាប់​កំណើតរស់ឡើងវិញនៃប្រជាជាតិយើង ទៀតហើយ There are no more obstacles to stand in the way of the rebirth of our country.
VERB + ឯង	<ul><li>by oneself, on one's own;<br> automatically ខ្ញុំមិនបានធ្វើអីវាផង​ ឡាន​ទៅឯង I didn't do anything;<br> the car drove off on it's own.
VERB PHRASE + ក៏ដូច + NEG. + VERB PHRASE + ដែរ	<ul><li>it doesn't matter whether (you) VERB PHRASE ទៅក៏ដូចមិនទៅដែរ It doesn't matter whether you go or not.
VERB PHRASE + ទៅចុះ	<ul><li>just for the sake of it, for the heck of it (suggests doing something on impulse);<br> go ahead and ...
ក	[kɑɑ] 	<ul><li>first letter of the Cambodian alphabet</li><li>n neck;<br> collar;<br> connecting link </li><li>v to build, construct, create, found;<br> to base on;<br> to commence, start up;<br> to come into being
ក.ព.ទ.	[NOIPA] 	<ul><li>abbreviation for ក្រមព្រហ្មទណ្ឌ (penal code)
កក	[kɑɑk] [កក]	<ul><li>adj to be hardened, coagulated, frozen, set. </li><li>v to harden, coagulate, thicken, set </li><li>adj to be countless, many;<br> crowded. </li><li>adv en masse
កកកុញ	[kɑɑk koɲ] [[កក]] [[កុញ]] 	<ul><li>a lot, many, countless;<br> to be crowded, congested
កកកុះ	[kɑɑk koh] [[កក]] [[កុះ]] 	<ul><li>to be numerous, densely-packed
កករ	[kɑkɑɑ] 	<ul><li>n slime, mud, ooze, mire;<br> dregs, sediment, residue, debris
កករចិត្ត	[kɑkɑɑ cət] [[កករ]] [[ចិត្ត]] 	<ul><li>See: <p-a>ចិត្តកករល្អក់</p-a>
កកាត	[kɑkaat] 	<ul><li>adv almost gone, only a little left ទឹកសំឡនៅសល់កកាតនឹងបាតឆ្នាំង (There's) only a little soup left at the bottom of the pot.
កកាយ	[kɑkaay] 	<ul><li>v to scratch rapidly (like a chicken), dig (like a dog), paw (the ground), scrape out
កកាយកកូរ	[kɑkaay kɑkoo] [[កកាយ]] [[កកូរ]] 	<ul><li>See: <p-a>កកូរកកាយ</p-a>
កកិចកកុច	[kɑkəc - kɑkoc] 	<ul><li>adj to be sly, cunning, tricky;<br> wicked, capricious, changeable
កកិត	[kɑkət] 	<ul><li>adj to be very close to, barely touching, be neck and neck. </li><li>v to chafe, rub;<br> to sideswipe (as two cars)
កកិល	[kɑkəl] 	<ul><li>v to move something little by little;<br> to slide along while seated, edge forward on one's buttocks
កកិលចូលជិត	[kɑkəl cool cɨt] [[កកិល]] [[ចូល]] [[ជិត]] 	<ul><li>to slide up close to
កកី	[kɑɑ kəy] [[ក]] [[កី]] 	<ul><li>the front two posts of the frame of a loom which support the ផ្សំ
កកូរ	[kɑkoo] 	<ul><li>v to stir (something) around
កកូរកកាយ	[kɑkoo kɑkaay] [[កកូរ]] [[កកាយ]] 	<ul><li>to move things around, churn, stir up;<br> to rummage around, scratch around (looking for something). </li><li>to stir up old memories;<br> to try to dig up something bad (about someone) ... ប៉ុន្តែខ្មែរក្រហមមកតាមផ្លូវការមកកកូរកកាយហើយ​ ចូលមកក្រុងភ្នំពេញ ... …but the Khmer Rouge have come, officially, and are stirring things up in Phnom Penh .... រឿងនោះបានស្ងប់រួចយូរណាស់មកហើយ តែអ្នកកាន់ខាងក្រោយបានមកកកូរកកាយឲ្យមានរឿងឡើងវិញ That matter had been quiet for a very long time, but the new leaders came along and stirred things up again.
កកើត	<ul><li>See: <p-a>ក</p-a> </li><li>to grow, develop;<br> development;<br> structure
កកេបកកាប	[kɑkeep - kɑkaap] 	<ul><li>i loud talking that sounds like the quacking of ducks
កកេរ	[kɑkee] 	<ul><li>v to nibble, gnaw at
កកេះ	[kɑkeh] 	<ul><li>v to scratch often;<br> to pick out / off. </li><li>to insist on
កកែកករ	[kɑkae - kɑkɑɑ] 	<ul><li>v to babble (as a child learning to talk)
កកែងកកោង	[kɑkaeŋ - kɑkaoŋ] 	<ul><li>adj to be rude, pretentious
កកែប	[kɑkaep] 	<ul><li>n fetlock
កកោក	[kɑkaok] 	<ul><li>adv loudly, noisily
កកោកកកាក	[kɑkaok kɑɑ kaak] [[កកោក]] [[ក]] [[កាក]] 	<ul><li>to jabber
កកោស	[kɑkɑh] 	<ul><li>v to scrape carelessly
កកោះ	[kɑkɑh] 	<ul><li>n kind of tree (Nauclea orientalis or Sindora sumatrana, or S. cochinchinensis, the wood of which is used for house-building and making furniture)
កក់	[kɑk] 	<ul><li>v to wash, shampoo;<br> to clean, soak (in order to get clean);<br> to wet (of the rain) </li><li>v to give an advance, make a deposit / down payment </li><li>n kind of reed (Cyperus or Mariscus sp.) used for making mats </li><li>n shower head, sprinkler </li><li>adj to be warm, comfortable;<br> affectionate. See: <p-a>កក់ក្ដៅ</p-a> </li><li>v to keep warm;<br> to comfort, console. </li><li>adv affectionately
កក់ចែងម៉ែង	[kɑk caeŋ maeŋ] [[កក់]] [[ចែងម៉ែង]] 	<ul><li>kind of reed (Mariscus cyperoides)
កក់លុយ	[kɑk luy] [[កក់]] [[លុយ]] 	<ul><li>to put a deposit / down payment on something
កក៌ដ	[kaʔreaʔkat] 	<ul><li>See: <p-a>កក្កដ</p-a>
កក្កដ	[kakkaʔdaʔ] 	<ul><li>n crab;<br> zodiacal sign of the crab (= Cancer) corresponding to July See: <p-a>កក៌ដ</p-a>
