#no sort
GEN 1:1	@<p-n>លោកុប្បត្តិ ១:១</p-n>	<h3>កំណើត​ពិភព​លោក </h3>	<p>កាល​ពី​ដើម​ដំបូង​បង្អស់ ព្រះជាម្ចាស់​បាន​បង្កើត​ផ្ទៃ​មេឃ និង​ផែនដី​។ </p>
GEN 1:2	@<p-n>លោកុប្បត្តិ ១:២</p-n>	<p>នៅ​គ្រា​នោះ ផែនដី​គ្មាន​រូប​រាង និង​នៅ​ទទេ មាន​តែ​ភាព​ងងឹត​ពី​លើ​ទី​ជំរៅ​ទឹក ហើយ​ព្រះវិញ្ញាណ​របស់​ព្រះជាម្ចាស់​នៅ​រេរា​ពី​លើ​ផ្ទៃ​ទឹក។ </p>
GEN 1:3	@<p-n>លោកុប្បត្តិ ១:៣</p-n>	<p>ព្រះជាម្ចាស់​មាន​ព្រះបន្ទូល​ថា៖ «ចូរ​មាន​ពន្លឺ!» ពន្លឺ​ក៏​កើត​មាន​ឡើង។ 
GEN 1:4	@<p-n>លោកុប្បត្តិ ១:៤</p-n>	<p>ព្រះជាម្ចាស់​ទត​ឃើញ​ថា ពន្លឺ​នោះ​ល្អ​ប្រសើរ​ហើយ ព្រះអង្គ​ក៏​បាន​ញែក​ពន្លឺ​ចេញ​ពី​ភាព​ងងឹត។ 
GEN 1:5	@<p-n>លោកុប្បត្តិ ១:៥</p-n>	<p>ព្រះជាម្ចាស់​ហៅ​ពន្លឺ​ថា “ថ្ងៃ” និង​ហៅ​ភាព​ងងឹត​ថា “យប់”។ ពេល​នោះ មាន​ល្ងាច មាន​ព្រឹក គឺ​ជា​ថ្ងៃ​ទី​មួយ។ </p>
GEN 1:6	@<p-n>លោកុប្បត្តិ ១:៦</p-n>	<p>ព្រះជាម្ចាស់​មាន​ព្រះបន្ទូល​ថា៖ «ចូរ​មាន​លំហ​មួយ​ដ៏​រឹងមាំ​នៅ​កណ្ដាល​ទឹក ដើម្បី​ញែក​ទឹក​ចេញ​ពី​គ្នា»។ 
GEN 1:7	@<p-n>លោកុប្បត្តិ ១:៧</p-n>	<p>ព្រះជាម្ចាស់​បាន​បង្កើត​លំហ​ដ៏​រឹងមាំ​នោះ ព្រះអង្គ​ញែក​ទឹក​ដែល​នៅ​ខាង​ក្រោម​លំហ​ចេញ​ពី​ទឹក​ដែល​នៅ​ខាង​លើ នោះ​ក៏​កើត​មាន​ដូច្នោះ​មែន។ 
GEN 1:8	@<p-n>លោកុប្បត្តិ ១:៨</p-n>	<p>ព្រះជាម្ចាស់​ហៅ​លំហ​ដ៏​រឹងមាំ​នោះ​ថា “មេឃ”។ ពេល​នោះ មាន​ល្ងាច មាន​ព្រឹក គឺ​ជា​ថ្ងៃ​ទី​ពីរ។ </p>
GEN 1:9	@<p-n>លោកុប្បត្តិ ១:៩</p-n>	<p>ព្រះជាម្ចាស់​មាន​ព្រះបន្ទូល​ថា៖ «ចូរ​អោយ​ទឹក​ដែល​នៅ​ពី​ក្រោម​មេឃ​ផ្ដុំ​គ្នា​នៅ​កន្លែង​តែ​មួយ និង​អោយ​ផ្នែក​គោក​លេច​ចេញ​មក!» នោះ​ក៏​កើត​មាន​ដូច្នោះ​មែន។ 
GEN 1:10	@<p-n>លោកុប្បត្តិ ១:១០</p-n>	<p>ព្រះជាម្ចាស់​ហៅ​ផ្នែក​គោក​នោះ​ថា “ដី” រីឯ​ផ្ទៃ​ទឹក​វិញ ព្រះអង្គ​ហៅ​ថា “សមុទ្រ”។ ព្រះជាម្ចាស់​ទត​ឃើញ​ថា ដី និង​សមុទ្រ​ល្អ​ប្រសើរ​ហើយ។ </p>
GEN 1:11	@<p-n>លោកុប្បត្តិ ១:១១</p-n>	<p>ព្រះជាម្ចាស់​មាន​ព្រះបន្ទូល​ថា៖ «ចូរ​មាន​តិណជាតិ ធញ្ញជាតិ​ដែល​មាន​គ្រាប់​ពូជ និង​រុក្ខជាតិ​ដែល​មាន​ផ្លែ​ដុះ​ចេញ​ពី​ដី បង្កើត​ផល​នៅ​លើ​ផែនដី​តាម​ពូជ​របស់​វា និង​មាន​គ្រាប់​បន្ត​ពូជ» នោះ​ក៏​កើត​មាន​ដូច្នោះ​មែន 
GEN 1:12	@<p-n>លោកុប្បត្តិ ១:១២</p-n>	<p>គឺ​តិណជាតិ ធញ្ញជាតិ​ដែល​មាន​គ្រាប់​បន្ត​ពូជ តាម​ពូជ​របស់​វា និង​រុក្ខជាតិ​ដែល​មាន​ផ្លែ មាន​គ្រាប់​បន្ត​ពូជ តាម​ពូជ​របស់​វា ដុះ​ចេញ​ពី​ដី​មក។ ព្រះជាម្ចាស់​ទត​ឃើញ​ថា អ្វីៗ​ទាំង​នោះ​ល្អ​ប្រសើរ​ហើយ។ 
GEN 1:13	@<p-n>លោកុប្បត្តិ ១:១៣</p-n>	<p>ពេល​នោះ មាន​ល្ងាច មាន​ព្រឹក គឺ​ជា​ថ្ងៃ​ទី​បី។ </p>
