1CH 1:1	លោក​អ​ដាំ លោក​សេ​ថ លោក​អេ​ណុស
1CH 1:2	លោក​កៃ​ណាន លោក​ម៉ា​លេ​លាល លោក​យេ​រេ​ឌ
1CH 1:3	លោក​ហេ​ណុ​ក លោក​មធូ​សា​ឡា លោក​ឡា​មេក​។
1CH 1:4	លោក​ឡា​មេក​ជា​ឪពុក​លោ​ក​ណូ​អេ កូន​ៗ​របស់​លោ​ក​ណូ​អេ​មាន​លោ​កសិម លោ​ក​ហាំ និង លោក​យ៉ា​ផេ​ត​។
1CH 1:5	កូ​នប្រុសៗ​របស់​លោក​យ៉ា​ផេ​ត​មាន កូ​មើរ ម៉ា​កុក ម៉ា​ដាយ យ៉ា​វ៉ាន ទូ​បាល មែ​សេក និង​ទី​រ៉ា​ស​។
1CH 1:6	កូ​នប្រុសៗ​របស់​លោក​កូ​មើ​រមាន អា​សក្នាស រី​ផា​ត និង​តូ​ការ​ម៉ា​។
1CH 1:7	កូ​នប្រុសៗ​របស់​លោក​យ៉ា​វ៉ាន​មាន អេ​លី​សា តើ​ស៊ី​ស គី​ទីម និង​ដូ​ដា​នីម​។
1CH 1:8	កូ​នប្រុសៗ​របស់​លោ​ក​ហាំ មាន​គូស មី​សរ៉ែម ពូថ និង​កា​ណាន​។
1CH 1:9	កូ​នប្រុសៗ​របស់​លោក​គូស​មាន សេ​បា ហា​វីឡា សាប​តា រ៉ា​ម៉ា និង​សាប​តិ​កា​។ កូ​នប្រុសៗ​របស់​លោក​រ៉ា​អា​ម៉ា គឺ សេ​បា​និង​ដេ​ដាន់​។
1CH 1:10	លោក​គូស ជា​ឪពុក​របស់​លោក​នី​មរ៉ូដ លោក​គឺជា​វីរបុរស​ទីមួយ​នៅ​លើ​ផែនដី​។
1CH 1:11	លោក​មី​សរ៉ែម ដូនតា​របស់​ជនជាតិ​លូ​ឌីម ជនជាតិ​អ​ណា​មីម ជនជាតិ​លេ​ហា​ប៊ី​ម ជនជាតិ​ណា​ធូ​ហ៊ី​ម
1CH 1:12	ជន​ជា​តិ​ប៉ា​ទ្រូ​ស៊ី​ម និង​ជនជាតិ​កាស​លូ​ហ៊ី​ម (ដែល​ត្រូវជា​ដូនតា​របស់​ជនជាតិ​ភី​លី​ស្ទីន) និង​ជនជាតិ​កាប់​ថោ​រីម​។
1CH 1:13	លោក​កា​ណាន បង្កើត​ស៊ី​ដូន ជា​កូនច្បង និង​ហេ​ត​។
1CH 1:14	គាត់​ក៏​ក្លាយជា​បុព្វបុរស​របស់ ជនជាតិ​យេ​ប៊ូស ជនជាតិ​អា​ម៉ូ​រី ជន​ជា​តិ​គើ​កា​ស៊ី
1CH 1:15	ជនជាតិ​ហេ​វី ជនជាតិ​អើ​គី ជនជាតិ​ស៊ី​នី​ត
1CH 1:16	ជនជាតិ​អើ​វ៉ា​ឌីត ជនជាតិ​សេ​ម៉ា​រីត ជនជាតិ​ហា​ម៉ា​ធី​ត​។
1CH 1:17	កូ​នប្រុសៗ​របស់​លោ​កសិម​មាន អេ​ឡាំ អា​សស៊ើរ អើ​ប៉ាក​សា​ឌ លូឌ អើ​រ៉ាម អ៊ូ​ស ហ៊ូ​ល កេ​ធើរ និង​មែ​សេក​។
1CH 1:18	លោក​អើ​ប៉ាក​សា​ឌ​ជា​ឪពុក​របស់​លោក​សេ​ឡា លោក​សេ​ឡា​ជា​ឪពុក​របស់​លោក​ហេ​ប៊ើរ​។
1CH 1:19	លោក​ហេ​ប៊ើ​រមា​នកូ​នប្រុ​សពី​រនា​ក់ មួយ​ឈ្មោះ​ផា​លេ​ក ពីព្រោះ​នៅ​ជំនាន់​នោះ​មនុស្ស​បាន​បែកចែក​ផែនដី​គ្នា រី​ឯ​ប្អូន​គាត់​ឈ្មោះ​យ៉ុក​ថាន​។
1CH 1:20	លោក​យ៉ុក​ថាន​ជា​ឪពុក​របស់​អាល់-ម៉ូដា​ដ សេ​លែប ហា​សា​ម៉ា​វ៉ែត យេ​រ៉ា
1CH 1:21	ហា​ដូ​រ៉ាម អ៊ូ​សាល ឌី​កឡា
1CH 1:22	អូ​បាល អ​ប៊ី​ម៉ា​អែល សេ​បា
1CH 1:23	អូ​ភៀរ ហា​វីឡា និង​យ៉ូ​បាប​។ អ្នក​ទាំងនោះ​សុទ្ធតែ​ជា​កូនចៅ​របស់​លោក​យ៉ុក​ថាន​។
1CH 1:24	លោ​កសិម លោក​អើ​បា​ក​សា​ឌ​លោក​សេ​ឡា
1CH 1:25	លោក​ហេ​ប៊ើរ លោក​ផា​លេ​ក លោក​រេ​ហ៊ូ​វ
1CH 1:26	លោក​សេ​រូ​ក លោក​ណា​ឃរ លោក​ថេ​រ៉ា
1CH 1:27	លោក​ថេ​រ៉ា​ជា​ឪពុក​លោក​អាប់​រ៉ាម គឺជា​លោក​អ​ប្រា​ហាំ​។
1CH 1:28	កូន​របស់​លោក​អ​ប្រា​ហាំ​មាន លោក​អ៊ី​សាក និង​លោក​អ៊ី​ស្មា​អែល​។
1CH 1:29	ពូជពង្ស​របស់​លោក​អ៊ី​ស្មា​អែ​លមា​នដូ​ចត​ទៅ លោ​កនេ​បា​យ៉ូ​ត​ជា​កូនច្បង កេ​ដារ អ​បែល មី​ប​សាម
1CH 1:30	មី​សម៉ា ឌូ​ម៉ា ម៉ាស្សា ហា​ដាដ ថេ​ម៉ា
1CH 1:31	យេ​ធើរ ណា​ភីស និង​កេ​ដម៉ា​។ អ្នកនោះ​សុទ្ធតែ​ជា​កូ​នប្រុសៗ​របស់​លោក​អ៊ី​ស្មា​អែល​។
1CH 1:32	រី​ឯ​កូ​នប្រុសៗ​របស់​នាង​កិ​ទូ​រ៉ា ជា​ប្រពន្ធចុង​របស់​លោក​អ​ប្រា​ហាំ​មាន ស៊ី​មរ៉ាន យ៉ុក​សាន មី​ដាន មី​ឌាន អ៊ី​សបា​ក់ និង​ស៊ូ​អា​។ កូ​នប្រុសៗ​របស់​លោក​យ៉ុក​សាន​គឺ សា​បា និង​ដេ​ដាន់​។
1CH 1:33	កូ​នប្រុសៗ​របស់​លោក​មី​ឌាន​គឺ អេ​ផា អេ​ភើរ ហេ​ណុ​ក អ​ប៊ី​ដា និង​អែល​ដា​អា​។ អ្នក​ទាំងនោះ​សុទ្ធតែ​ជា​កូនចៅ​របស់​នាង​កិ​ទូ​រ៉ា​។
1CH 1:34	លោក​អ​ប្រា​ហាំ​ជា​ឪពុក​របស់​លោក​អ៊ី​សាក ហើយ​កូន​របស់​លោក​អ៊ី​សាក​គឺ​លោក​អេ​សាវ និង​លោក​អ៊ីស្រាអែល​។
1CH 1:35	កូ​នប្រុសៗ​របស់​លោក​អេ​សាវ​មាន អេ​លី​ផាស រេ​ហួល យេ​អូស យ៉ា​ឡាម និង​កូ​រ៉ា​។
1CH 1:36	កូ​នប្រុសៗ​របស់​លោក​អេ​លី​ផាស​មាន ថេ​ម៉ាន អូ​ម៉ា​រ សេ​ផូ កេ​ថាម កេ​ណាស ធី​មណា និង​អា​មា​ឡេ​ក​។
1CH 1:37	កូ​នប្រុសៗ​របស់​លោក​រេ​ហួល​មាន ណា​ហាត់ សេ​រ៉ា​ស សាំ​ម៉ា និង​មី​សសា​។
