ref	verse
1CH 10:1	ពួកកង‌ទ័ព​ភីលីស្ទីន​បាន​វាយ​ប្រហារ​កង‌ទ័ព​អ៊ីស្រា‌អែល។ ពល​ទាហាន​អ៊ីស្រា‌អែល​បាក់​ទ័ព​នៅ​មុខ​ពួក​ភីលីស្ទីនហើយទាហាន​អ៊ីស្រា‌អែល​ជា​ច្រើន​បាន​ស្លាប់​នៅ​លើ​ភ្នំ​គីល‌បោ។
1CH 10:10	ពួកគេបានយកគ្រឿងសស្ត្រាវុធរបស់ព្រះបាទទៅតម្កល់ទុកក្នុងវិហារនៃព្រះរបស់គេ ហើយយកព្រះសិរសារបស់ស្តេចទៅព្យួរនៅក្នុងវិហារព្រះដាកុន។
1CH 10:11	កាល​អ្នក​ក្រុង​យ៉ាបេសកាឡាដ ដឹង​អំពី​ហេតុ‌ការណ៍​ទាំង​ប៉ុន្មាន ដែល​ពួក​ភីលីស្ទីន​បាន​ប្រព្រឹត្ត​ចំពោះ​សព​របស់​ព្រះ‌បាទ​សូល
1CH 10:12	ទាហាន​ដ៏​ចំណាន​ទាំង​ប៉ុន្មាន​នៅ​ក្រុង​នោះ បាននាំ​គ្នា​ចេញ​ដំណើរ​ទៅ​យក​សព​របស់​ព្រះ‌បាទ​សូល និង​បុត្រា នាំ​មក​ក្រុង​យ៉ាបេស​វិញ។ ពួក​គេ​រើស​ធាតុ​យក​ទៅ​បញ្ចុះ​ក្រោម​ដើម​ជ្រៃ​មួយ​នៅ​ក្រុង​យ៉ាបេស ហើយ​នាំ​គ្នា​តម​អាហារ​ចំនួន​ប្រាំ‌ពីរ​ថ្ងៃ។
1CH 10:13	ព្រះ‌បាទ​សូល​សោយ​ទិវង្គត ព្រោះ​តែ​ស្ដេច​បាន​ប្រព្រឹត្ត​ខុស ដោយ​ក្បត់​នឹង​ព្រះ‌អម្ចាស់។ ​ស្ដេច​ពុំ​កាន់​តាម​ព្រះ‌បន្ទូល​របស់​ព្រះ‌អម្ចាស់​ឡើយ ផ្ទុយ​ទៅ​វិញស្ដេច​បាន​ទៅ​រក​គ្រូ​អន្ទង​ខ្មោច​ទស្សន៍‌ទាយ​។
1CH 10:14	ស្ដេច​ពុំ​បាន​ទូល​សួរ​ព្រះ‌អម្ចាស់​ទេ ហេតុ​នេះ ព្រះអង្គ​ធ្វើ​ឲ្យ​ស្ដេច​សោយ​ទិវង្គត ហើយ​ផ្ទេរ​រាជ​សម្បត្តិ​ទៅ​ឲ្យ​ព្រះ‌បាទ​ដាវីឌ ជា​បុត្រ​របស់​លោក​អ៊ីសាយ​វិញ។
1CH 10:2	ពួក​ភីលីស្ទីន​បាន​ដេញ​តាម​ព្រះ‌បាទ​សូល និង​បុត្រៗ​របស់​ស្ដេច​យ៉ាង​ប្រកិត។ ពួក​គេ​សម្លាប់​សម្ដេច​យ៉ូណា‌ថាន សម្ដេច​អប៊ី‌ណាដាប់ និង​សម្ដេច​ម៉ាល់គី‌ស៊ូអា ជា​បុត្រ​របស់​ព្រះ‌បាទ​សូល។
1CH 10:3	បន្ទាប់​មក គេ​សម្រុក​ទៅ​លើ​ព្រះ‌បាទ​សូល។ ទ័ព​បាញ់​ព្រួញ​បាន​ដេញ​តាម​ទាន់​ព្រះ‌បាទ​សូល ធ្វើ​ឲ្យ​ទ្រង់​តក់‌ស្លុត​យ៉ាង​ខ្លាំង។
1CH 10:4	ស្ដេច​មាន​រាជ‌ឱង្ការ​ទៅ​សេនាដែល​កាន់​គ្រឿង​សស្ត្រា‌វុធ​របស់​ស្ដេច​ថា៖ «ចូរឯង​ហូត​ដាវ​របស់​ឯង​ចាក់​យើង​មក ព្រោះ​យើង​មិន​ចង់​ឲ្យ​សាសន៍​ដទៃ​សម្លាប់​យើង ហើយ​ប្រមាថ​មើល‌ងាយ​យើង​ទេ»។ សេនា​នោះ​មិន​ហ៊ាន​សម្លាប់​ស្ដេច​ឡើយ ព្រោះ​គាត់​ភ័យ​ខ្លាច​យ៉ាង​ខ្លាំង។ ដូច្នេះ ព្រះ‌បាទ​សូល​ក៏​ហូត​ដាវ ហើយ​ផ្ដួល​ខ្លួន​លើ​មុខ​ដាវ​នោះ​ទៅ។
1CH 10:5	កាល​សេនា​ដែល​កាន់​គ្រឿង​សស្ត្រា‌វុធ​របស់​ស្ដេច​ឃើញ​ស្ដេច​សោយ​ទិវង្គត​ដូច្នេះ គាត់​ក៏​ហូត​ដាវ រួច​ផ្ដួល​ខ្លួន​លើ​មុខ​ដាវ​ដែរ។
1CH 10:6	ដូច្នេះ ព្រះ‌បាទ​សូល និង​បុត្រា​ទាំង​បី​អង្គ ព្រម​ទាំង​ញាតិ​វង្ស​ទាំង​អស់ បាត់​បង់​ជីវិត​ក្នុង​ពេល​ជា​មួយ​គ្នា។
1CH 10:7	កាល​ជន‌ជាតិ​អ៊ីស្រា‌អែល​ទាំង​អស់ ដែល​ស្ថិត​នៅ​ក្នុង​ជ្រលង​ភ្នំ ឃើញ​ថា​អ៊ីស្រា‌អែល​បាក់​ទ័ព ហើយ​ព្រះ‌បាទ​សូល ព្រម​ទាំង​បុត្រាសុគត​អស់​ ពួក​គេ​ក៏​បោះ​បង់​ទីក្រុង​ចោល ហើយរត់​ភៀស​ខ្លួន​អស់​ទៅ។ កង‌ទ័ព​ភីលីស្ទីន​ក៏ចូល​មក​កាន់​កាប់​ក្រុង​ទាំង​នោះ។
1CH 10:8	ស្អែក​ឡើង ពួក​ភីលីស្ទីន​នាំ​គ្នា​មក​ប្រមូល​របស់​របរ​ដែល​នៅ​ជាប់​នឹង​សាក‌សព ហើយ​ឃើញ​សព​របស់​ព្រះ‌បាទ​សូល និង​បុត្រា​ទាំង​បី​អង្គ នៅ​លើ​ភ្នំ​គីល‌បោ។
