title	text
ភារធារី	<p>ភារៈ-- បា. (ន.) មន្ត្រី​ជា​ជំទប់​នៃ​ឯក​អគ្គ​រាជ​ទូត ឬ​ឯក​អគ្គ​រដ្ឋ​ទូត មាន​នាទី​បំពេញ​មុខការ​ក្នុង​អង្គ​ទូត​ជា​ជំនួស​ក្នុង​ករណី​ដែល​អគ្គ​រាជ​ទូត​ឬ​ឯក​អគ្គ​រដ្ឋ​ទូត​មិន​នៅ, មន្ត្រី​ក្នុង​អង្គ​ទូត​ដែល​ទទួល​ភារៈ​កាន់​កាប់​កិច្ចការ​ជា​ជំនួស​ឯក​អគ្គ​រាជ​ទូត​ឬ​ឯក​អគ្គ​រដ្ឋ​ទូត (បារ. Chargé d'affaires) ។ (ការទូត) chargé d'affares, #ប្រមុខបេសកកម្មការទូតថ្នាក់ទី៣ នៅជាអចិន្ត្រៃយ៍អមក្រសួងការបរទេស។ មន្ត្រីការទូតជាន់ខ្ពស់ដែលមានឋានៈបន្ទាប់ពីឯកអគ្គរដ្ឋទូត ហើយទទួលភារកិច្ចជាប្រធានបេសកកម្មការទូត ដោយជំនួសឯកអគ្គ
ភារា	<p>(ន.) រាជ​ធានី, ក្រុង; ប្រើ​ក្លាយ​មក​ពី ពារា ដែល​ជា​ពាក្យ​ហៅ​ក្រុង​ពារាណសី ដោយ​សង្ខេប សម្រាប់​ប្រើ​សម្រួល​ចួន​ក្នុង​កាព្យ, លុះ​យូរ​ៗ​មក​ក៏​ក្លាយ​សេចក្ដី​ថា ក្រុង (ច្រើន​ប្រើ​ក្នុង​ពាក្យ​កាព្យ​រឿង​ជាតក) ។</p>
ភាវ	<p>(គុ.) ដែល​មាន​សម្បុរ​ខ្ចី មិន​ខ្លាំង​មិន​ច្បាស់​លាស់: សម្បុរ​ភាវ, ក្រហម​ភាវ ។ ភាវ ភាវៈ សំ. បា. (ន.) (ភាវ) ភាព; (សរសេរ​ជា ភាវៈ ច្បាស់​លាស់​ជាង): ភាវៈ​នៃ​បណ្ឌិត, ភាវៈ​កាច, ភាវៈ​សុខ​ទុក្ខ, ផ្ទះ​នេះ​មាន​ភាវៈ​គ្រាំគ្រា​ណាស់​ហើយ ។ ភាវៈ</p>
ភាវនា	<p>ភាវៈនា បា.; សំ. (ន.) (ភាវន ឬ ភាវនា) ការ​ចម្រើន, ការ​នឹក​ចំពោះ​ត្រង់​អារម្មណ៍​ដ៏​ល្អ​តែ​មួយ​ដដែល​ៗ​ឲ្យ​ច្រើន​ៗ គឺ​នឹក​ហើយ​នឹក​ទៀត​រឿយ​ៗ​ជា​អនេក, ការ​រំពឹង​ស្មឹងស្មាធិ៍ តាំង​ភាវនា, ចម្រើន​ភាវនា ។ ខ្មែរ​ប្រើ​ជា កិ. ក៏​មាន: ខំ​ភាវនា, ភិក្ខុ​ភាវនា​កម្មដ្ឋាន ។</p>
ភាវនូបនិស្ស័យ	<p>ភាវៈនូប៉ៈនិស-សៃ បា. (ន.) (ភាវនា​+ឧបនិស្សយ) ឧបនិស័្សយ​ដែល​កើត​អំពី​ភាវនា គឺ​ចំណុច​ចិត្ត ឬ​សេចក្ដី​ពេញ​ចិត្ត ដែល​ជាប់​ជា​ស្នាម​ជា​លំអាន​មក​អំពី​ការ​បាន​ធ្វើ​ភាវនា (ម. ព. ឧបនិស្ស័យ ផង) ។</p>
ភាវរូប	<p>ភាវៈ-- សំ. បា. (ន.) រូប​តាម​ភាព គឺ​រូប​ដែល​មាន​លក្ខណៈ​សណ្ឋាន​ផ្សេង​គ្នា​ឲ្យ​ចំណាំ​បាន យ៉ាង​ដូច​រូប​បុរស​ស្រ្តី​ជាដើម (រូប​បុរស​ស្ត្រី ហៅ ឥត្ថី​ភាវ​រូប, បុរិស​ភាវ​រូប) ។</p>
ភាសា​បរិវត្តកៈ	<p>--ប៉ៈរ៉ិវ័ត-តៈ​កៈ បា. (ន.) (--វត្តក) អ្នក​ប្រែ​ភាសា, អ្នក​បក​ភាសា គឺ​អ្នក​ដែល​ចេះ​ស្ដាប់​ភាសា​បាន​ទាំង​ពីរ​ខាង ហើយ​បក​ប្រែ​ពី​សម្ដី​អ្នក​ម្ខាង​ទៅ​ជា​សម្ដី​អ្នក​ម្ខាង; បើ​ស្រ្តី​ជា ភាសា​បរិវត្តិកា ។</p>
ភាសា​បរិវត្តន៍	<p>--ប៉ៈរ៉ិវ័ត បា. (ន.) (--វត្តន) ការ​ប្រែ​ភាសា គឺ​ការ​និយាយ​ឬ​សរសេរ​ប្រែ​ពី​ភាសា​មួយ​ជា​ភាសា​មួយ​ផ្សេង ។</p>
ភាសិត	<p>បា. (ន.) សម្ដី, ពាក្យ ។ គុ. ដែល​គេ​ពោល​ហើយ, ដែល​និយាយ​ហើយ ។ ប្រើ​ផ្សំ​ចូល​នឹង​នាម​នាម​ឯ​ទៀត​ក៏​បាន ដូច​ជា: ពុទ្ធ​ភាសិត ពាក្យ​ព្រះ​ពុទ្ធ, ពាក្យ​ដែល​ព្រះ​ពុទ្ធ​ទ្រង់​ត្រាស់​សម្ដែង​ហើយ; សុភាសិត ពាក្យ​ពីរោះ, ពាក្យ​ត្រឹមត្រូវ, សម្ដី​ដែល​គេ​និយាយ​ត្រូវ, ពាក្យ​ប្រដៅ​ល្អ, ទុព្ភាសិត ពាក្យ​អាក្រក់, សម្ដី​ដែល​នាំ​ឲ្យ​ប្រព្រឹត្ត​អាក្រក់ ។ ល។</p>
ភាស៊ី	<p>ស. (ន.) (ភាឞី អ. ថ. ផាស៊ី) ពន្ធ​ទំនិញ គឺ​ពន្ធ​ដែល​រាជការ​ត្រូវ​ហូត​យក​អំពី​អ្នក​លក់​ទំនិញ ឬ​អ្នក​នាំ​ទំនិញ​ចេញ​ចូល ។ ក្នុង​កម្ពុជ​រដ្ឋ​ប្រើ​ពាក្យ​នេះ​ចំពោះ​តែ​ពន្ធ​ដែល​ហូត​យក​រាល់​ថ្ងៃ​អំពី​អ្នក​លក់​ដូរ​នៅ​ទី​ផ្សារ​នីមួយ​ៗ​ដែល​មាន​បញ្ញត្តិ​ឲ្យ​ទារ​យក; ច្រើន​និយាយ​ថា​ ភស៊ី (ភៈស៊ី) ឬ ផាស៊ី ។</p>
ភិក្ខវោ!	<p>បា. (អាល.) ភិក្ខុ​ទាំងឡាយ ! (ម្នាល​ភិក្ខុ​ទាំងឡាយ); ព្រះ​ពុទ្ធ​តម្រាស់​ត្រាស់​ហៅ​ពួក​ភិក្ខុ​ឲ្យ​ចូល​មក​ជួប​ជុំ​ឬ​ឲ្យ​ត្រងត្រាប់​ស្ដាប់​ព្រះ​បន្ទូល​ព្រះ​អង្គ ក្នុង​ហេតុ​ការណ៍​អ្វី​មួយ ដែល​ព្រះ​អង្គ​នឹង​សម្ដែង​ប្រាប់-ភិក្ខុ​ទាំងឡាយ​ទទួល​ព្រះ​បន្ទូល​ព្រះ​អង្គ​ថា ភទន្តេ! “សូម​ទ្រង់​ព្រះ​ចម្រើន!” ឬ​តាម​ទម្លាប់​ប្រែ​ថា “បពិត្រ​ព្រះ​អង្គ​ទ្រង់​ចម្រើន!” ឬ​ក៏​ថា “សូម​ទ្រង់​ព្រះ​មេត្តា​ប្រោស!” (ពាក្យ​សម្រាប់​ប្រើ​ក្នុង​ការ​ប្រែ​បាលី, ក្នុង​ការ​តែង​សេចក្ដី​ធម៌​វិន័យ​ឬ​សម្ដែង​ធម៌) ។ ម. ព. ភទន្តេ ផង ។</p>
ភិក្ខា	<p>ភិក-ខា បា.; សំ. (ន.) (ភិក្សា) ការ​សូម, ការ​សូម​ទាន ។(សំ. ភិក្សា) បាយ, ភោជនា-ហារ។ ភិក្ខាចរ អ្នក​ដើរ​សូម​ទាន (ស្មូម)។ ភិក្ខាចរិយា ឬ ភិក្ខាចារ ការ​ដើរ​សូម ។ ភិក្ខាចារ​វត្ត សណ្ដាប់ធ្នាប់​របស់​អ្នក​សូម​ដោយ​សុភាព​រាបសា ។ ភិក្ខាទាន ការ​ឲ្យ​ភោជនាហារ (ជា​ទាន) ។ ភិក្ខា​ភាជនៈ ឬ--ភាជន៍ ប្រដាប់​ដាក់​ភោជនាហារ, ចាន​បាយ ។ ភិក្ខាហារ អាហារ​ដែល​បាន​មក​ដោយ​ការ​សូម ។</p>
ភិក្ខុ	<p>ភិក-ខុ ឬ ភិក បា.; សំ. (ន.) (ភក្សុ) សមណ​អ្នក​សូម, សមណៈ​អ្នក​ខ្លាច​ភ័យ​ក្នុង​វដ្ដសង្សារ, អ្នក​ខ្លាច​បាប​ជានិច្ច, អ្នក​មាន​ព្យាយាម​ដុត​បំផ្លាញ​អំពើ​អាក្រក់... ។ ខាង​ពុទ្ធ​សាសនា ហៅ​ចំពោះ​តែ​បុរស​អ្នក​បួស​ដែល​មាន​ភេទ​ឧត្តម​ជាង​សាមណេរ: ភិក្ខុ​ច្រើន​រូប, បួស​ភិក្ខុ, លោក​ភិក្ខុ ។ ភិក្ខុ​ភាព, ភោក្ខុភាវ ឬ ភិក្ខុភាវៈ ដំណើរ​បាន​ទទួល​ឧបសម្បទា​ជា​ភិក្ខុ គឺ​ការ​បាន​ភេទ​ជា​លោក​ភិក្ខុ ។ ភិក្ខុ​សង្ឃ ប្រជុំ​ភិក្ខុ​ច្រើន​តាំង​ពី ៤ រូប​ឡើង​ទៅ ។</p>
ភិក្ខុនី	<p>ភិក-ខុណី បា.; សំ. (ន.) (ភិក្សុណី) ភិក្ខុ​ស្រី គឺ​ស្ត្រី​ដែល​បួស​ជា​ភិក្ខុ (មាន​តែ​ពី​ក្នុង​ពុទ្ធ​កាល​និង​ពុទ្ធ​សាសនា​កាល​សម័យ​ពី​ដើម, សព្វ​ថ្ងៃ​នេះ​មិន​មាន) ។</p>
ភិត	<p>សំ. បា. (កិ. ឬ គុ.) (ភីត) ខ្លាច; ដែល​ខ្លាច: ឥត​ភិត, ភិត​ខ្លាច; ច្រើន​និយាយ​ផ្សំ​នឹង​ពាក្យ ​ភ័យ ថា: ភិតភ័យ ឬ ភ័យភិត (ម. ព. ភ័យ)</p>
ភិន	<p>សំ. បា. (ន.) (ភិន្ន ជា គុ. “ដែល​បែក​ហើយ, ធ្លាយ​ហើយ; ដែល​ផ្សេង​គ្នា...”) ស្លាកស្នាម, គ្រឿង​សម្គាល់​នៅ​រូប​កាយ: មាន​ភិន ។ ភិនភាគ ចំណែក​ស្លាក​ស្នាម​ជា​គ្រឿង​សម្គាល់; រូប​រាង, ទ្រង់ទ្រាយ​ដែល​មាន​គ្រឿង​ចំណាំ​ឲ្យ​ស្គាល់​បាន ។ ភិន​ភេទ ភេទ​ដែល​មាន​ភិន, រូប​រាង​ដែល​មាន​សណ្ឋាន​ឬ​មាន​លក្ខណៈ​ផ្សេង​គ្នា ។</p>
ភិន្នបិតុក	<p>--តុក ឬ ភិន​-នៈប៉ិតុកៈ បា. (ន.) បង​ប្អូន​ម្ដាយ​ជាមួយ​ឪពុក​ទីទៃ ។ ភិន្នបិតុកៈ</p>
ភិន្នោទរ	<p>ភិន-នោ-ទ សំ. បា. (ន.) (&lt; ភិន្ន “ផ្សេង, ទីទៃ” + ឧទរ “ពោះ, ផ្ទៃ”) បង​ប្អូន​ដែល​កើត​អំពី​មាតា​ផ្សេង​គ្នា​តែ​រួម​បិតា​មួយ គឺ​បង​ប្អូន​ឪពុក​ជាមួយ​ម្ដាយ​ទីទៃ បង​ភិន្នោទរ, ប្អូន​ភិន្នោទរ ។</p>
