kerr72:1	ກ	[kɔː]	<ol><li>        the first consonant of the Lao alphabet; a middle-group consonant.  Regionally {ຂ} may occasionally occur instead of {ກ} .
kerr72:2.1	ກະການ	[ká kaːn]	<p-a>ກະ</p-a> <p-a>ການ</p-a> <ol><li>        estimate work.
kerr72:2.2	ກະເບິ່ງ	[ká bə̄ŋ]	<p-a>ກະ</p-a> <p-a>ເບິ່ງ</p-a> <ol><li>        guess, estimate.
kerr72:2.3	ກະວ່າ	[ká wāː]	<p-a>ກະ</p-a> <p-a>ວ່າ</p-a> <ol><li>        guess, estimate.
kerr72:2.4	ກະໄວ້	[ká wȃy]	<p-a>ກະ</p-a> <p-a>ໄວ້</p-a> <ol><li>        guess, estimate.
kerr72:2.5	ກະໄຫ້	[ká hȁy]	<p-a>ກະ</p-a> <p-a>ໄຫ້</p-a> <ol><li>        guess, estimate.
kerr72:2.6	ກະເອົາ	[ká ao]	<p-a>ກະ</p-a> <p-a>ເອົາ</p-a> <ol><li>        guess, estimate.
kerr72:2	ກະ	[ká]	<ol><li>  <p-p>adjective</p-p>}  projected, precalculated.<br><ol><li>  <p-p>adverb</p-p>}  approximately.<br><ol><li>  <p-p>verb</p-p>}  expect, evaluate, estimate, approximate, guess.
kerr72:3	ກະ	[ká]	<ol><li>        a common untranslatable prefix.
kerr72:4	ກະ	[ká]	<ol><li>  <p-p>noun</p-p>}  an invincible, malevolent spirt.
kerr72:5	ກະກຸສັນໂທ	[ká kú săn tʰóː]	ກະກຸສົນ<br>[ká kú sŏn]<br><ol><li>       {[Buddhist]}  the five wise men.<br><p-e>Pali</p-e>
kerr72:6	ກະກຸທະພັນ	[ká kú tʰā pʰán]	<ol><li>  <p-p>noun</p-p>}  the five royal accoutrements.<br><p-e>Pali</p-e>
kerr72:7	ກະກຸນ	[ká kun]	<ol><li>  <p-p>noun</p-p>}  dynasty, family.<br><p-e>Pali</p-e>
kerr72:8.1	ກະເກນການ	[ká keːn kaːn]	<p-a>ກະເກນ</p-a> <p-a>ການ</p-a> <ol><li>  <p-p>noun</p-p>}  corve, forced labor.
kerr72:8	ກະເກນ	[ká keːn]	<ol><li>  <p-p>verb</p-p>}  oblige, require, exact.
kerr72:9	ກະກຽມ	[ká kiaːm]	<ol><li>  <p-p>verb</p-p>}  prepare.
kerr72:10	ກະໂຄງການ	[ká kʰóːŋ kaːn]	<ol><li>  <p-p>verb</p-p>}  project, plan.
kerr72:11	ກະງ້ອນກະແງ້ນ	[ká ŋɔ̑ːn ká ŋɛ̑ːn]	<ol><li>  <p-p>adjective</p-p>}  serpentine.<br><p-e>Thai</p-e>
kerr72:12	ກະຈະ	[ká cá]	<ol><li>  <p-p>adjective</p-p>}  briliant, clear.<br><p-e>Pali</p-e>
kerr72:13	ກະຈາ	[ká caː]	<ol><li>  <p-p>adjective</p-p>}  average.
kerr72:14	ກະຈູ້	[ká cȗː]	<ol><li>  <p-p>noun</p-p>}  a large wicker fish trap.
kerr72:15	ກະແຈະ	[ká cɛ́]	<ol><li>  <p-p>noun</p-p>}  face powder, scented powder.
kerr72:16.1	ກະແຈດານ	[ká cɛː daːn]	<p-a>ກະແຈ</p-a> <p-a>ດານ</p-a> <ol><li>  <p-p>noun</p-p>}  locking bar.
kerr72:16.2	ກະແຈມື	[ká cɛː mɨ́]	<p-a>ກະແຈ</p-a> <p-a>ມື</p-a> <ol><li>  <p-p>noun</p-p>}  handcuffs.
kerr72:16	ກະແຈ	[ká cɛː]	<ol><li>  <p-p>noun</p-p>}  key, lock.
kerr72:17	ກະແຈວຽນ	[ká cɛː wíaːn]	<ol><li>       {[botany]}  epiphytic fern, used medicinally for sores,  <i>Aglaomorpha coronans Cop.</i>  (Luang Prabang) <bibl>Vidal</bibl>.
kerr72:18	ກະເຈາະກະຈອກ	[ká cɔ́ ká cɔ̏ːk]	<ol><li>  <p-p>adjective</p-p>}  happy.<br><ol><li>  <p-p>adverb</p-p>}  happily.
kerr72:19	ກະເຈິກະເຈິກ	[ká cə́ ká cə̏ːk]	<ol><li>  <p-p>adjective</p-p>}  happy.<br><ol><li>  <p-p>adverb</p-p>}  happily.
kerr72:20	ກະເຈັຽະກະຈຽກ	[ká cía ká cȉaːk]	<ol><li>  <p-p>adjective</p-p>}  happy.<br><ol><li>  <p-p>adverb</p-p>}  happily.
kerr72:21	ກະຈົວະກະຈວກ	[ká cúa ká cȕaːk]	<ol><li>  <p-p>adjective</p-p>}  happy.<br><ol><li>  <p-p>adverb</p-p>}  happily.
kerr72:22	ກະເຈົາ	[ká cao]	<ol><li>       {[botany]}  jute,  <i>Corchorus capsularis.</i>
kerr72:23	ກະຈຸກ	[ká cúk]	<ol><li>  <p-p>noun</p-p>}  tuft (of hair): bunch (of grass).
kerr72:24	ກະຈຸກກະຈິກ	[ká cúk ká cík]	<ol><li>  <p-p>adjective</p-p>}  trifling, trivial.
kerr72:25.1	ກະຈົກແກ້ວ	[ká cók kɛ̑ːw]	<p-a>ກະຈົກ</p-a> <p-a>ແກ້ວ</p-a> <ol><li>  <p-p>noun</p-p>}  mirror, looking glass,
kerr72:25.2	ກະຈົກແຍງຫມ້າ	[ká cók ---]	<p-a>ກະຈົກ</p-a> <p-a>ແຍງຫມ້າ</p-a> <ol><li>  <p-p>noun</p-p>}  mirror.
kerr72:25.3	ກະຈົກຣົຖຍົນ	[ká cók ---]	<p-a>ກະຈົກ</p-a> <p-a>ຣົຖຍົນ</p-a> <ol><li>  <p-p>noun</p-p>}  windshield.
kerr72:25	ກະຈົກ	[ká cók]	<ol><li>  <p-p>noun</p-p>}  mirror, glass, looking glass.
kerr72:26	ກະຈອກ	[ká cɔ̏ːk]	<ol><li>       {[zoology]}  sparrow,  <i>Passer flaviolus.</i>
kerr72:27	ກະຈອກ	[ká cɔ̏ːk]	<ol><li>  <p-p>adjective</p-p>}  illusory.
kerr72:28	ກະຈັງ	[ká caŋ]	<ol><li>  <p-p>noun</p-p>}  design in squares.
kerr72:29	ກະຈ່າງ	[ká cāːŋ]	<ol><li>  <p-p>adjective</p-p>}  clear, light, bright.
kerr72:30	ກະຈົງ	[ká coŋ]	<ol><li>       {[zoology]}  mouse deer.
kerr72:31.1	ກະຈາຄຳ	[ /kaä ca:y/ kʰám]	<p-a>ກະຈາ</p-a> <p-a>ຄຳ</p-a> <ol><li>  <p-p>verb</p-p>}  parse.
kerr72:31.2	ກະຈາຄຳກິຣິຍາ	[ /kaä ca:y/ ---]	<p-a>ກະຈາ</p-a> <p-a>ຄຳກິຣິຍາ</p-a> <ol><li>  <p-p>verb</p-p>}  conjugate.
kerr72:31.3	ກະຈາສຽງ	[ /kaä ca:y/ sĭaːŋ]	<p-a>ກະຈາ</p-a> <p-a>ສຽງ</p-a> <ol><li>  <p-p>verb</p-p>}  broadcast.
kerr72:31.4	ກະຈາແຖວ	[ /kaä ca:y/ tʰɛ̆ːw]	<p-a>ກະຈາ</p-a> <p-a>ແຖວ</p-a> <ol><li>  <p-p>verb</p-p>}  open ranks, spread out in line.
kerr72:31.5	ກະຈາອອກໄປ	[ /kaä ca:y/ ---]	<p-a>ກະຈາ</p-a> <p-a>ອອກໄປ</p-a> <ol><li>  <p-p>verb</p-p>}  decentralize.
kerr72:31	ກະຈາ	[ /kaä ca:y/]	<ol><li>  <p-p>verb</p-p>}  spread, scatter.
kerr72:32	ກະຈາ	[ /kaä ca:y/]	<ol><li>       {[botany]}  a plant of the Curcuma family.<br><ol><li>        a spiny, poisonous bush.<br><ol><li>        vine, medicinal for dysentery, yellow flowers, family of leguminous plants  (Pakse) ) <bibl>Vidal</bibl>
kerr72:33.1	ກະຈຸຽກະຈາຽ	[ká cuy ---]	<p-a>ກະຈຸຽ</p-a> <p-a>ກະຈາຽ</p-a> <ol><li>  <p-p>adjective</p-p>}  disorderly.
kerr72:33	ກະຈຸຽ	[ká cuy]	<ol><li>  <p-p>adverb</p-p>}  scattered in disorder.<br><p-e>Thai</p-e>
kerr72:34.1	ກະຈັດກະແຈງ	[ká cát ---]	<p-a>ກະຈັດ</p-a> <p-a>ກະແຈງ</p-a> <ol><li>  <p-p>adjective</p-p>}  active.
kerr72:34.2	ກະຈັດກະຈາຽ	[ká cát ---]	<p-a>ກະຈັດ</p-a> <p-a>ກະຈາຽ</p-a> <ol><li>  <p-p>adjective</p-p>}  scattered.
kerr72:34.3	ກະຈັດກະຈາຽໄປ	[ká cát ---]	<p-a>ກະຈັດ</p-a> <p-a>ກະຈາຽໄປ</p-a> <ol><li>  <p-p>verb</p-p>}  scatter.
