#no sort
GEN 1:1	@<p-n>ປະ​ຖົ​ມະ​ການ 1:1</p-n>	ເມື່ອ​ພຣະເຈົ້າ​ຕັ້ງຕົ້ນ​ນິຣະມິດ​ສ້າງ​ຈັກກະວານ
GEN 1:2	@<p-n>ປະ​ຖົ​ມະ​ການ 1:2</p-n>	ໂລກ​ບໍ່ທັນ​ມີ​ຮູບຮ່າງ​ແລະ​ຍັງ​ວ່າງ​ເປົ່າ​ຢູ່. ຄວາມມືດ​ໄດ້​ຫຸ້ມຫໍ່​ມະຫາສະໝຸດ​ອັນ​ກວ້າງໃຫຍ່​ໄພສານ ແລະ​ພຣະວິນຍານ​ຂອງ​ພຣະເຈົ້າ ໄດ້​ປົກຄຸມ​ຢູ່​ເທິງ​ໜ້າ​ນໍ້າ.
GEN 1:3	@<p-n>ປະ​ຖົ​ມະ​ການ 1:3</p-n>	ພຣະເຈົ້າ​ໄດ້​ກ່າວ​ວ່າ, “ໃຫ້​ເກີດ​ມີ​ແສງ​ແຈ້ງ​ສ່ອງ​ຂຶ້ນ.” ແລະ​ກໍ​ເປັນ​ດັ່ງນັ້ນ.
GEN 1:4	@<p-n>ປະ​ຖົ​ມະ​ການ 1:4</p-n>	ພຣະເຈົ້າ​ໄດ້​ເຫັນ​ແຈ້ງ​ນັ້ນ​ແລ້ວ​ເຫັນ​ວ່າ​ດີ. ພຣະເຈົ້າ​ແຍກ​ແຈ້ງ​ອອກ​ຈາກ​ມືດ
GEN 1:5	@<p-n>ປະ​ຖົ​ມະ​ການ 1:5</p-n>	ແລະ​ພຣະເຈົ້າ​ໄດ້ເອີ້ນ​ແຈ້ງ​ນັ້ນ​ວ່າ, “ກາງ​ເວັນ.” ແລະ​ໄດ້ເອີ້ນ​ມືດ​ນັ້ນ​ວ່າ, “ກາງ​ຄືນ.” ມີ​ເວລາ​ຄໍ່າ​ແລະ​ເວລາ​ເຊົ້າ ນັ້ນ​ແມ່ນ​ມື້​ທີ​ໜຶ່ງ.
GEN 1:6	@<p-n>ປະ​ຖົ​ມະ​ການ 1:6</p-n>	ແລ້ວ​ພຣະເຈົ້າ​ໄດ້ກ່າວ​ວ່າ, “ໃຫ້​ມີ​ແຜ່ນ​ຟ້າ​ໃນ​ລະຫວ່າງ​ນໍ້າ ແຍກ​ນໍ້າ​ອອກ​ຈາກ​ກັນ​ເປັນ​ສອງ​ສ່ວນ.”
GEN 1:7	@<p-n>ປະ​ຖົ​ມະ​ການ 1:7</p-n>	ພຣະ​ເຈົ້າ​ຈຶ່ງ​ຊົງ​ສ້າງ​ແຜ່ນ​ຟ້າ ແລະ​ແຍກ​ນໍ້າ​ອອກ​ຈາກ​ກັນ​ຄື: ນໍ້າ​ທີ່​ຢູ່​ເທິງ​ແຜ່ນ​ຟ້າ​ແລະ​ນໍ້າ​ທີ່​ຢູ່​ລຸ່ມ​ແຜ່ນ​ຟ້າ. ແລະ​ກໍ​ເປັນ​ດັ່ງນັ້ນ.
GEN 1:8	@<p-n>ປະ​ຖົ​ມະ​ການ 1:8</p-n>	ພຣະເຈົ້າ​ໄດ້ເອີ້ນ​ແຜ່ນ​ຟ້າ​ນັ້ນ​ວ່າ, “ຟ້າ.” ມີ​ເວລາ​ຄໍ່າ ແລະ​ເວລາ​ເຊົ້າ ນັ້ນ​ແມ່ນ​ມື້​ທີ​ສອງ.
GEN 1:9	@<p-n>ປະ​ຖົ​ມະ​ການ 1:9</p-n>	ແລະ​ພຣະເຈົ້າ​ໄດ້ກ່າວ​ວ່າ, “ໃຫ້​ນໍ້າ​ທີ່​ຢູ່​ລຸ່ມ​ທ້ອງຟ້າ​ມາ​ໂຮມ​ກັນ​ຢູ່​ບ່ອນ​ດຽວ ເພື່ອ​ພື້ນດິນ​ແຫ້ງ​ຈະ​ໄດ້​ປາກົດ​ຂຶ້ນ.” ແລະ​ກໍ​ເປັນ​ດັ່ງນັ້ນ.
GEN 1:10	@<p-n>ປະ​ຖົ​ມະ​ການ 1:10</p-n>	ພຣະເຈົ້າ​ໄດ້ເອີ້ນ​ບ່ອນ​ແຫ້ງ​ນັ້ນ​ວ່າ, “ແຜ່ນດິນ​ໂລກ.” ແລະ​ບ່ອນ​ທີ່​ນໍ້າ​ມາ​ໂຮມກັນ​ນັ້ນ​ວ່າ, “ທະ​ເລ.” ພຣະເຈົ້າ​ໄດ້​ເຫັນ​ວ່າ​ສິ່ງ​ນັ້ນ​ດີ.
