ກ	ພຍັນຊນະຕົວທີ 1 ເປັນພວກອັກສອນກາງ ແລະໃຊ້ເປັນຕົວສະກົດໃນແມ່ກັກ. 	
ກະ	ກ.	ປະມານ, ກຳນົດ, ໝາຍ, ຄະເນ. 	
ກະ	ເປັນພຍາງໜ້າຂອງຄຳທີ່ຂຶ້ນຕົ້ນດັວຍ ກະ ດັ່ງກະຈາ ກະແຈ, ກະຈອນ, ກະແສ, ກະຊະ,    ກະດານ, ກະແຕ, ກະຮອກ ຯລຯ ເປັນຕົ້ນ. 	
ກະ	ນ.	ເປັນຊື່ຮຽກຜີປອບແກ່ກ້າ ເຂົ້າຄົນແລ້ວບໍ່ອອກປາກ ຮຽກວ່າ ຜີກະ    (ຕາມຄວາມເຂົ້າໃຈຂອງຄົນບູຮານ) 	
ກະກາ	ນ.	ເປັນຄຳຮຽກຣະບຽບການປະສົມອັກສອນ ອັນເປັນບົດຮຽນຂັ້ນຕົ້ນຕາມແບບບູຮານ    ຄືການປະສົມອັກສອນທີ່ມີແຕ່ພຍັນຊນະ ກັບ ສຣະປະສົມກັນ ຍັງບໍ່ທັນມີຕົວສະກົດ    ຮຽກວ່າ ແມ່ກະກາ ຫລື ກໍກາ. 	
ກະກຸທະພັນ	ນ.	ເຄື່ອງປະດັບຍົດຂອງເຈົ້າແຜ່ນດິນຕາມຂັດຕິຍະຣາຊປະເພນີ ມີ 5 ຢ່າງ ຄື:     1/ມຸງກຸດ    2/ພຣະຂັນ 3/ໄມ້ເທົ້າ 4/ແສ້ຈາມອນ 5/ສຸວັນນະປາທຸກາ (ເກີບຄຳ), ອີກຢ່າງນຶ່ງ ຄື:    1/ພຣະຂັນ 2/ມຸງກຸດ 3/ເສຕສັດ 4/ສຸວັນນະປາທຸກາ 5/ແສ້ຈາມອນ (ປ. ກກຸທພັນທ)    ໃນໜັງສືບູຮານເອີ້ນວ່າກຸກກຸຫ້າ ດັ່ງຄຳກອນວ່າ: (ກຸກກຸຫ້າຂອງພຣະຍາຕັ້ງແຕ່ເກົ່າ    ພີ່ກໍມອບໃຫ້ນ້ອງພຣະອົງອ້ອນຄູ່ອັນ) 	
ກະກຸສັນໂທ	ນ.	ນາມພຣະພຸທເຈົ້າອົງທີ 1 ໃນຈຳນວນຫ້າພຣະອົງ ທີ່ມີຢູ່ໃນພັທກັບນີ້. (ປ.) 	
ກະກຸສົນ	(ຄຳດຽວກັບ ກະກຸສັນໂທ)                         	
ກະເກນ	ກ.	ບັງຄັບ.  (ເກນ ອີກ) 	
ກະຈະ	ວ.	ຂາວງາມ, ແຈ້ງ, ສະອາດ, ເສາະໃສ. 	
ກະຈາ	ວ.	ກະເທີນ, ຜ້ານກາງ, ບໍ່ອ່ອນບໍ່ແກ່. "ຂຸນກະຈານີ້ພໍ່ນາດີກວ່າ    ພໍ່ນາເອື້ອມອິ່ມເຂົ້າຂຸນກະຈາເອື້ອມອິ່ມລົມ"  (ປູ່ສອນຫລານ) 	
ກະແຈະ	ນ.	ແປ້ງຫອມ, ຝຸ່ນຈັນຫອມ.                         	
ກະແຈ	ນ.	ເຄື່ອງໃສ່ຜັກຕູ, ຕູ້, ຫີບ ເປັນຕົ້ນ ເພື່ອໃຫ້ໄຂບໍ່ໄດ້ ທຳດັວຍໂລຫະຫລືໄມ້    ມີໄລເກາະທາງໃນແລະມີລູກສຳລັບໄຂ. (ປ. ກຸນຈິກາ) 	
ກະແຈດານ	ນ.	ກະແຈໄມ້ແບບບູຮານ ຝັກແລະໄລຕິດຢູ່ກັບຝາຜັກຕູດ້ານໃນ    (ດັ່ງດຽວກັບກະແຈຕູ້ທຸກວັນນີ້) 	
ກະແຈມື	ນ.	ກະແຈເປັນວົງມົນໆ ສຳລັບໃສ່ຄໍ່ມືຜູ່ກະທຳຜິດ. 	
ກະເຈາະກະຈອກ	ວ.	ອາການສະແດງຄວາມຍິນດີໃນເວລາເວົ້າຫລືທຳ "ຍາມເມື່ອຊົລທານໍ້າໄຫລນອງຖ້ວມທົ່ງ    ມົດບໍ່ມີບ່ອນຊົ້ນປາກັ້ງອະເຫິ່ຍຫົວ ຍາມເມື່ອຊົລທາແຫ້ງວັງໜອງເຂີນຂາດ    ມົດງ່າມມັນກະເຈາະກະຈອກເວົ້າຫົວລໍ້ຕໍ່ປາ" (ກອນບູຮານ) 	
ກະຈົກ	ນ.	ແກ້ວເປັນແຜ່ນ, ແວ່ນ. 	
ກະຈອກ	ນ.	ນົກຈອກ 	
ກະຈອກ	ວ.	ບ່ອນເປັນຈອກຫລອກ, ພໍກະເທີນ 	
ກະຈັງ	ນ.	ລາຍຂຽນ ຫລື ລາຍສານຮູບ 4 ຫ່ຽມຫັກເຂົ້າໃນ (ເອີ້ນ ລາຍກະຈັງ) 	
ກະຈ່າງ	ວ.	ແຈ້ງ, ສວ່າງ. 	
ກະຈາຍ	ນ.	ໄມ້ພຸ່ມແນວນຶ່ງ ລຳແລະກ້ານມີໜາມ ໜ່ວຍຄົນໃຊ້ທຳສີດຳໄດ້ ໃບເປັນແຫລບ:    ຊື່ຫວ້ານແນວນຶ່ງ ຖວ່າເປັນຫວ້ານມີພິດແຮງ. 	
ກະຈາຍ	ກ.	ຢາຍ, ຊະ, ແຈກອອກ. 	
ກະຈັດ	ວ.	ຖີ່, ແຈບ, ມີລະຍະບໍ່ຫ່າງ. 	
ກະຈັດກະຈາຍ	ວ.	ຊະຊາຍອອກຢ່າງບໍ່ເປັນຣະບຽບ. 	
ກະຈັ້ນ	ວ.	ຈໍ້, ສັ້ນ, ຈັ້ນ. 	
ກະຈິ້ນ	ນ.	ສັດສີ່ຕີນແນວນຶ່ງຈຳພວກໄຕ່ໄມ້ ຕົວນ້ອຍຂນາດກະແຕ ໜ້າແຫລມ. 	
ກະຈົນ	ນ.	ຊື່ປາມີເກັດແນວນຶ່ງ ຕົວກົມຄືປາຄໍ່ ເກັດສີມຸມຫົວນ້ອຍ. 	
ກະຈອນ	ນ.	ເຄື່ອງປະດັບຫູຢ່າງນຶ່ງ ຂາຍາວແລະງໍ ທຳດ້ວຍເງິນຫລືຄຳ: ຊື່ດອກໄມ້ແນວນຶ່ງ    ດອກແລະກ້ານຄືກະຈອນໃສ່ຫູ. 	
ກະຈອນຍອຍ	ນ.	ກະຈອນໃສ່ຫູທີ່ມີຍອຍຢ່ອນລົງ. 	
ກະຈ້ອນ	ນ.	ສັດສີ່ຕີນແນວນຶ່ງຈຳພວກໄຕ່ໄມ້ ຕົວຂນາດກະແຕ ຂົນສີຮຸຍ. 	
ກະຈວນ	ນ.	ແປ້ງ, ແປ້ງຫອມ, ວ. ມຸ່ນເປັນແປ້ງ, ລະອຽດມຸ່ນ, ເປັນຝຸ່ນ. 	
ກະຈາບ	ນ.	ນົກຈາບ. 	
ກະຈິບ	ນ.	ນົກຈີບ. 	
ກະຈອມປ້ອງ	ນ.	ສຽມ. "ນາງກໍຖືເອົາຍັງກະຈອມປ້ອງອັນເປັນເຄື່ອງຕ້ອງຫົວມັນ" (ເວດສັນຕຣະ) 	
ກະສາ	ນ.	ຊື່ນົກແນວນຶ່ງຈຳພວກກິນປາ ຕົວໃຫຍ່ຄໍຍາວຂົນສີໝົ່ນ (ນົກຄໍກ້າກ ກໍວ່າ) 	
ກະສິກັມ	ນ.	ການເຮັດໄຮ່ໄຖນາ, ການປູກຫວ່ານແລະລ້ຽງສັດ (ປ. ກສິກັມມ) 	
ກະສິການ	(ປ. ກສິກາຣ, ກສິກິຈຈ) 	
ກະສິກິດ	(ປ. ກສິກາຣ, ກສິກິຈຈ) 	
ກະສິກອນ	ນ.	ຜູ່ທຳການປູກຫວ່ານແລະລ້ຽງສັດ (ປ. ກສິກຣ) 	
ກະສິຣະ	ນ.	ນໍ້ານົມ (ປ.) 	
ກະສິຣະທາຣາ	ນ.	ສາຍນໍ້ານົມ, ອາການໄຫລອອກແຫ່ງນໍ້ານົມ (ປ.) 	
ກະສື	ນ.	ຊື່ຜີຈຳພວກນຶ່ງ ໃນຈຳພວກຜີເປົ້າ. (ຕາມຄວາມເຂົ້າໃຈຂອງຄົນບູຮານ) 	
