#desc	<a href="https://www.mekongchristian.com/">Mekong Lao Lyrics</a>
#priority	1
ພຣະ​ເຢຊູ​ປຽບ​ດັ່ງ​ຫີນ​ໃຫຍ່	@໔໐	@102	<br><p-n>1 </p-n>ພຣະ​ເຢຊູ​ປຽບດັ່ງຫີນ​ໃຫຍ່<br> ໄດ້​ຊົງ​ບັງ​ໄວ້​ໃຫ້​ພົ້ນ​ໄພ<br> ໂລຫິດ​ແລະ​ນ້ຳທີ່​ຫລັງ​ໄຫລ<br>ອອກ​ມາຈາກ​ຂ້າງ​ຂອງ​ພຣະກາຍ<br> ໄດ້​ຊຳລະ​ໃຈໃຫ້​ເສາະ​ໃສ<br> ໃຫ້​ຫລຸດດ​ບາບ​ພົ້ນຈາກ​ບຶງ​ໄຟ<br><br><p-n>2 </p-n>ໃຈຮ້ອນ​ຮົນ​​ເຫຼືອຄວາມ​ອົດທົນ<br>ບໍ່​ເຮັດ​ໃຫ້​ທ່ານ​ເຖິງ​ທີ່​ພົ້ນ<br>ລຳບາກ​ໜັກ​ນ້ຳຕາຫລັ່ງ​ໄຫລ<br>ບໍ່​ພາ​ໃຫ້​ຮັບ​ຄວາມ​ໄວ້​ໃຈ<br>ພຣະ​ເຢຊູຜູ້​ດຽວ​ອາດ​ຊ່ອຍ<br>ຊົງ​ໃຫ້​ພົ້ນ​ໂທດ​ຢ່າງ​ຮຽບຮ້ອຍ<br><br><p-n>3 </p-n>ຄຸນ​ຄວາມ​ດີ​ຂ້າ​ບໍ່​ເຄີຍ​ມີ<br>ຈຶ່ງ​ຮັບ​ເພິ່ງ​ກາງ​ແຂນ​ມື້​ນີ້<br>ຂອບ​ພຣະຄຸນ​ພຣະອົງ​ຜູ້​ໄຖ່<br>ຜູ້​ຊົງ​ເມດ​ຕາ​ຢ່າງ​ຍິ່ງ​ໃຫ່ຍ<br>ຂ້າ​ໄດ້​ຮັບ​ຍັງ​ນ້ຳພຸ​ໄຫລ<br>ຊຳລະ​ໃຈ​ພົ້ນຈາກ​ຄວາ​ມຕາຍ<br><br><p-n>4 </p-n>ເມື່ອ​ເວລາ​ຫລັບ​ຕາມ​ລາ​ໂລກ<br>ເມື່ອ​ວິນ​ຍານພົ້ນຈາກ​ທຸກ​ໂສກ<br> ແລ້ວ​ຂຶ້ນ​ໄປ​ຍັງ​ໂລກ​ພາຍ​ໜ້າ<br>ຈະ​ເຫັນ​ພຣະພັກ​ພຣະບິດາ<br>ພຣະ​ເຢຊູ​ປຽບ​ດັ່ງ​ຫີນ​ໃຫຍ່<br> ໄດ້​ຊົງ​ບັງ​ໄວ້​ໃຫ້​ພົ້ນ​ໄພ
ຄວາມ​ຮັກ​ວິ​ເສດ	@໔໑	@109	<br><p-n>1 </p-n>ຄວາມ​ຮັກ​ວິ​ເສດ​ກວ່າ​ຄວາມ​ຮັກ​ອື່ນ​​ໃດ<br>ພອນ​ສະຫວັນ​ທີ່​ເຫຼືອ​ລົ້ນລົງ​ມາ<br> ເຊີນ​ປະ​ທັບ​ໃນ​ດວງ​ໃຈ​ຂອງ​ຜູ້​ຂ້າ<br>ຊົງ​ຄຸ້​ມຄອງ​ດ້ວຍ​ພຣະກະຣຸນາ<br> ໂອ້​ພຣະ​ເຢຊູ​ຜູ້​ຊົງ​ພຣະ​ເມດ​ຕາ<br>ຊົງ​ພຣະຄຸນ​ແລະ​ຜູ້​ບໍຣິສຸດ<br>ຂໍ​ຊົງ​ໂຜດ​ຄວາມພົ້ນ​ແລະ​ຊົງ​ຄ້ຳຊູ<br>ຊົງ​ໜູນ​ໃຈ​ບັນດາ​ຜູ້​ຄອຍ​ຢູ່<br><br><p-n>2 </p-n>ຣິດພຣະອົງ​ເຈົ້າສາມາດ​ຊ່ອຍ​ເຮົາ​ໄດ້<br>ໄດ້​ຊົງ​ນຳ​ເຮົາ​ຈົນ​ທຸກ​ວັນ​ນີ້<br>ຂ້າ​ຫວັງ​ວ່າ​ຈະ​ຊົງ​ນຳພາຕໍ່​ໄປ<br>ໃຫ້​ເຖິງ​ເມືອງ​ຟ້າ​ດ້ວຍ​ຄວາມ​ຍິນ​ດີ<br> ເມື່ອ​ຂ້າ​ຫຼົງ​ທາງ​ຫ່າງ​ຈາກ​ພຣະອົງ​ໄປ<br>ພຣະອົງ​ເຈົ້າຊົງ​ສຶບຊອກ​ຕາມ​ຫາ<br>ຊົ່ງຊ່ອຍ​ໃຫ້​ພົ້ນຈາກ​ຄວາມທຸກ​ຮ້າຍ​ໃຫຍ່​<br>ດ້ວຍ​ພຣະ​ໂລຫິດ​ທີ່​ຊົງ​ໄຖ່​ຂ້າ<br><br><p-n>3 </p-n>ຄວາມ​ຮັກ​ຂອງ​ພຣະອົງ​ໃຫຍ່​ຫຼວງ​ໜັກ​ໜາ​<br>ເຫິງ​ທໍ່​ໃດ​ແຮງ​ຕື່ມ​ທຸກ​ເວລາ<br>ຂໍ​ໃຫ້​ພຣະ​ເມດ​ຕາ​ຂອງ​ພຣະບິດາ<br>ໄດ້​ຜູກ​ມັດ​ໃຈ​ຂ້າ​ໃຫ້​ດຸ​ຟັງ<br>ຂໍພຣະອົງ​ຢ່າ​​ໃຫ້​ຂ້າ​ໄດ້​ຖອຍຫຼັງ<br> ແຕ່​ໄວ້​ໃຈ​ພຣະອົງ​ທຸກ​ວັນ​ໃໝ່<br>ບັດ​ນີ້​ຂໍ​ຖວາຍ​ກາຍ​ໃຈ<br>ບູຊາ​ໃຫ້​ເປັນ​ຂອງ​ພຣະອົງ​ເຈົ້າສຶບ​ໄປ
ຂໍພຣະ​ເຢຊູ​ໂຜດ​ໃຫ້​ຂ້າ​ໄດ້​ຮັກ	@໔໒	@111	<br><p-n>1 </p-n>ຂໍພຣະ​ເຢຊູຊົງ​ໂຜດ<br>ໃຫ້​ຂ້າ​ໄດ້​ຮັກ<br> ເມື່​ອຄຸເຂົ່າ​ໄຫວ້​ວອນທູນ<br>ຕໍ່​ພຣະບິດາ<br>ຂໍ​ໃຫ້​ຮັກ​ຫຼາຍ​ກ່ວາ​ກ່ອນ<br>ຫຼາຍ​ກ່ວາ​ຈົນ​ກາຍ​ເປັນ​ພອນ<br>ຮັກພຣະ​ເຢຊູ​<br>ຫຼາຍ​ກ່ວາ​ແຕ່​ກ່ອນ<br><br><p-n>2 </p-n>ເມື່ອ​ກ່ອນ​ຂ້າ​ປາຖະໜາ<br>ສິ່ງ​ຂອງ​ໂລກ​ນີ້<br>ຕໍ່​ໄປຂ້າຍອມ​ລະ​ຖິ້ມ<br>ທຸກສິ່ງ​ອີ່ຫຼີ<br>ດຽວ​ນີ້​ຂ້າ​ຂໍ​ອ້ອນວອນ<br>ຂໍ​ຮັກ​ພຣະອົງ​ກ່ວາ​ກ່ອນ<br>ຂໍ​ຮັກ​ຫຼາຍ​ຂຶ້ນ<br>ຈົນ​ກາຍ​ເປັນ​ພອນ<br><br><p-n>3 </p-n>ຂ້າ​ຮ້ອງ​ເພງ​ສັນຣະ​ເສີນ<br>ເມື່ອ​ຈິດ​ຈວນ​ດັບ<br>ຂ້າມ​ອບຈິດ​ວິນ​ຍານ​ໄວ້<br>ຂໍ​ໂຜດ​ຊົງ​ຮັກ<br> ເຊື່ອ​ວ່າ​ຈະ​ຊົງ​ອວຍພອນ<br> ​ ເພາະ​ຮັກພຣະອົງ​ກ່ວາ​ກ່ອນ<br>ຮັກ​ພຣະ​ເຢຊູ​<br>ຫຼາຍ​ກ່ວາ​ແຕ່​ກ່ອນ ອາ​ແມນ
​໔໓ ແສນ​ຊື່ນ​ໃຈ​ທີ່​​ເຊື່ອ​ພຣະ​ເຢຊູ	@117	<br><p-n>1 </p-n>ແສນ​ຊື່​ນໃຈ​ທີ່​ເຊື່ອພຣະ​ເຢຊູ<br>ຄື​ຮັກສາ ​ພຣະທຳ​ພຣະອົງ<br> ແລະ​ໄວ້​ໃຈ​ໃນ​ພຣະສັນຍານັ້ນ<br>ທີ່​ພຣະອົງ​ຊົງກ່າວ​ໝັ້ນຄົງ<br><br>ຂໍ້ຊ້ຳ: ພຣະຜູ້​ໂຜດ​ນັ້ນຄື​ພຣະ​ເຢຊູ<br>ຂ້າ​ໄວ້​ໃຈ​ຜູ້​ຊົງ​ປານີ<br>ພຣະຜູ້​ໂຜດ​ນັ້ນຄື​ພຣະ​ເຢຊູ<br>ຂໍ​ໂຜດ​ໃຫ້​ຄວາມ​ເຊື່ອ​ທະວີ<br><br><p-n>2 </p-n>ແສນ​ຊື່ນ​ໃຈ​ຄັນ​ເຊື່ອ​ພຣະ​ເຢຊູ<br>ຄື​​ໄວ້​ໃຈ ​ໃນ​ໂລຫິດ​ໄຖ່<br>ແລະ​ໄວ້​ໃຈ​ໃນ​ລິດ​ໂລຫິດ​ຢູ່<br>ຄວາມ​ຜິດ​ບາບ​ຈະ​ຫຼຸດງ່າຍ​ໄດ້ (ຊ້ຳ)<br><br><p-n>3 </p-n>ແສນ​ຊື່ນ​ໃຈ​ຄັນ​ເຊື່ອ​ພຣະ​ເຢຊູ<br>ໄດ້​ຖິ້ມ​ບາບ​ມອບ​ໃຈ​ແລະ​ກາຍ<br>ຮັບ​ຊີວິດ​ຈາກ​ອົງ​ພຣະ​ເຢຊູ<br>ໄດ້​ພັກຜ່ອນ​ໃຈ​ສຸກ​ສຳ​ບາຍ (ຊ້ຳ)<br><br><p-n>4 </p-n>ຍິນ​ດີ​ວາງ​ໃຈ​ໃນ​ພຣະ​ເຢຊູ<br>ຜູ້​ຊົງ​ຍອມ​ເປັນ​ມິດ​ສະຫາຍ<br>ຂ້າ​ເຊື່ອ​ວ່າ​ພຣະອົງ​ສະຖິດ​ຢູ່​<br>ແລະ​ຊົງ​ຢູ່​ນຳ​ຈົນ​ສຸດ​ປາຍ (ຊ້ຳ)
ຄັນ​ເຮົາ​ຕາມ​ພຣະ​ເຢຊູ	@໔໔	@119	<br><p-n>1 </p-n>ຄັນ​ເຮົາ​ຕາມ​ພຣະອົງ​ໄປ<br> ໂດຍ​ສະຫວ່າງ​ໃນ​ຈິດ​ໃຈ<br>ພຣະອົງ​ໂຜດ​ສະຖິດ​ຢູ່​ນຳ​ທຸກຍາມ<br>ຖ້າ​ເຮົາ​ຕິດຕາມ​ຄຳ​ພີ<br>ພຣະອົງ​ໂຜດ​ລັດສະໝີ<br>ແກ່​ທຸກ​ຄົນທີ່ໄດ້​ເຊື່ອ​ແລະ​ຟັງ​ຄວາມ<br><br>ຂໍ້​ຊ້ຳ:​ເຊື່ອ​ແລະ​ຟັງ​ຄວາມ​<br>ບໍ່​ມີ​ທາງ​ອື່ນຄວນ​ຕາມ<br>ພຣະ​ເຢຊູ​ໂຜດ​ໃຫ້​ຄວມສຸກ<br>ແດ່​ຜູ້​ເຊື່ອ​ແລະ​ຟັງ​ຄວາມ<br><br><p-n>2 </p-n>ບໍ່ມີ​ທຸກ​ເກີດ​ຂຶ້ນ​ໄດ້<br>ບໍ່​ມີ​ມືດ​ໃນ​ຈິດ​ໃຈ<br>ຊື່​ງມີ​ມາ​ໂດຍ​ນອກ​ພຣະດຳຣັດ​ສັ່ງ<br>ເຮົາ​ບໍ່​ຢ້າ​ນຫຼືສົງ​ໃສ<br>ເຮົາ​ບໍ່​​ໂສກ​ເສົ້າຮ້ອງ​​ໄຫ້<br>ແຕ່​ເຮົາ​ຍິນ​ດີ​ເພາະ​ດ້ວຍ​ການ​ເຊື່ອ​ຟັງ(ຊ້ຳ)<br><br><p-n>3 </p-n>ຖ້າ​ເຮົາ​ມີ​ຄວາມລຳບາກ<br>ຫຼື​ວ່າ​ມີ​ຄວາມທຸກ​ຍາກ<br>ພຣະ​ເຢຊູຊົງ​ໂຜດ​ໃຫ້​ພົ້ນມານ​ຮ້າຍ<br>ຖ້າ​ມີ​ຄວາມທຸກ​ເຫຼື​ອ​ຫຼາຍ<br>ເຮົາ​ບໍ່​ເສົ້າສະ​ລົດ​ໃຈ<br>ແຕ່​ມີ​ພອນ​ຄັນ​ເຮົາ​ເຊື່ອ​ແລະ​ຟັງ​ຄວາມ(ຊ້ຳ)<br><br><p-n>4 </p-n>ເຮົາ​ຈະ​ຮູ້​ຄັກ​ບໍ່​ໄດ້​<br>ເຖິງ​ຄວາມ​ຮັກ​ພຣະຜູ້​ໄຖ່<br>ຈົ່ງ​ຖວາຍ​ທຸກສິ່ງ​ແກ່​ຜູ້​ຊອບ​ທຳ<br>ຄວາມ​ຮັກ​ທີ່​ປາກົດ​ແຈ້ງ​<br>ກັບ​ຄວາມສຸກ​ໄດ້​ຊົງ​ແບ່ງ<br>ໃຫ້​ລູກສິດ​ທີ່​ໄດ້​ເຊື່ອ​ແລະ​ຟັງ​ຄວາມ(ຊ້ຳ)<br><br><p-n>5 </p-n>ດ້ວຍ​ຄວາມ​ຮ່ວມ​ໃຈ​ໄດ້​ຢູ່​<br>ໃກ້​ພຣະບາດ​ພຣະ​ເຢຊູ<br>ຫຼື​ຈະ​ເດີນທາງ​ກັບ​ພຣະຜູ້​ໂຜດ​ນຳ<br> ໄດ້​ຮັບ​ໄປ​ຕາມ​ຊົງ​ໃຊ້<br>ຍິນ​ດີ​ເຮັດ​ຕາມ​ພຣະ​ໄທ<br>ບໍ່​ຕ້ອງ​ຢ້ານ​ມີ​ແຕ່​ເຊື່ອ​ແລະ​ຟັງ​ຄວາມ(ຊ້ຳ)
ຂ້າ​ຢູ່​ໃນ​ຕັກ​ຂອງ​ພຣະ​ເຢຊູ	@໔໕	@121	<br><p-n>1 </p-n>ຂ້າ​ຢູ່​ໃນ​ຕັກ​ຂອງ​ພຣະ​ເຢຊູ​<br>ອີງ​ພຣະຊວງ​ຂອງ​ພຣະອົງ<br>ຄວາມ​ຮັກ​ພຣະອົງ​ຈັກ​ປົກຫຸ້ມ​ຢູ່<br>ຈິດ​ໃຈ​ຈຶ່ງ​ໄດ້​ຄວາມ​ບັນ​ເທົາ<br>ຟັງ​ເທີນໝູ່​ເທວະດາ​ຟ້າ<br>ຄຳ​ເພງ​ອັນ​ມ່ວນ​ແກ່​ຈິດ​ໃຈ<br>ສຽງ​ອອກ​ແຕ່​ເມືອງ​ສະຫວັນ​ຟ້າ<br>ຄຳ​ເພງ​ຄວນ​ໄດ້​ຈື່​ຈຳ​ໄວ້<br><br>ຂໍ້​ຊ້ຳ: ຂ້າ​ຢູ່​ໃນ​ຕັກ​ຂອງ​ພຣະ​ເຢຊູ<br>ອີງ​ພຣະຊວງ​ຂອງ​ພຣະອົງ<br>ຄວາມ​ຮັກ​ພຣະອົງ​ຈັກ​ປົກຫຸ້ມ​ຢູ່​<br>ຈິດ​ໃຈ​ຈຶ່ງ​ມີ​ຄວາມ​ບັນ​ເທົາ ອາ​ແມນ<br><br><p-n>2 </p-n>ຂ້າ​ຢູ່​ໃນ​ຕັກ​ຂອງ​ພຣະ​ເຢຊູ<br> ຄວາມ​ໜັກ​ໃຈ​ຫາຍ​​ເສຍ​ໄປ<br>ຜູ້​ລອງ​ໃຈ​ຮ້າຍ​ຕ້ອງ​ມິ​ດງຽບ​ຢູ່<br>ຄວາມ​ຜິດ​ບາບ​ຈຶ່ງ​ກວນ​ບໍ່​ໄດ້<br> ເປັນ​ທີ່​​ໃຫ້ພົ້ນຄວາມ​ໂສກ​ເສົ້າ<br>ເປັນ​ທີ່​ຈຳ​ເຣີນຈິດ​ໃຈ​ໃໝ່<br>ພົ້ນຄວາມ​ສົງ​ສັຍ​ຄວາມ​ມົວ​ເມົາ<br>ພຣະອົງ​ຊົງ​ເຊັດ​ນ້ຳຕາ​ໃຫ້ (ຊ້ຳ)<br><br><p-n>3 </p-n>ຈົ່ງ​ພາກັນ​ເພີ່ງ​ອົງ​ພຣ​ະເຢຊູ<br>ຜູ້​ວາຍ​ພຣະຊົນ​ຕາຍ​ຕາງ<br>ພຣະອົງ​ຊົງ​ປຽບ​ຄື​ດັ່ງ​ຫີນ​ຜາ<br>ຂ້ານ້ອຍ​ໄດ້​ເຊື່ອ​ຈຶ່ງ​ມີ​ຫວັງ<br> ໃຫ້​ໄດ້​ຢູ່​​ຖ້າ​ເຝົ້າຮັກສາ​<br>ຈົນ​ຍາມ​ມືດ​ຄ່ຳຈະ​ຫາຍ​ໄປ<br>ຈົນ​ເຖິງ​ໄດ້​ເຫັນຍາມ​ຮຸ່ງ​ເຊົ້າ<br>ສ່ອງ​ແຈ້ງ​ພຣະຣັດສະໝີ​ໃສ (ຊ້ຳ)
ຄວາມສຸກ​ຖາວອນ	@໔໖	@127	<br><p-n>1 </p-n>ຄວາມສຸກ​ຖາວອນ​ຄົງ​ມາສູ່​ຜູ້​ທຳ​ຊອບ<br>ປະກອບ​ດ້ວຍໃຈ​ຜ່ອງ​ໃສ​ສັດທາ<br> ໃສ່​ໃຈຂັບ​ຕາມ​ບັນຍັດ​ພຣະຢາ​ໂຮ​ວາ<br>ທຽວ​ໄປ​ຕາ​ມທາງ​ແຫ່ງ​ຄວາມ​ສັດ​ຊື່<br><br><p-n>2 </p-n>ມີ​ຄວາມ​ຈຳ​ເລີ​ນ​ເພີດ​​ເພີນຈິດ​ຊື່ນ​ໃຈ​ບານ<br>ເໝືອນ​ດັ່ງ​ຕົ້ນ​ໄມ້​ເກີດ​ໃກ້​ຮ່ອງນ້ຳ<br>ກ້ານ​ກິ່ງ​ໃບ​ຂຽວ​ບໍ່​ຫ່ຽວ​​ແຫ້ງ​ເມື່ອ​ແລ້ງ​ຝົນ<br>ເກີດດ​ອກອອກ​ຜົນ​ຕະຫຼອດ​ເວລາ<br><br><p-n>3 </p-n>ຝ່າ​ຍທາງ​ຄົນ​ຊົ່ວທັງຫຼາຍ​ບໍ່​ເປັນ​ດັ່ງນັ້ນ<br>ເໝືອນ​ແກບ​ປີວ​ໄປ​ຕາມ​ສາຍ​ລົມພາ<br>ດັ່ງນັ້ນຄົນ​ຊົ່ວ​ຈະ​ຕ້ອງ​ທຸກ​ເວທະນາ<br>ເມື່ອ​ວັນພຣະອົງ​ຊົງ​ພິພາກສາ<br><br><p-n>4 </p-n>ການ​ຂອງ​ຄົນ​ຊົ່ວ​ກໍ​ຈິບຫາຍ​ເສຍ​ໄປ​ແລ້ວ<br>ທຳ​ໄວ້​ແນວ​ໃດ​ກໍ່​ໄດ້​ແກ່​ຕົນ<br> ແຕ່​ຄວາມ​ຊອບ​ທຳ​ນຳ​ຄົນ​ໃຫ້​ເກີດ​ມີ​ຜົນ<br>ຫວິດ​ທຸກ​ໄດ້​ສຸກ​ໃນ​ຟ້າ​ສະຫວັນ
ຈົ່ງ​ຍ້ອງຍໍ​ອົງ​ພຣະຜູ້​ເປັນ​ເຈົ້າ	@໔໗	@130	<br><p-n>1 </p-n>​ຈົ່ງ​ຍ້ອງຍໍ​ອົງ​ພຣະຜູ້​ເປັນ​ເຈົ້າ ​<br>ເອົາ​ໃຈ​ຮັກ​ເປັນ​ເຄື່ອງ​ບູຊາ<br>ພຣະອົງ​ຊົງ​ໄຖ່​ໂທດ​ຫາຍ​ໂສກ​ເສົ້າ<br>ຄວາມ​ຕອບ​ຄຸນ​ສົມ​ຄວນ​ຍົກ​ມາ<br>ສັນຣະ​ເສີນ​ພຣະນາມ​ພຣະອົງ​ເຈົ້າ<br>ພຣະບິດາ​ ກະສັດ​ເມືອງ​ຟ້າ<br><br><p-n>2 </p-n>ຈົ່ງ​ຍ້ອງຍໍ​ເພາະ​ຕັ້ງ​ແຕ່​ເດີມມາ<br>ພຣະອົງ​ຊົງ​ເມດ​ຕາ​ເອັນດູ<br>ຊ້ຳປະທານ​ພຣະພອນ​ທຸກ​ເວລາ<br>ຜູ້​ໃດ​ເຊື່ອ​ຄວາມສຸກ​ຄົງ​ຮູ້<br>ສັນຣະ​ເສີນ​ພຣະນາມ​ພຣະອົງ​ເຈົ້າ<br>ພຣະບິດາ ຜູ້​ຊົງ​ມຸທຸ<br><br><p-n>3</p-n> ​ເໝືອນ​ບິດາ​ພຣະອົງ​ຊົງ​ລ້ຽງ​ໄວ້<br>ຮູ້​ວ່າ​ເຮົາ​ທຽວ​ເມື່ອຍ​ຫິວ​ອ່ອນ<br>ຊ້ຳຊົງ​ຢຽດ​ພຣະຫັດ​ຫອບ​ອຸ້ມ​ໄປ<br>ໃຫ້​ພົ້ນຮ້າຍ​ໄດ້​ສຸກ​ແນ່ນອນ<br>ສັນຣະ​ເສີນ​ພຣະນາມ​ພຣະອົງ​ເຈົ້າ<br>ພຣະບິດາ ​ຜູ້​ໂຜດ​ພຣະພອນ<br><br><p-n>4 </p-n>ໝູ່​ລູກສິດ​ຜູ້​ຮູ້​ພຣະອົງ​ນັ້ນ<br>ທັງ​ບັນດາ​ຊາວ​ໂລກ​ທົ່ວ​ໄປ<br>ຈົ່ງ​ຍົກ​ເອົາ​ບົດ​ເພງ​ມາ​ພ້ອມ​ກັນ<br>ໝູ່​ຊາວ​ຟ້າ​ກັບ​ໝູ່​ລຸ່ມ​​ໃຕ້<br>ສັນຣະ​ເສີນ​ພຣະນາມ​ພຣະອົງ​ເຈົ້າ<br>ພຣະບິດາ ກະສັດ​ອົງ​ໃຫຍ່ ອາ​ແມນ
ເຮົາ​ມີ​ຄວາມສຸກ	@໔໘	@139	<br><p-n>1 </p-n>ເຮົາ​ມີ​ຄວາມສຸກ​ສະໜຸກ​ອັນ​ໃຫຍ່<br>ມີ​ແຈ້ງ​ມີ​ຄວາມ​ຍິນ​ດີ​ຢູ່​ເລື້ອຍ<br>ຕັ້ງ​ແຕ່​ມີນັ້ນ​ເຮົາ​ໄດ້ຮັບ​ເອົາ<br>ພຣະ​ເຢຊູ​ດ້ວຍ​ສຸດ​ໃຈ​ຂອງ​ເຮົາ<br><br>ຂໍ້​ຊ້ຳ: ວັນ​ສະໜຸກ​ວັນຮຽນຮູ້<br>ຄວາມ​ຮັກ​ອັນ​ໃຫ່ຍຂອງ​ພຣະ​ເຢຊູ<br>ແມ່ນ​ຟ້າ​ສະຫວັນ​ເປັນ​ເມືອງ​ເຮົາ​ໃໝ່<br>ພຣະ​ເຢຊູ​ຊົງ​ຖ້າ​ເຮົາ​ທັງ​ໃນ<br> ວັນ​ສະໜຸກວັນ​ຮຽນ​ຮູ້​<br>ຄວາມ​ຮັກ​ອັນ​ໃຫຍ່​ຂອງ​ພຣະ​ເຢຊູ<br><br><p-n>2 </p-n>ພຣະບຸດ​ທີ່​ຮັກ​ຂອງ​ພຣະບິດາ<br>ຊົງ​ຖວາຍ​ຕົນ​ເປັນ​ເຄື່ອງ​ບູຊາ<br> ໂລຫິດ​ພຣະອົງ​ລ້າງ​ຜິດ​ບາບ​ເຮົາ<br>ຊ້ຳ​ໃຫ້​ເຮົາ​​ເກີດ​ເປັນ​ລູກ​ພຣະ​ເຈົ້າ (ຊ້ຳ)<br><br><p-n>3 </p-n>ໃນ​ຟ້າ​ສະຫວັນ​ມີ​ຄວາມ​ຈຳ​ເຣີ​ນ<br>ພວກ​ເທວະ​ດາ​ຮ້ອງ​ສັນຣະ​ເສີນ<br> ເວລາ​ຄົນ​ບາບ​ຄົນ​ນຶ່ງ​ຄົນ​ໃດ<br>ໄດ້​ຖິ້ມ​ໃຈ​ເກົ່າ​ແລະ​ເອົາ​ໃຈ​ໃໝ່ (ຊ້ຳ)<br><br><p-n>4 </p-n>ເຊີນ​ພີ່ນ້ອງ​ເອີຍ​ຈົ່ງ​ເຂົ້າ​ໃຈ​ຮູ້<br>ມີ​ຄວາມ​ຍົກ​ໂທ​ດດ້ວຍ​ພຣະ​ເຢຊູ<br>ພຣະອົງ​ຊົງ​ໂຜດ​ປະທານ​ຊີວິດ<br>ແກ່​ຜູ້​ຢາກ​ຮັບ​ເອົາ​ໄປ​ເປັນນິດ (ຊ້ຳ)
ມິດ​ສະ​ຫາຍ​ເຮົາ	@໔໙	@141	<br><p-n>1 </p-n>ມິດ​ສະຫາຍ​ເຮົາຄື​ພຣະ​ເຢຊູ<br>ຊົງ​ແບກ​ເອົາຄວາມ​ຜິດ​ບາບ​ໃຫ້ຫາ​ຍ<br> ເຮົາ​ຈຶ່ງ​ມີ​ສິດ​ເຂົ້າມາ​ເຝົ້າຢູ່<br>ດ້ວຍ​ບໍ່​ຢ້ານ​ຈະ​ຖືກ​ຂັບ​ໄລ່<br>ສຸກ​ສຳຣານ​ໄດ້​ວິດ​ໄປ​ຫຼາຍ​ທີ<br> ເກີດ​ລຳບາກ​ຈົນ​ຕົວ​ຫິວ​ອ່ອນ<br>ການ​ໜັກ​ໃຈ​ຝູງ​ນີ້​ບັງ​ເກີດ​ມີ<br>ເພາະ​ໝູ່​ເຮົາ​ຖິ້ມ​ການ​ໄຫວ້​ວອນ<br><br><p-n>2 </p-n>ການ​ທຸກ​ໃຫຍ່​ການ​ລອງ​ໃຈ​ມີ​ມາ<br>ການ​ລຳ​ບາກ​ມາ​ເຖິງ​ເມື່ອ​ໃດ<br> ໃຫ້​ເຮົາ​ມີ​ຄວາມ​ເຊື່ອ​ແລະ​ໝັ່ນ​ມາ<br>ຫາ​ພຣະ​ເຈົ້າປົງ​ທຸກ​ວາງ​ໃຈ<br>ຜູ້​ຮັກ​ເໝືອນ​ພຣະອົງຫາບໍ່​ໄດ້<br>ພຣະອົງ​ຊົງ​ແບກ​ຄວາມ​ໂສກ​ເສົ້າ<br>ຊົງ​ຮູ້ຈັກ​ໃຈ​ເຮົາ​ຈິ່ງບອກ​ໄວ້<br>ວ່າຈົ່ງ​ຮີບ​ໄຫວ້​ວອນ​ພຣະ​ເຈົ້າ<br><br><p-n>3 </p-n>ເມື່ອ​ອິດ​ອ່ອນ​ໜັກ​ອົກ​ໜັກ​ໃຈ​ນັ້ນ<br>ມີ​ທຸກ​ໃຫຍ່​ບໍ່​ແພ້​ອົດ​ເອົາ<br> ໂອ​ຜູ້​ຊ່ວຍ​ຂໍ​ໃຫ້​ໝູ່​ເຮົາ​ໝັ່ນ<br>ໄຫວ້​ວອນ​ຂໍ​ຈົນ​ໄດ້​ບັນ​ເທົາ<br> ເມື່ອ​ໝູ່​ຄູ່ໜ່າຍ​ຊັງ​ພາກ​ອອກ​ໄປ<br>ຄວນ​ອອກປາກ​ເປັນ​ຄຳ​ອ້ອນວອນ<br>ພຣະ​ເຢຊູ​ຈະ​ຊົງ​ອຸ້ມ​ເຮົາ​ໄປ<br>ນຳພຣະອົງ​ຈະ​ໄດ້​ຮັບ​ພອນ
