pat95:1	ກ	[k]	<ol><li>        (First letter of Lao alphabet; belongs to consonants of the low class.)
pat95:2.1	ກະການ	[ká kàːn]	<ol><li>        to determine the amount of work; to set a task
pat95:2.2	ກະໂຄງການ	[ká kʰóːŋkàːn]	<ol><li>        to outline a plan
pat95:2.3	ກະດຽວວ່າເຈົ້າຊິບໍ່ມາ	[kádìauwāː câu sī bɔ̄ː máː]	<ol><li>        but I thought that you wouldn't come
pat95:2.4	ກະເບິ່ງ	[ká bə̄ŋ]	<ol><li>        to calculate, to consider
pat95:2.5	ກະວ່າ	[ká wāː]	<ol><li>        to intend, to have an intention
pat95:2.6	ກະວາງ	[ká wáːŋ]	<ol><li>        to define, to outline (a plan, etc.)
pat95:2.7	ກະເອົາ	[ká ʔàu]	<ol><li>        (see)ກະ<br>I 1. 1), 3)
pat95:2.8	ຂ້ອຍກະເຮັດໄດ້	[kʰɔ̏ːy ká hēt dâi]	<ol><li>        I think that this can be done
pat95:2.9	ລາວກະວ່າຈະຮ້ອງຫາແມ່	[láːu ká wāː cá hɔ̂ːŋhǎː mɛ̄ː]	<ol><li>        he intends to invite [his] mother
pat95:2:1	ຂ	[kʰ]	<ol><li>        (second letter of the Lao alphabet; belongs to consonants of the high class)
pat95:2:2	ຂະຈັດ	[kʰá cát]	<ol><li>        to get rid of (something) [e.g. a bad habit]; to liquidate/to abolish/to eliminate (something)
pat95:2:3	ຂະຈິດ	[kʰácít]	<ol><li>       {[literary]}  smart/well-dressed; decorated/adorned<br><p-e>Pali</p-e>
pat95:2:4	ຂະຈອນ	[kʰácɔ̀ːn]	<ol><li>        (lofty style) to fly; to float about the sky; to soar in the sky<br><p-e>Pali</p-e>
pat95:2:5	ຂະເຈົ້າ	[kʰá câu]	<ol><li>       {[polite]}  they
pat95:2:6	ຂະຍະ	[kʰá ɲā]	<ol><li>        waste, garbage/refuse
pat95:2:7	ຂະຍຸກຂະຍິກ	[kʰá ɲūk kʰáɲīk]	<ol><li>        to stir slightly, to move slightly
pat95:2:8	ຂະຍຸງ	[kʰá ɲúŋ]	<ol><li>       {[botany]}  dalbergia cochinchinensis, palissander [tree] (Dalbergia cochinchinensis)
pat95:2:9	ຂະຍົງ	[kʰá ɲóŋ]	<ol><li>        Brazilian rosewood [tree]
pat95:2:10	ຂະຍົມ	[kʰáɲóm]	<ol><li>  <p-p>noun</p-p>}  servant, maid<br><ol><li>  <p-p>pronoun</p-p>} {[obsolete]} {[literary]}  I, me<br><p-e>Sanskrit</p-e>
pat95:2:11	ຂະໂຍມ	[kʰá ɲóːm]	<ol><li>        (see)ຂະຍົມ<br>2.
pat95:2:12.1	ໃນຂະນະນີ້	[nái kʰánā nîː]	<ol><li>        at the present time, at this moment
pat95:2:12	ຂະນະ	[kʰánā]	<ol><li>        time, moment<br><p-e>Pali</p-e>
pat95:2:13	ຂະເນງ	[kʰánéːŋ]	<ol><li>        bamboo joint or horn stuffed with powder
pat95:2:14.1	ຂະນົງແກ່ນ	[kʰá nóŋ kɛ̄ːn]	<ol><li>        (see)ຂະນົງ
pat95:2:14	ຂະນົງ	[kʰá nóŋ]	<ol><li>        durable/solid, firm/strong, reliable/dependable
pat95:2:15	ຂະນ້ອຍ	[kʰá nɔ̂ːy]	<ol><li>        1.<br><ol><li>
pat95:2:16.1	ເຮັດໃຫ້ເປັນຂະບັກຂະບວນແດ່	[hēt hȁi pèn kʰá bák kʰá bùan dɛ̄ː]	<ol><li>        do [it] as one should/do [it] in the right way
pat95:2:16	ຂະບັກຂະບວນ	[kʰá bák kʰá bùan]	<ol><li>        as one should, in the right way/properly
pat95:2:17	ຂະບຸນ	[kʰá bùn]	<ol><li>       {[botany]}  bread-fruit tree, artocarpus (Artocarpus)
pat95:2:18	ຂະບົດ	[kʰá bót]	<ol><li>        (see)ກະບົດ
pat95:2:19.1	ການເດີນ(ແຫ່)ຂະບວນ	[kàːn də̀ːn(hɛ̄ː)kʰá bùan]	<ol><li>        demonstration; procession
pat95:2:19.2	ຂະບວນການ	[kʰá bùan kàːn]	<ol><li>        movement
pat95:2:19.3	ຂະບວນການເຄື່ອນໄຫວ	[kʰá bùan kàːnkʰɨ̄anwǎi]	<ol><li>        movement, public activity
pat95:2:19.4	ຂະບວນການປະຕິວັດ	[kʰá bùan kàːn pátíwāt]	<ol><li>        revolutionary movement
pat95:2:19.5	ຂະບວນປົດປ່ອຍຊາດ	[kʰá bùan pót pɔ̄ːy sâːt]	<ol><li>        national liberation movement
pat95:2:19.6	ຂະບວນລົດໄຟ	[kʰá bùan lōtfái]	<ol><li>        railroad train
pat95:2:19.7	ຂະບວນວິວັດ	[kʰá bùan wīwāt]	<ol><li>        process (of production, of struggle, also chemical process)
pat95:2:19.8	ຂະບວນແຫ່	[kʰá bùan hɛ̄ː]	<ol><li>        procession; cortege
pat95:2:19.9	ເດີນຂະບວນ	[də̀ːn kʰá bùan]	<ol><li>        to go out on a demonstration/to demonstrate; to go in a column
pat95:2:19.10	ຜະລິດສິນຄ້າຢ່າງເປັນຂະບວນ	[pʰálīt sǐnkʰâː yāːŋ pèn kʰá bùan]	<ol><li>        to implement mass production of goods
pat95:2:19	ຂະບວນ	[kʰá bùan]	<ol><li>        column<br><ol><li>       {[figurative]}  movement<br><ol><li>        production line (fig.)
pat95:2:20	ຂະມ້າ	[kʰá mâː]	<ol><li>        :ຜ້າຂະມ້າ<br>PHA2KHAW#MA2  piece of striped cloth (used as a bathing suit and for many other purposes)
pat95:2:21	ຂະມຸ	[kʰámū]	<ol><li>        Kha Mu  (nationality of the Mon-Khmer group residing in Laos)
pat95:2:22	ຂະໂມຍ	[kʰámóːy]	<ol><li>        thief, cheat/swindler; robber/burglar
pat95:2:23	ຂະມ່ອມ	[kʰá mɔ̄ːm]	<ol><li>        top/summit/crown [of the head]; top of the head
pat95:2:24.1	ຂະຫຍັນຂັນແຂງ	[kʰáɲǎn kʰǎn kʰɛ̌ːŋ]	<ol><li>        (see)ຂະຫຍັນ
pat95:2:24	ຂະຫຍັນ	[kʰáɲǎn]	<ol><li>        to be persistent (diligent)
pat95:2:25.1	ຂະຫຍັບຂະຫຍາຍ	[kʰáɲápkʰáɲǎːy]	<ol><li>        to make wider, to be made wider, to make larger, to be made larger; [vt. and v.i.] to expand/enlarge, to increase
pat95:2:25	ຂະຫຍັບ	[kʰáɲáp]	<ol><li>        [vt. and v.i.] to move/to set in motion, to stir<br><ol><li>        to shift; to move [e.g. from one house to another]
pat95:2:26.1	ຂະຫຍາຍເຂດ	[kʰáɲǎːy kʰȅːt]	<ol><li>        to expand territory<br><ol><li>        to accomplish expansion
