ກ	[k]	<ul><li>(First letter of Lao alphabet; belongs to consonants of the low class.)</li></ul>
ກະການ	[ká kàːn]	<ul><li>to determine the amount of work; to set a task</li></ul>
ກະໂຄງການ	[ká kʰóːŋkàːn]	<ul><li>to outline a plan</li></ul>
ກະດຽວວ່າເຈົ້າຊິບໍ່ມາ	[kádìauwāː câu sī bɔ̄ː máː]	<ul><li>but I thought that you wouldn't come</li></ul>
ກະເບິ່ງ	[ká bə̄ŋ]	<ul><li>to calculate, to consider</li></ul>
ກະວ່າ	[ká wāː]	<ul><li>to intend, to have an intention</li></ul>
ກະວາງ	[ká wáːŋ]	<ul><li>to define, to outline (a plan, etc.)</li></ul>
ກະເອົາ	[ká ʔàu]	<ul><li>(see)ກະ<br>I 1. 1), 3)</li></ul>
ຂ້ອຍກະເຮັດໄດ້	[kʰɔ̏ːy ká hēt dâi]	<ul><li>I think that this can be done</li></ul>
ລາວກະວ່າຈະຮ້ອງຫາແມ່	[láːu ká wāː cá hɔ̂ːŋhǎː mɛ̄ː]	<ul><li>he intends to invite [his] mother</li></ul>
ຂ	[kʰ]	<ul><li>(second letter of the Lao alphabet; belongs to consonants of the high class)</li></ul>
ຂະຈັດ	[kʰá cát]	<ul><li>to get rid of (something) [e.g. a bad habit]; to liquidate/to abolish/to eliminate (something)</li></ul>
ຂະຈິດ	[kʰácít]	<ul><li><p-n>literary</p-n>  smart/well-dressed; decorated/adorned<br><p-e>Pali</p-e></li></ul>
ຂະຈອນ	[kʰácɔ̀ːn]	<ul><li>(lofty style) to fly; to float about the sky; to soar in the sky<br><p-e>Pali</p-e></li></ul>
ຂະເຈົ້າ	[kʰá câu]	<ul><li><p-n>polite</p-n>  they</li></ul>
ຂະຍະ	[kʰá ɲā]	<ul><li>waste, garbage/refuse</li></ul>
ຂະຍຸກຂະຍິກ	[kʰá ɲūk kʰáɲīk]	<ul><li>to stir slightly, to move slightly</li></ul>
ຂະຍຸງ	[kʰá ɲúŋ]	<ul><li><p-n>botany</p-n>  dalbergia cochinchinensis, palissander [tree] (Dalbergia cochinchinensis)</li></ul>
ຂະຍົງ	[kʰá ɲóŋ]	<ul><li>Brazilian rosewood [tree]</li></ul>
