[P, G] إسا[L]إسا|[P, G] إِسَّا[L]إِسَّا	<ol style="listStyleType: circle;"><li style="">now, just now                                                         ;in Iraq this is said هَسَّا[pronunciation: [P, G] ʔissa]</li></ol>
[P,G]أنطى|[P,G]أَنطَى	<ol style="listStyleType: circle;"><li style="">to give (ه = s.o., ه = s.th., or ه = s.th., ل = to s.o., or ه = s.o., يا = s.th.)                                                                                                                                                 ;(the more common form is عَطَى or أَعْطَى , but this form is heard in Galilee and some other areas);[pronunciation: [P, G] ʔɑnṭɑ، yenṭy / yonṭy]</li></ol>
[P,G]اندهك|[P,G]اْندَهَك	<ol style="listStyleType: circle;"><li style="">to get run over, get knocked down (by a vehicle)                                           ;[pronunciation: [P, G] 'ºndahak، yinᵉdhek]</li></ol>
[P,J]انفعص|[P,J]اْنفَعَص	<ol style="listStyleType: circle;"><li style="">to get squashed, get crushed                                           ;[pronunciation: [P, J] 'ºnfɑʕɑṣ، yinᵉfʕeṣ]</li> <li style="">to get run over                                           ;[pronunciation: [P, J] 'ºnfɑʕɑṣ، yinᵉfʕeṣ]</li> <li style="">to be mobbed</li></ol>
آب	<ol style="listStyleType: circle;"><li style="">August                    [pronunciation: ʔāb]</li> <li style="">Father (Christian reference to God)</li></ol>
آتون|آتُون	<ol style="listStyleType: circle;"><li style="">a kiln, a large, circular hole in which stones are placed and a fire built underneath them until they become lime                                                                                                                ;سر. من ــــــ الجذر ــــ، دخّن، أرامي אתונה فرنكل ص ٢٦ فارسية .اوشوري . سومري(ud (t) una، فصيحها أتُّون وأَتُون</li></ol>
آتي|آتِي	<ol style="listStyleType: circle;"><li style="">following, next</li></ol>
آثارات	<ol style="listStyleType: circle;"><li style="">historical sites, ruins ;</li></ol>
آجر|آجِرّ	<ol style="listStyleType: circle;"><li style="">brick(s)</li></ol>
آجر|آجَر	<ol style="listStyleType: circle;"><li style="">to take part in a funeral, to attend a funeral ;</li></ol>
آجرة|آجِرَّة	<ol style="listStyleType: circle;"><li style="">(a) brick</li></ol>
آجل|آجِل	<ol style="listStyleType: circle;"><li style="">lingering, delayed                                                                                        ;(mainly used in fixed phrases such as the example given);[pronunciation: ʔājil / ʔājel]</li></ol>
آحلن|آحْلَن	<ol style="listStyleType: circle;"><li style="">sweeter / sweetest, more / most beautiful                                     ;(alternative pronunciation of أحلى);</li></ol>
آخ	<ol style="listStyleType: circle;"><li style="">a sound said to express pain                           ; (كلمة توجُّع وإظهار ألم);</li></ol>
آخد|آخِدِ	<ol style="listStyleType: circle;"><li style="">having taken                                                                                                                                                                    ; (the formآخِدis more Syria / Lebanon. The form ماخِد is more Palestinian)(active participle from form 1. See the verb for more definitions.)[pronunciation: māḵed]</li></ol>
آخذ|آخَذ	<ol style="listStyleType: circle;"><li style="">to be offended, take offense (ه = from s.o. / s.th.)                                         ;[pronunciation: ʔāḵa∂، yºʔāḵe∂][keyword]</li> <li style="">to censure, condemn, blame (ه = s.o./s.th.)                                                                                                        ;(the Lebanese pronunciation is either آخذ or واخذ depending on dialect).[pronunciation: ʔāḵa∂، yºʔāḵe∂]</li></ol>
آخر|آخِر	<ol style="listStyleType: circle;"><li style="">in the end, finally                                                                                                  ;in Ca this would بِالآخِر، أَخِيرًا ;بِالآخِر (تركيب سر. ـــــ ) فصيحها وَأَخِيرًا آخْرِة، نِهاية</li></ol>
آخر|آخَر	<ol style="listStyleType: circle;"><li style="">other, (something) else                                                                                                                              ;(this is mainly used in formal speech / CA. The more common word in colloquial is تانِي);[pronunciation: ʔᾱḵɑr،ʔᾱḵɑrīn،ʔuḵrɑ]</li></ol>
آخر[S]آخر|آخِر[S]آخِر	<ol style="listStyleType: circle;"><li style="">بْأَوَاخِر + إضافة : in the last part of, late in…</li> <li style="">آخِر+ نكرة : last, latest                                                                                                                                                                ;(also in the sense of being current)(note this can be used before in indefinite noun to mean the last one of something);[pronunciation: ʔāḵir / ʔāḵer][keyword]</li> <li style="">last                                               ; (definite form)[pronunciation: ʔāḵir / ʔāḵer]</li> <li style="">end, finish, close (of)                                        ;[pronunciation: ʔāḵir / ʔāḵer][keyword]</li> <li style="">last, latest (stand alone noun)</li></ol>
آخراني|آخْرَاْنِي	<ol style="listStyleType: circle;"><li style="">last, final</li></ol>
آخرة[S]آخرة|آخرِة[S]آخْرَة	<ol style="listStyleType: circle;"><li style="">end         [keyword]</li> <li style="">الآخْرَة / الآخِرَة : the hereafter, the afterlife, life after death                       ;[pronunciation: ʔāḵre]</li></ol>
آخير|آخِيْر	<ol style="listStyleType: circle;"><li style="">end, last (as a noun)         [keyword]</li></ol>
آدمي|آدَمِي	<ol style="listStyleType: circle;"><li style="">polite, pleasant, decent, (like a decent human being), nice (people), virtuous, honorable, well-mannered                                                                                                                                          ;(this word has a range of meanings and could also mean honorable, virtuous, noble, morally upright, etc.);[pronunciation: ʔādamy،ʔawādem]</li> <li style="">a good person, decent human being                                ;[pronunciation: ʔādamy،ʔawādem]</li></ol>
آدمية|آَدَمِيَّة	<ol style="listStyleType: circle;"><li style="">moral uprightness, decentness, good manners, virtuousness ;</li></ol>
آذن|آذِن	<ol style="listStyleType: circle;"><li style="">door-keeper, porter ;</li></ol>
آرمة|آرمَة	<ol style="listStyleType: circle;"><li style="">sign (especially one put above shops or on buildings, of a business, etc.)                               ;[pronunciation: ʔᾱrmɑ، ʔᾱrmᾱt]</li></ol>
آرمة|آَرْمة	<ol style="listStyleType: circle;"><li style="">a sign posted above commercial shops, etc.                      [pronunciation: ق = ء]</li></ol>
آس	<ol style="listStyleType: circle;"><li style="">myrtle, (lagerstroemia)                            ; (often planted on graves);</li></ol>
آسف|آسِف	<ol style="listStyleType: circle;"><li style="">sorry                             ;[pronunciation: ʔāsef،ʔāsfe]</li></ol>
آسف|آسَف	<ol style="listStyleType: circle;"><li style="">to distress, sadden, grieve (ه = s.o.) ;</li></ol>
آسيا|آسْيَا	<ol style="listStyleType: circle;"><li style="">Asia</li></ol>
آسيوي|آسْيَوِي	<ol style="listStyleType: circle;"><li style="">Asian, Asiatic</li> <li style="">an Asian</li></ol>
