[P,G]أنطى|[P,G]أَنطَى	[P, G] أَنطَى، يِنطِي / يُنطِي
[P,G]اندهك|[P,G]اْندَهَك	[P, G] اْندَهَك، يِنِدهِك
[P,J]انفعص|[P,J]اْنفَعَص	[P, J] اْنفَعَص، يِنِفعِص[S] اْنْفَعَص
آجرة|آجِرَّة	آجِرَّة، ج آجِرَّاْت
آجل|آجِل	آجِل/آجِل
آخد|آخِدِ	آخِدِ/ مَاخِد / وَاْخِد، ج آخْدِيْن / مَاْخْدِيْن / واخْدِيْن، المؤنث: آخْدِة / مَاخْدِة / واخْدِة\\
آخد|آخِدِ	آخِدِ / مَاخِد / وَاْخِد، ج آخْدِيْن / مَاْخْدِيْن / واخْدِيْن، المؤنث: آخْدِة / مَاخْدِة / واخْدِة\\
آخذ|آخَذ	آخَذ، يْآخِذ[L] واخَذ، يْواخِذ[S] آخَذ / وَاْخَذ، يْؤَاْخِذ / يْوَاْخِذ
آخذ|آخَذ	آخَذ، يْآخِذ[L] واخَذ، يْواخِذ
آخذ|آخَذ	آخَذ، يْآخِذ[L] واخَذ، يْواخِذ[S]آخَذ/ وَاْخَذ، يْؤَاْخِذ / يْوَاْخِذ
آخر|آخَر	آخَر، ج آخَرِيْن، المؤنث: أُخرَى
آخر[S]آخر|آخِر[S]آخِر	آخِر[S] آخِر، ج أَوَاْخِر
آخرة[S]آخرة|آخرِة[S]آخْرَة	آخرِة[S] آخْرَة / آخِرَة
آدمي|آدَمِي	آدَمِي، ج أَوَاْدِم
آرمة|آرمَة	آرمَة / قارْمة، آرمَات
آرمة|آَرْمة	آَرْمة / قارْمة
آسف|آسِف	آسِف، المؤنث: آسفِة
آسف|آسَف	آسَف، يِؤْسِف
آفة|آفِة	آفِة، ج آفَاْت
آكل|آكِل	آكِل، ج آكِلِيْن
آلة|آلِة	آلِة، ج آلَاْت[L] آلِة، ج آلَاْت / أَوايِل[S] آلِة، ج آلَاْت / أَوايِل
آلش|آلَش	آلَش، يْؤَالِش
آمر|آمَر	آمَر/ قامر
آمر|آمَر	آمَر / قامر
آمن|آمِن	آمِن، المؤنث: آمنِة
آمن|آمَن	آمَن، يْآمِن[L] آمَن، يْآمِن[S] آمَن، يْؤَامِن / يْآمِن
آمن|آمَن	آمَن، يِئْمِن / يُؤْمِن / يْآمِن
آن	آن، ج أَوَاْن
آنس|آنَس	آنَس، يْآنِس
آنسة|آنِسِة	آنِسِة، ج آنِسَات[S] آنِسِة، ج آنِسَاْت، ج أَوَاْنِس
آوى|آوَى	آوَى، يْآوِي
آية|آيِة	آيِة، آيَات
أب|أَبّ	أَبّ/أَب/ أَبُو، ج أَبَّهَات، [CA] أَبَاء[S]أَبّ/أَب/ أَبُو، ج أَبَّاْت / أَبَّهَاْت / أَبَوَاْت
أب|أَبّ	أَبّ/ أَبُو، ج آبَاْء
أب|أَبّ	أَبّ، ج أَبَّاْت
أب|أَبّ	أَبّ / أَب / أَبُو، ج أَبَّهَات، [CA] أَبَاء[S] أَبّ / أَب / أَبُو، ج أَبَّاْت / أَبَّهَاْت / أَبَوَاْت
أب|أَبّ	أَبّ / أَبُو، ج آبَاْء
أبدى|أَبْدَى	أَبْدَى، يِبْدِي
أبدي|أَبَدي	أَبَدي، المؤنث: أَبَدِيِّة
أبرز|أَبرَز	أَبرَز، يِبرِز[S] أَبْرَز
أبرص|أَبرَص	أَبرَص، ج بُرص، المؤنث: بَرصَا
أبرق|أَبرَق	أَبرَق، يِبرِق
أبرق|أَبْرَق	أَبْرَق، يِبْرِق
أبرك|أَبرَك	أَبرَك / أَبرَك
أبسط|أَبسَط	أَبسَط، يِبسِط
أبطش|أَبْطَش	أَبْطَش، جبِطِش(بِطْش)، المؤنث: بَطْشَا
أبطل|أَبطَل	أَبطَل، يِبطِل
أبعد|أَبعَد	أَبعَد، يِبعد
أبن|أَبَّن	أَبَّن، يْئَبِّن
أبها|أُبَّهَا	أُبَّهَا / أُبَّهَة
أبهية|أُبَّهِيَّة	أُبَّهِيَّة / أُبَّاهِيَّة
أبو	أبو /بُو
أبيض|أَبيَض	أَبيَض، جبِيْض/ [P, J] بُيُض، المؤنث: بَيْضَا[S] أَبْيَض، ج بِيْض، المؤنث: بَيْضَا
أتات|أَتَات	أَتَات / [CA] أَثَاث
أتت|أَتَّت	أَتَّت، يْؤَتِّت
أتر|أَتَر	أَتَر/أَتِر/ [CA] أَثَر، ج آثَار
أتر|أَتَر	أَتَر / أَتِر / [CA] أَثَر، ج آثَار
أتعب|أَتعَب	أَتعَب، يِتعِب
أتقن|أَتقَن	أَتقَن، يِتقِن[S] أَتْقَن، يِتْقِن
أتلج|أَتلَج	أَتلَج، يِتلِج
أتلف|أَتْلَف	أَتْلَف، يِتْلِف،تَلَف
أثار|أَثَار	أَثَار، يْثِيْر[S] أَثَاْر، يْثِيْر
أثبت|أَثبَت	أَثبَت، يِثبِت[S] أَثْبَت، يِثْبِت
أثر|أَثَر	أَثَر، ج آثَاْر
أثر|أَثَّر	أَثَّر / أَتَّر، يْؤَثِّر / يْؤَتِّر[S] أَثَّر، يْؤَثِّر
أثر|أَثَّر	أَثَّر/ أَتَّر، يْؤَثِّر / يْؤَتِّر[S] أَثَّر، يْؤَثِّر
أثري|أَثَري	أَثَري، المؤنث: أَثَرِيِّة
أثنا|أَثْنَا	أَثْنَا / أَثْنَاْء
أجا|أَجَا	أَجَا / [P, G] إِجَا / جَا، يِجي[S] إِجَا، يِجِي، جَيِّة، اسم الفاعل: جايِة
أجا|أَجَا	أَجَا / إِجَا، يِجي[P, G] إِجَا / جَا، يِجي[S] إِجَا، يِجِي، جَيِّة، اسم الفاعل: جاي، المؤنث: جايِة
أجا|أَجَا	أَجَا / [P, G] إِجَا / جَا، يِجي[S] إِجَا،يِجِي، جَيِّة، اسم الفاعل: جايِة
أجا|أَجَا	أَجَا / إِجَا، يِجي[P, G] إِجَا / جَا، يِجي[S] إِجَا،يِجِي، جَيِّة، اسم الفاعل: جاي، المؤنث: جايِة
أجار|أَجَار	أَجَار، ج أَجَارَات[L] آجَار[S] إِجَاْر / أَجَاْر، ج إِجَاْرَاْت / أَجَاْرَاْت
أجبر|أَجْبَر	أَجْبَر، يِجْبِر
أجر|أَجَّر	أَجَّر، يْؤَجَّر[S] أَجَّر، يْؤَجِّر، إِيْجَاْر / إِجَاْر
أجرة|أُجرَة	أُجرَة، ج أُجُوْر
أجرد|أَجْرَد	أَجْرَد، ججِرِد(جِرْد)، المؤنث: جَرْدَا
أجرى|أَجرَى	أَجرَى، يِجري
أجل|أَجَّل	أَجَّل، يْؤَجِّل
أجلى|أَجلَى	أَجلَى، يِجلي
أجلى|أَجْلَى	أَجْلَى، يِجْلِي
أجنبي|أَجنَبي	أَجنَبي، ج أَجَانِب، المؤنث: أَجنَبِيِّة
