(44) @ACT 10:1	@<p-n>أَعْمَالُ ٱلرُّسُلِ ١٠:١</p-n>	<div dir="rtl"><p>وَكَانَ فِي قَيْصَرِيَّةَ رَجُلٌ ٱسْمُهُ كَرْنِيلِيُوسُ، قَائِدُ مِئَةٍ مِنَ ٱلْكَتِيبَةِ ٱلَّتِي تُدْعَى ٱلْإِيطَالِيَّةَ.  </div>
(44) @ACT 10:2	@<p-n>أَعْمَالُ ٱلرُّسُلِ ١٠:٢</p-n>	<div dir="rtl"><p>وَهُوَ تَقِيٌّ وَخَائِفُ ٱللهِ مَعَ جَمِيعِ بَيْتِهِ، يَصْنَعُ حَسَنَاتٍ كَثِيرَةً لِلشَّعْبِ، وَيُصَلِّي إِلَى ٱللهِ فِي كُلِّ حِينٍ.  </div>
(44) @ACT 10:3	@<p-n>أَعْمَالُ ٱلرُّسُلِ ١٠:٣</p-n>	<div dir="rtl"><p>فَرَأَى ظَاهِرًا فِي رُؤْيَا نَحْوَ ٱلسَّاعَةِ ٱلتَّاسِعَةِ مِنَ ٱلنَّهَارِ، مَلَاكًا مِنَ ٱللهِ دَاخِلًا إِلَيْهِ وَقَائِلًا لَهُ: «يَا كَرْنِيلِيُوسُ!».  </div>
(44) @ACT 10:4	@<p-n>أَعْمَالُ ٱلرُّسُلِ ١٠:٤</p-n>	<div dir="rtl"><p>فَلَمَّا شَخَصَ إِلَيْهِ وَدَخَلَهُ ٱلْخَوْفُ، قَالَ: «مَاذَا يَا سَيِّدُ؟».فَقَالَ لَهُ: «صَلَوَاتُكَ وَصَدَقَاتُكَ صَعِدَتْ تَذْكَارًا أَمَامَ ٱللهِ.  </div>
(44) @ACT 10:5	@<p-n>أَعْمَالُ ٱلرُّسُلِ ١٠:٥</p-n>	<div dir="rtl"><p>وَٱلْآنَ أَرْسِلْ إِلَى يَافَا رِجَالًا وَٱسْتَدْعِ سِمْعَانَ ٱلْمُلَقَّبَ بُطْرُسَ.  </div>
(44) @ACT 10:6	@<p-n>أَعْمَالُ ٱلرُّسُلِ ١٠:٦</p-n>	<div dir="rtl"><p>إِنَّهُ نَازِلٌ عِنْدَ سِمْعَانَ رَجُلٍ دَبَّاغٍ بَيْتُهُ عِنْدَ ٱلْبَحْرِ. هُوَ يَقُولُ لَكَ مَاذَا يَنْبَغِي أَنْ تَفْعَلَ».  </div>
(44) @ACT 10:7	@<p-n>أَعْمَالُ ٱلرُّسُلِ ١٠:٧</p-n>	<div dir="rtl"><p>فَلَمَّا ٱنْطَلَقَ ٱلْمَلَاكُ ٱلَّذِي كَانَ يُكَلِّمُ كَرْنِيلِيُوسَ، نَادَى ٱثْنَيْنِ مِنْ خُدَّامِهِ، وَعَسْكَرِيًّا تَقِيًّا مِنَ ٱلَّذِينَ كَانُوا يُلَازِمُونَهُ،  </div>
(44) @ACT 10:8	@<p-n>أَعْمَالُ ٱلرُّسُلِ ١٠:٨</p-n>	<div dir="rtl"><p>وَأَخْبَرَهُمْ بِكُلِّ شَيْءٍ وَأَرْسَلَهُمْ إِلَى يَافَا.   </p></div>
(44) @ACT 10:9	@<p-n>أَعْمَالُ ٱلرُّسُلِ ١٠:٩</p-n>	<div dir="rtl"><p>ثُمَّ فِي ٱلْغَدِ فِيمَا هُمْ يُسَافِرُونَ وَيَقْتَرِبُونَ إِلَى ٱلْمَدِينَةِ، صَعِدَ بُطْرُسُ عَلَى ٱلسَّطْحِ لِيُصَلِّيَ نَحْوَ ٱلسَّاعَةِ ٱلسَّادِسَةِ.  </div>
(44) @ACT 10:10	@<p-n>أَعْمَالُ ٱلرُّسُلِ ١٠:١٠</p-n>	<div dir="rtl"><p>فَجَاعَ كَثِيرًا وَٱشْتَهَى أَنْ يَأْكُلَ. وَبَيْنَمَا هُمْ يُهَيِّئُونَ لَهُ، وَقَعَتْ عَلَيْهِ غَيْبَةٌ،  </div>
(44) @ACT 10:11	@<p-n>أَعْمَالُ ٱلرُّسُلِ ١٠:١١</p-n>	<div dir="rtl"><p>فَرَأَى ٱلسَّمَاءَ مَفْتُوحَةً، وَإِنَاءً نَازِلًا عَلَيْهِ مِثْلَ مُلَاءَةٍ عَظِيمَةٍ مَرْبُوطَةٍ بِأَرْبَعَةِ أَطْرَافٍ وَمُدَلَّاةٍ عَلَى ٱلْأَرْضِ.  </div>
(44) @ACT 10:12	@<p-n>أَعْمَالُ ٱلرُّسُلِ ١٠:١٢</p-n>	<div dir="rtl"><p>وَكَانَ فِيهَا كُلُّ دَوَابِّ ٱلْأَرْضِ وَٱلْوُحُوشِ وَٱلزَّحَّافَاتِ وَطُيُورِ ٱلسَّمَاءِ.  </div>
(44) @ACT 10:13	@<p-n>أَعْمَالُ ٱلرُّسُلِ ١٠:١٣</p-n>	<div dir="rtl"><p>وَصَارَ إِلَيْهِ صَوْتٌ: «قُمْ يَا بُطْرُسُ، ٱذْبَحْ وَكُلْ».  </div>
(44) @ACT 10:14	@<p-n>أَعْمَالُ ٱلرُّسُلِ ١٠:١٤</p-n>	<div dir="rtl"><p>فَقَالَ بُطْرُسُ: «كَلَّا يَارَبُّ! لِأَنِّي لَمْ آكُلْ قَطُّ شَيْئًا دَنِسًا أَوْ نَجِسًا».  </div>
(44) @ACT 10:15	@<p-n>أَعْمَالُ ٱلرُّسُلِ ١٠:١٥</p-n>	<div dir="rtl"><p>فَصَارَ إِلَيْهِ أَيْضًا صَوْتٌ ثَانِيَةً: «مَا طَهَّرَهُ ٱللهُ لَا تُدَنِّسْهُ أَنْتَ!».  </div>
(44) @ACT 10:16	@<p-n>أَعْمَالُ ٱلرُّسُلِ ١٠:١٦</p-n>	<div dir="rtl"><p>وَكَانَ هَذَا عَلَى ثَلَاثِ مَرَّاتٍ، ثُمَّ ٱرْتَفَعَ ٱلْإِنَاءُ أَيْضًا إِلَى ٱلسَّمَاءِ.  </div>
