A	 pronounced a as in fat. 
a	 hort. part. : liseli a li be teni, let there be light. A lu yeni, let us go. a! interj, of surprise or protest: ha! 
a	 pron. subj. (class mu-ba) 3rd pers. sing: He, she, in negative, dependant, narrative, subjunctive and potential tenses: H'a buleli, he does not speak. A ka ya. he may go. 
a	 (1) pron. subj. and obj. of nouns which have the plural in ma- (class bu-ma, li-ma, lu-ma) they, them: Maoma a lila. the royal drums are sounding: ni a utwile, I have heard them. (2) poss. part. with nouns of same classes: Mabizo a bona, their names; masimu a ka, my gardens. (3) dem. pron. pl. (1st degree) with nouns of same classes, these: Mandu a, these houses. (4) rel. pron. subj. and obj. with nouns of same classes: Malu a mansu, black clouds; those which: Mandu a ni bona (also, mandu e ni bona) the houses which I see. 
a ! a !	interj. meaning disapproval or dissent: not so; syn. ha ku cwalo. -aba (abile) v.t. to distribute, to allot, to divide into parts, to share, to dispense: Ba abile nama. they distributed meat. der: muabi, kabelo, siabelo, buabi. rel. -abela (abezi) to distribute, to make an offering to. caus. -abisa (abisize) to order or to help to divide. int. -abe-lela (abelezi) to distribute the whole lot. rec. -abelana (abelani) to share among themselves. ref. -lka-ba (ikabile) to split up. (rel) -ikabe-la (ikabezi) to share out: Ba ikabezi mali, they shared out the money. 
acha !	interj. of pain. 
achu !	interj. of pain. 
afi ?	inter. adj. with nouns which have the plural in 'ma', what, what sort, which: Mabaka ki afi? What are the reasons? 
-akaleza (akalelize) 	v.t. Sotho. to sum up, to abbreviate, to summarise; to speak not very accurately, to estimate der. kakalezo. 
akalikule Luyana	exp. a-ka-li-kule (used in river transport) (lit: the bottom is too far) Let us cease poling, let us paddle, it is too deep to pole. cf. banji. 
-akana (akani or akanile)	v.t. to rush for, to charge for: Bana ba akana lico, the children are rushing for the food. caus. akanisa (akanisize) to cause to ~. 
-akela (akezi)	v.t. (1) to lift up (a divining bone) (2) to catch an object which is thrown: Nja ye ha i koni ku akela, this dog is not able to catch; Akela ye, catch this! (syn. -akwela) 
-akisa (akisize)	v.t. to show off: Musali yo u lata hahulu ka akisa mwan'a hae, this woman likes to show off her child very much. rel. -akiseza (akiselize) to present for people's admiration. 
ako… keye,	exp. used when proposing and answering riddles. (lit: there it comes . . . let it come!) 
aku,	abbr. for: a u ke u will you: A ku ni fe, please give me. The pl is: a mu ke mu (same as nangu) 
-akufa (akufile)	v.i. to hurry up, to make haste to be quick. cf. -cibilika, -feuka. rel. -akufela (akufezi) to hasten to, to hasten for: Ni akufele, come to me quickly caus. -akufisa (akufisize) to cause to be quick, to hasten; to urge forward, to accelerate: Akufsa sico, hurry up with the food. rel. -akufiseza (akufiselize) to cause to hasten to. freq. -akufanga to go on hastening: Ya akufanga, one who is agile. 
-akula (akuzi)	v.t. to inhale: Ku akula musi, to inhale smoke; ka akula butuku, to catch a disease by breathing in the germs. rel. -aku-lela (akulezi) to breathe on someone else: U sike wa ni akulela, do not breathe on me. 
-akuleza (akulezi)	v.t. to stretch out the hands, to catch something thrown. 
-akwela (akwezi)	v.t. to take off: Akwela tapi! Take the fish off the spear; to catch an object in mid-air. syn. -akela. 
-alaba (alabile)	v.t. to answer, to reply, to respond: Alaba puzo ya ka, answer my question. der. kalabo, musabelo caus. -alabisa (alabisize) to cause to answer. rec. -alabana (alabani or alabanile) (1) to answer each other. (2) to roll over and over; to writhe in pain. syn. -pitika. ref. -ikalabela (ikala-bezi) to answer for oneself, to pre sent one's own defence. 
alabanya (alabanyize) to throw down someone in	wrestling. 
-alafa (alafile)	v.t. to doctor, to give medicine to, to nurse, to treat, to dress a wound: Ku alafa mukuli, to treat a patient. der. -mualafi, kalafo, bualafi mualafelo. rel. -alafela (alafezi) to nurse for: Ni alafele mwan'a ka, nurse my child for me. caus. -alafisa (alafisize) to order or to help to nurse. int. -alafelela (ala felezi) to give everyone medical treatment: ba alafelezi munzi kau-fela, they have treated everyone in the village. ref. -ikalafa (ikalafile) to take medical care of oneself, to treat oneself. 
-alakanya (alakanyize)	v.i. to think about, to consider thoughtfully; to purpose: U alakanyani? What are you considering? 
-alanana (ala–ani)	v.i. (1) to be prominent, jutting out: Mba ya hae i ala nani, he is pot-bellied. (2) to become constipated, costive. 
-alauka (alaukile) or -aloka (alokile) 	v.t. and v.i. to shake violently. caus. -alaukisa (alaukisize) (1) to cause a canoe to wobble through defective paddling (2) to cause swaying (said of a kilt, as worn by the Malozi). 
ale,	dem. pron. pl. (class: bu-ma, li-ma, lu-ma) (4th degree). those over there Mahobe ale kaufela ki a bo mani? Whose are those portions of buhobe over there? aleka, n. eng. (Script) ark. 
-aluhana (aluhani)	v.i. to part, to separate. cf. -kauhana. 
-aluhanya (aluhanyize)	v.t. to separate, to divide. cf. -kauhanya. 
-aluka (alukile) or -alauka (alaukile)	v.i. to turn over and over: Mukuli u alauka fa mumbeta wa hae, the patient is turning over and over in his bed. cf. -pindumuka. 
-alula1 (aluzi)	v.t. to divide: Ba aluzi naha ka likiliti. they have divided the country into districts. der. mwaluli, kalulo. fig. to puzzle, to perplex, to embarrass. rel. -alulela (alulezi) to divide for, to give a portion to someone. inv. -alulula (aluluzi) to make a choice; to be partial; to divide a second time. der. saluluti, ketululo 
-alula2 (aluzi)	v.t. to finish the con- struction of a bow-net by fixing the upper ring. der. mwaluli, mwalo. 
-alumuna (alumuzi)	v.t. to roll, to remove: Alumuna kota, roll the log. syn. -pindumuna. rel. -alumunela (alumenezi) to roll, to remove for someone. caus. -alumunisa (alumunisize) to help to roll or to remove. 
-alunguta (alungutile) 	v.t. to sort out things in order to find something required. der. mualunguti. rel. -al-ungutela (alungutezi) to ~ for someone. caus. -alungutisa (alungu-tisize) to help to sort out things, to order to get things sorted out. int. -alungutelela (alungutelezi) to sort out things from all boxes, etc. 
-ama (amile)	v.t. (1) to touch. to catch, to grasp, to hold. syn. -swala. (2) to mention: Taba ha i si ka bulelwa, i amilwe fela, the matter has not been discussed, it has only been mentioned Mutu yo, h'a si ka ama kwateni, this man said nothing on this subject. rec. -amana (amani ) to refer to: taba ye i amana ni yani ye ne lu bulela mabani, this matter refers to what we were talking about yesterday. 
-ama-ama (ama-amile) 	v.t. to grudge, to give unwillingly, to be unwilling to par with: N'a lata ku nga mwana. kono mahe a mu ama ama, he wanted to take the child but the mother was unwilling to part with him. 
amata (amatile)	v.t. Luyana. to hold lightly (as when holding a baby). 
-amba ( ambile )	v.i. Luyana. to speak. der. yambelwa. syn. -bulela inv. -ambulula (ambuluzi) to change one's mind. 
-ambakana (ambakani)	v.t. to cover all things (flood-water, etc): Mezi a munda a ambakani libala kaufela, the flood-water covers the whole plain. fig. to be omnipresent. to be present everywhere: Kamita mutu yo u ambakani mwa litaba kaufela, this man is always involved in all affairs. der. Muambakani (God) 
-ambalala (ambalalile or -ambalaza (ambalalize)	v.t. to stretch out arms, to extend wings, to spread: U sike wa ambalala mazoho kwa mulilo u ka ca, do not stretch out your hands to the fire, you may get burnt. 
-ambamana (ambamanine)	v.t. to cover. cf. -ambeka. 
amba-za-unyanga,	n.pl. Mbunda. hunters' dance. (in Silozi: lipina za manyanga). 
-ambeka (ambekile)	v.t. (1) to be leaguer, to surround, to encircle, to cover: Ba ambekile munzi, they beleaguered the village Pula i am-bekile lihalimu, the clouds (lit: rain) cover the whole sky. (2) to hold a child on the lap. in the arms rel. -ambekela (ambekezi) to hold a child for someone. 
-ambelela (ambelezi)	v.t. (1) to cast a spell by using a medicine and incantations (witchcraft): Butuku bwa hae ki bwa ka ambelelwa, his illness is due to a spell cast over him (2) to order a crocodile to bring back its prey by incantation 
-ambola (ambozi) or-ambaula (am bauzi)	v.i. to talk, to gossip, to chat, to discuss. der. muamboli, ngambolo. rel. -ambolela (ambolezi) to tell, to talk to, to tell someone, to speak on behalf of: A mu ni am-bolele litaba, tell me the news. caus. -ambolisa (ambolisize) to converse. to hold a conversation with, to make conversation to: Mu ambolise baenyi, make conversation with the guests. rec -amboli-sana (ambolisani or ambolisanile) to converse (the conversation being held by two people only). ref. -lkambolela (ikambolezi) as -ambolisana. 
-ambuka (ambukile)	v.t. to put aside a matter; to leave someone alone, keep away from someone: Mu ambuke libyana za mutu, leave the man's personal effects. caus. -ambusa (ambusize) to keep some one away from: Na ba ni ambusize mwa litaba za milelo ya bona, they have kept me out of their plans. ref -ikambusa (ikambusize) to keep oneself out of trouble. 
-ambula (ambuzi)	v.t. to stretch out to the full length: Mbande i ambuzi mafufa, the eagle stretched out its wings. 
-ambula2 (ambuzi)	v.i. to sit up, to stay up, to keep awake all the night: Lu il'o bu ambula mane sekee: We sat up the whole night till dawn! 
-ambwela1 (ambwezi) 	v.t. not to do or say again; to stop doing something: U ambwele ku bulela manzwi ao, do not say those words again. 
-ambwela2 (ambwezi)	v.i. to remove harm attached to a taboo by saying or doing something. cf. -mbamba. 
-amenena (amenezi)	v.t. (1) to take for oneself, as one's own, things which wer meant to be shared: U amenena liluo, he is keeping the whole property for himself. syn. -habelela. (2) to stand by someone, to assist, to speak in favour of: Kamita mushemi u amenena mwan's hae, the parent always stands by his child. 
-amuba (amubile)	v.i. to lose savour. to become insipid: Busunso bo bu amabile, this relish is tasteless. syn. -sampuka. rel. -amubela (amu-bezi) to be insipid to: Sico se sa ni amubela. to me this food is tasteless. caus. -amubisa (amubisize) to make insipid. 
-amuha (amuhile)	v.t. to take from by force, to deprive, to disposess: Mun'a munzi u mu amuhile simu, the village headman has taken away a garden from him. rel. -amuhela (amuhezi) to deprive in favour of or on someone's behalf. caus. -amuhisa (amuhisize) to cause someone's deprivation: Ba mu amuhisize simu ka busawana, they dispossessed him of his garden through false reports. int. -amuhelela (amuhelezi) to deprive completely. 
