messenger	@“समाचारवाहक	<h3 id="section-1">परिभाषा:</h3><p>समाचारवाहक” भन्‍ने शब्दले, अरूलाई सुनाउनको निम्ति संदेश पाएको व्यक्त्तिलाई जनाउँछ ।</p><ul><li>प्राचीन कालमा, समाचारवाहकलाई युद्धको मैदानबाट सहरमा भएका मानिसहरूलाई जानकारी दिन सहर पठाइन्थ्यो ।</li><li>स्वर्गदूत विशेष प्रकारका समाचारवाहक हुन् जसलाई परमेश्‍वरले मानिसहरूलाई सन्देश दिन पठाउनुहुन्छ । कतिपय अनुवादहरूमा “स्वर्गदूत” लाई “समाचारवाहक” भनेर अनुवाद गरिएको पाइन्छ ।</li><li>अगमवक्त्ता, अरू मानिसहरूलाई परमेश्‍वरको शिक्षा, चेतावनी र अन्य प्रकारका सन्देशहरू दिने व्यक्त्ति हो ।</li><li>बप्‍तिस्मा दिने यूहन्‍ना येशू भन्दा अगि आउने समाचारवाहक थिए जसले मानिसहरूलाई मसीहको आगमनको बारेमा बताउन र उहाँलाई ग्रहण गर्न उनीहरूलाई तयार पार्न उहाँ भन्दा अगि आए ।</li><li>येशूका प्रेरितहरू उहाँका समाचारवाहकहरू थिए जसले अरू मानिसहरूकहाँ गएर परमेश्‍वरको राज्यको बारेमा सुसमाचार सुनाए ।</li></ul>
Aquila	@अकिलास	<h3 id="section-1">परिभाषा:</h3><p>अकिलास पोन्टस प्रान्तका एक यहूदी ख्रीष्‍टियान थिए । यो प्रान्त काला समुद्रको उत्तरी तटनेर पथ्र्यो ।</p><ul><li>अकिलास र प्रिस्किला केही समय इटालीको रोममा बसे । त्यसपछि रोमी सम्राट् क्लौडियसले सबै यहूदीहरूलाई रोम छाड्न बाध्य पारे ।</li><li>अकिलास र प्रिस्किला यात्रा गरी कोरिन्थमा आइपुगेपछि, त्यहाँ तिनीहरूले प्रेरित पावललाई भेटे ।</li><li>तिनीहरूले पावलसँगै पाल बनाउने काम गर्नुका साथै तिनको मिसनरी काममा पनि मदत गरे ।</li><li>अकिलास र प्रिस्किला दुवैले विश्‍वासीहरूलाई येशूको बारेमा भएको सत्यता सिकाए । ती विश्‍वासीहरूमध्ये अपोल्लोस वरदान प्राप्‍त शिक्षक थिए ।</li></ul>
unleavened bread	@अखमिरी रोटी	<h3 id="section-1">परिभाषा:</h3><p>पदावली “अखमिरी रोटी” ले खमिर वा खमिरसित सम्बन्धित अन्य कुनै पदार्थ नहाली पकाएको रोटीलाई जनाउँछ । अखमिरी रोटी फुल्दैन, यो चेप्‍टो हुन्छ ।</p><ul><li>परमेश्‍वरले इस्राएलीहरूलाई मिश्रको दासत्वबाट छुटकारा दिनुहुँदा उहाँले तिनीहरूलाई छिटो-छिटो गरी मिश्रबाट भाग्‍न आज्ञा दिनुभयो, यति छिट्टै कि तिनीहरूको रोटी पनि फुल्न नपाओस् । त्यसैले, तिनीहरूले आफ्ना खानासँगै अखमिरी रोटी खाए । त्यस बेलादेखि त्यस समयको याद दिलाउन तिनीहरूको वार्षिक निस्तार-चाडको उत्सवमा अखमिरी रोटीको प्रयोग गरिन्छ ।</li><li>खमिरलाई कहिले काहीँ “पाप” को चित्रको रूपमा प्रयोग गरिएकोले “अखमिरी रोटी” ले पापको अपासरण र परमेश्‍वरलाई आदर दिने तवरले जिउने कुरोको प्रतिनिधित्व गर्छ ।</li></ul><p>अनुवादका लागि सुझावहरूः</p><ul><li>यस पदावलीलाई “खमिर नभएको रोटी” वा “नफुल्‍ने चेप्‍टो रोटी” भनी अनुवाद गर्न सकिन्छ ।</li><li>तपाईंले “खमिर, सोडा” लाई कसरी अनुवाद गर्नुहुन्छ, त्यससित यो पदावली मेल खाओस् भन्‍ने कुरामा निश्‍चित हुनुहोस् ।</li></ul><p>(हेर्नुहोस्ः निस्तार-चाड, सोडा, खमिर)</p><p>बाइबलका सन्दर्भहरूः</p><ul><li>१ कोरिन्थी ०५:६-८</li><li>२ कोरिन्थी ३०:१३-१५</li><li>प्रेरित १२:३-४</li><li>प्रस्थान २३:१४-१५</li><li>एज्रा ०६:२१-२२</li><li>उत्पत्ति १९:१-३</li><li>न्यायकर्ता ०६:२१</li><li>लेवी ०८:१-३</li><li>लूका २२:१-२</li></ul>
prophet	@अगमवक्‍ता	@अगमवाणी	@अगमवाणी गर्नु	@दर्शी	@अगमवादिनी	<h3 id="section-1">परिभाषा:</h3><p>“अगमवक्‍ता” परमेश्‍वरको सन्देश मानिसहरुलाई भन्‍ने एक मानिस हुन । यसो गर्ने महिलालाई “अगमवादिनी” भानिन्छ ।</p><ul><li>अगमवक्‍ताको लागि पुरानो शब्द “दर्शी” वा “कोही जसले देख्छ” थियो ।</li><li>तैपनि, कहिले काहीँ “दर्शी” शब्दले जोखना हेर्ने वा अरु झुटा अगमक्‍तालाई जनाउछ ।</li><li>प्रायः अगमवक्‍ताहरूले मनिसहरुलाई तिनीहरूका पापबाट फर्कन र परमेश्‍वरको आज्ञा पालन गर्न चेतावनी दिन्थे ।</li><li>“अगमवाणी” अगमवक्‍ताले बोल्ने सन्देश हो ।” अगमवाणी गर्नु” भनेको परमेश्‍वरको सन्‍देश बोल्नु हो ।</li><li>अगमवाणीका सन्देशहरू प्रायः भविष्यमा हुने केही कुराहरूबारे हुन्थ्यो ।</li><li>पुरानो करारका धेरै अगमवाणीहरू पुरा भइसकेको छन् ।</li><li>“झुटा अगमवक्‍ता” ले बाल जस्ता झुटा देवताको सन्देशहरु बोलेको दाबी गर्थ्यो वा परमेश्‍वरको सन्देश बोलेको गलत तवरले दाबी गर्थ्यो ।</li></ul><p>अनुवादका निम्ति सुझावहरुः</p><ul><li>“अगमवक्‍ता” शब्दलाई “परमेश्‍वरको प्रवक्‍ता” वा “परमेश्‍वरको निम्ति बोल्ने मानिस” वा “परमेश्‍वरको सन्देश बोल्ने मानिस” भनी अनुवाद गर्न सकिन्छ ।</li><li>“अगमवाणी” लाई अनुवाद गर्ने तरिकाहरूमा “परमेश्‍वरको सन्देश” वा “अगमवक्‍ताको सन्देश” पर्छन् ।</li><li>सन्दर्भअनुसार “अगमवाणी गर्नु” लाई यसरी अनुवाद गर्न सकिन्छ “परमेश्‍वरको वचनहरू बोल्नु” वा “भावी घटनाहरूबारे परमेश्‍वरको सन्देश भन्‍नु” ।</li><li>“अगमवादिनी” शब्दलाई “परमेश्‍वरको निम्ति प्रवक्‍तिनी” वा “परमेश्‍वरको निम्ति बोल्ने महिला” वा “परमेश्‍वरको सन्देश बोल्ने महिला” भनी अनुवाद गर्न सकिन्छ ।</li></ul><p>(हेर्नुहोस्ः जोखना, जोखना हेर्ने, ज्योतिष, ज्योतिषी, झुटा अगमवक्‍ता, पुराहुनु)बाइबलका खण्डहरूः</p><ul><li>१ थेसलोनिकी ०२:१४-१६</li><li>प्रेरित ०३:२४-२६</li><li>यूहन्‍ना ०१:४३-४५</li><li>मलाकी ०४:४-६</li><li>मत्ती ०१:२२-२३</li><li>मत्ती ०२:१७-१८</li><li>भजनसंग्रह ०५१:१-२</li></ul><p>बाइबलका कथाहरूबाट उदाहरणहरूः</p><ul><li>(१२-१२) जब इस्राएलीहरूले मिश्रीहरू मरेका देखे, तिनीहरूले परमेश्‍वरमा भरोसा गरे, र मोशा परमेश्‍वरका अगमवक्‍ता थिए भनी विश्‍वास गरे ।</li><li>(१७-१३) दाऊदले जे गरेका थिए त्यसबारे परमेश्‍वर धेरै रिसाउनुभयो, त्यसैले उनका पाप कति खराब थिए भनी बताउन नातान अगमवक्‍ता पठाउनुभयो ।</li><li>(१९-०१) इस्राएलको इतिहासभरि नै परमेश्‍वरले तिनीहरूकहाँ अगमवक्‍ताहरू पठाउनुभयो । अगमवक्‍ताहरूले परमेश्‍वरबाट सन्देश सुन्थे, त्यसपछि परमेश्‍वरको सन्देश मानिसहरूलाई भन्थे ।</li><li>(१९-०६) बालका ४५० अगमवक्ताहरू लगायत इस्राएल राज्यभरिका मानिसहरू कार्मेल पर्वतमा आए ।</li><li>(१९-१७) मानिहहरूले धेरैजसो परमेश्‍वरको अवाज्ञा गरे । तिनीहरूले अगमवक्‍ताहरूलाई प्रायः दुर्व्यवहार गर्थे, र कहिले काहीँ मार्थे पनि ।</li><li>(२१-०९) मसीह कन्याबाट जन्मनुहुनेछ भनी यशैया अगमवक्‍ताले अगमवाणी गरे ।</li><li>(४३-०५) “यसले योएल अगमवक्‍ताले अगमवाणी गरेका कुरा पुरा गर्छ, जसमा परमेश्‍वरले भन्‍नुभयो, ‘अन्तिम दिनहरूमा, म मेरो आत्मा खन्याउनेछु’ ।”</li><li>(४३-०७) “यसले यसो भन्‍ने अगमवाणी पुरा गर्छ, ‘तपाईंले तपाईंका पवित्र जनलाई चिहानमा कुहुन दिनुहुनेछैन’ ।”</li><li>(४८-१२) मोशा परमेश्‍वरको वचन घोषणा गर्ने महान् अगमवक्‍ता थिए । तर येशू सबैभन्दा महान् अगमवक्‍ता हुनुहुन्छ । उहाँ परमेश्‍वरको वचन हुनुहुन्छ ।</li></ul>
amazed	@अचम्म	@छक्‍क	@दङ्ग परेको	@आश्‍चर्यचकित परेको	<h3 id="section-1">परिभाषा:</h3><p>यी सबै शब्दहरूले “केही अद्भूत कुरो भएकोले ज्यादै चकित” परेको अवस्थालाई जनाउँछन् ।</p><ul><li>यी केही शब्दहरू ग्रिक टुक्‍काहरूका अनुवादहरू हुन्, जसको अर्थ हुन्छ, “आश्‍चर्यले रोकिनु” वा “... को बाहिर उभिनु ।” ज्यादै छक्‍क परेको वा दङ्ग परेको व्‍यक्‍तिले कसरी अनुभूति गर्दै थियो भनी यी टुक्‍काहरूले व्यक्त गर्छन् । यसलाई व्यक्त गर्न अरू भाषाहरूमा पनि यस्ता टुक्‍काहरू हुन सक्छन् ।</li><li>विस्मय वा छक्‍क पार्ने कुरो अक्सर आश्‍चर्यकर्म हुन्थ्यो । आश्‍चर्यकर्म भनेको त्यस्तो कुरो हो, जुन परमेश्‍वरले मात्र गर्न सक्‍नुहुन्छ ।</li><li>यी शब्दहरूको अर्थमा साधारणतया भ्रमका अनुभूतिहरू पर्छन्, किनकि जे भएको थियो, त्यो पूर्णतः अनपेक्षित थियो र त्यो साधारणतया हुनेभन्दा परको कुरो थियो ।</li><li>यी शब्दहरूलाई “अत्यन्तै छक्‍क परेको” वा “निकै दङ्ग परेको” भनेर पनि अनुवाद गर्न सकिन्छ ।</li><li>“विचित्रको” (उदेकको, अचम्मको), “विस्मय,” र “ताज्जुब” सम्बन्धित शब्दहरू हुन् ।</li><li>साधारण रूपमा भन्‍नुपर्दा, यी शब्दहरू सकारात्मक छन्, र घटेका घटनाहरूबारे मानिसहरू खुसी थिए भनी यिनले व्यक्त गर्छन् ।</li></ul>
Azariah	@अजर्याह	<h3 id="section-1">परिभाषा:</h3><p>अजर्याह पुरानो करारमा केही मानिसहरूको नाउँ थियो ।</p><ul><li>एक जना अजर्याह निकै परिचित छन्, जसको बेबिलोनी नाउँ अबेद्नगो हो । नबूकदनेसरका सेनाद्वारा बेबिलोनी निर्वासनमा लगिने यहूदाका मनग्गे इस्राएलीहरूमध्ये तिनी एक थिए । अजर्याह र तिनका सङ्गी इस्राएलीहरू (हनन्याह र मीशाएल) ले बेबिलोनका राजाको पूजा गर्न इन्कार गरे । त्यसैले, राजाले दण्डस्वरूप तिनीहरूलाई बलिरहेको आगोको भट्टीमा फ्याँक्‍न लगाए । तर परमेश्‍वरले तिनीहरूको रक्षा गर्नुभयो, र तिनीहरूलाई पटक्‍कै चोट लागेन ।</li><li>यहूदाका राजा उज्जिाह पनि “अजर्याह” भनी चिनिन्थे ।</li><li>अर्का अजर्याह पुरानो करारका प्रधान पूजाहारी थिए ।</li><li>यर्मिया अगमवक्ताको समयमा अजर्याह नाउँ गरेका मानिसले आ-आफ्ना मातृभूमि छाडी परमेश्‍वरप्रति अनाज्ञाकारी बन्‍न इस्राएलीहरूलाई गलत किसिमले अनुरोध गरे ।</li></ul>
abyss	@अतल-कुण्ड	<h3 id="section-1">परिभाषा:</h3><p>शब्द “अतल-कुण्ड” ले ज्यादै ठुलो र गहिरो खाडल वा पिँध नभएको दरारलाई जनाउँछ ।</p><ul><li>बाइबलमा “अतल-कुण्ड” दण्डको स्थान हो ।</li><li>उदाहरणको लागि, येशूले एउटा मानिसबाट दुष्‍टात्माहरूलाई बाहिर निस्केर आउन आज्ञा दिनुहुँदा तिनीहरूलाई “अतल-कुण्ड” मा नपठाइयोस् भनी तिनीहरूले उहाँलाई बिन्ती गरे ।</li><li>“अतल-कुण्ड” लाई “पिँधविनाको खाडल” वा “गहिरो दरार” भनेर पनि अनुवाद गर्न सकिन्छ ।</li><li>यसलाई “चिहान” वा “पाताल” वा “नरक” भन्दा फरक किसिमले अनुवाद गरिनुपर्छ ।</li></ul>
Athaliah	@अतल्याह	<h3 id="section-1">परिभाषा:</h3><p>अतल्याह यहूदाका राजा यहोरामकी दुष्‍ट पत्‍नी थिइन् । उनी इस्राएलका दुष्‍ट राजा ओम्रीकी नातिनी थिइन् ।</p><ul><li>यहोरामको मृत्युपश्‍चात् अतल्याहका छोरा अहज्याह राजा भए ।</li><li>अतल्याहका छोरा अहज्याह मर्दा उनले राजाका बाँकी सबै परिवारलाई मार्ने षड्यन्‍त्र बुनिन् ।</li><li>तर अतल्याहका जवान नाति योआशलाई तिनकी काकीले लुकाएकीले तिनी मारिएनन् । पछि तिनी यहूदाका राजा बने ।</li></ul>
Eden	@अदन	@अदनको बगैँचा	<h3 id="section-1">परिभाषा:</h3><p>प्राचीन समयमा अदन नाम गरेको एउटा ठाउँमा एउटा बगैंचा थियो, जहाँ परमेश्‍वरले प्रथम स्‍त्री र पुरुषलाई राख्‍नुभएको थियो ।</p><ul><li>उक्त बगैँचा अदनको एउटा भाग मात्र थियो ।</li><li>अदन कुन ठाउँमा पर्छ भनेर यकिन गर्न सकिएको छैनl</li><li>उक्त बगैंचालाई “याहोवेको बगैँचा” पनि भनिन्छ ।</li><li>“अदन” हिब्रू भाषाबाट आएको शब्द हो, जसको अर्थ हुन्‍छ “अत्यन्तै आनन्दित हुनु” ।</li></ul>
Adonijah	@अदोनियाह	<h3 id="section-1">परिभाषा:</h3><p>अदोनियाह राजा दाऊदका चौथो छोरा थिए ।</p><ul><li>अदोनियाहका दाजुहरू अब्शालोम र अमनोनको मृत्युपछि तिनी इस्राएलको राजा हुन खोजे ।</li><li>तर परमेश्‍वरले दाऊदका छोरा सोलोमनलाई सिंहासन दिने प्रतिज्ञा गर्नुभएको थियो । त्यसैले, अदोनियाहको षड्यन्‍त्र विफल पारी सोलोमनलाई सिंहासन दिइयो ।</li><li>अदोनियाहले दोस्रो पटक आफैलाई राजा बनाउने प्रयत्‍न गर्दा, सोलोमनले तिनलाई मारे ।</li></ul>
