अचंभे	Aback
ऐबालोन	Abalone
त्याग्न	Abandon
त्यागे	Abandoned
परित्याग	Abandonment
बेइज्जती	Abasement
परेशान	Abashed
कमी	Abatement
एबीबी	Abb
अब्बा	Abba
अब्बास	Abbas
संक्षिप्त	Abbreviate
संक्षिप्त नाम	Abbreviation
हेलचेक्य्राइँ	Abdicate
अधित्याग	Abdication
पेट	Abdomen
पेट	Abdominal
अपहरण	Abduct
अपहरण	Abduction
जहाज को शहतीर पर	Abeam
हाबिल	Abel
न्यायपालिका	Aberrant
घृणा	Abhor
घृणाको	Abhorrence
घृणा	Abhorrent
कुरालाई घृणा	Abhorring
पालना	Abide
पालन	Abiding
अबीगेलले	Abigail
क्षमता	Ability
दयनीय	Abject
प्रतिषेध	Abjure
पृथक	Ablation
त्यति प्रबल	Ablaze
सक्षम	Able
अबनेर	Abner
असामान्य	Abnormal
विषमता	Abnormality
असामान्य	Abnormally
सवार	Aboard
बासस्थान	Abode
रद्द	Abolish
समाप्त	Abolishment
उन्मूलन	Abolition
उन्मूलनवाद	Abolitionist
घृणित	Abominable
तिरस्कार	Abominate
घृणा	Abomination
पेजमा जानुस्	Abord
सेवामूलक	Aboriginal
आदिम	Aboriginality
आदिवासी	Aborigine
परित्याग	Abort
परित्याग	Aborted
गर्भपतन	Abortion
गर्भपतन गराउने किसिमका	Abortive
गर्भस्राव	Abortus
प्रशस्त	Abound
प्रशस्त	Abounding
बारेमा	About
माथि	Above
जमिनमाथि	Aboveground
रक्सी को मिलावट	Abrade
अब्राहाम	Abraham
अब्राहामसित	Abrahamic
अब्राम	Abram
घर्षण	Abrasion
घर्षण	Abrasive
बराबर	Abreast
संक्षेपण	Abridge
संक्षिप्त	Abridged
विदेश	Abroad
रद्द	Abrogate
खारेजी	Abrogation
अचानक	Abrupt
अचानक	Abruptly
आकस्मिकता	Abruptness
अब्शालोमले	Absalom
विद्रधि	Abscess
भुज	Abscissa
फरार	Absconded
अभाव	Absence
अनुपस्थित	Absent
हाम्रा शिक्षक	Absentee
अनुपस्थिति	Absenteeism
निरपेक्ष	Absolute
बिल्कुल	Absolutely
मुक्ति	Absolution
अवशोषित	Absorb
अवशोषित	Absorbed
शोषक	Absorbent
अवशोषक	Absorber
अवशोषित	Absorbing
तन्मयतापूर्वक	Absorbingly
अवशोषण	Absorption
अवशोषण	Absorptive
नपिउनु	Abstain
संयम	Abstinence
संयमी	Abstinent
सार	Abstract
अमूर्त	Abstraction
हुनै नसक्ने	Absurd
सोच   मूर्खताले	Absurdity
मूर्खता	Absurdly
अबु	Abu
प्रशस्त	Abundance
प्रशस्त	Abundant
प्रशस्त	Abundantly
दुरुपयोग	Abuse
अपमानजनक	Abusive
निन्दा	Abusively
अगाध	Abyss
अबीसीनिया	Abyssinian
शैक्षिक	Academic
विद्यामूलक	Academical
शिक्षाविद्	Academician
अनुसूची	Acara
सूचना प्रदर्शन को अधिकार	Acaricide
अनुमोदन	Accede
तेजी	Accelerate
तीव्र	Accelerated
बचतमा	Acceleration
गतिवर्धक	Accelerator
एक्सीलेरोमीटर	Accelerometer
बल	Accent
दबाव	Accentuate
निर्मित	Accentuation
स्वीकार	Accept
स्वीकार्यता	Acceptability
स्वीकार्य	Acceptable
ग्रहणयोग्य	Acceptably
स्वीकृति	Acceptance
स्वीकार	Acceptation
स्वीकृत	Accepted
पहुँच	Access
सहायक	Accessary
पहुँच	Accessibility
सुलभ	Accessible
परिग्रहण	Accession
सहायक	Accessorial
गौण	Accessory
दुर्घटना	Accident
दुर्घटनाको	Accidental
गल्ति	Accidentally
तीक्ष्ण दृष्टि	Accipitral
प्रशंसा	Acclaim
रूपांतरण	Acclimatization
समायोजित	Accommodate
मिलनसार	Accommodating
आवास	Accommodation
संगत	Accompaniment
साथ	Accompany
सुनेर बस्नुभयो	Accomplice
पूरा	Accomplish
पूरा	Accomplished
उपलब्धि	Accomplishment
मनका	Accord
अनुसार	Accordance
अनुसार	According
त्यसकारण	Accordingly
बाजा	Accordion
खाता	Account
जवाफदेहिता	Accountability
जवाफदेही	Accountable
लेखा	Accountancy
लेखापाल	Accountant
लेखा	Accounting
मान्यता	Accredit
मान्यता	Accreditation
सम्बन्धन प्राप्त	Accredited
एस	Accretion
प्रोद्भवन	Accrual
थपिनु	Accrue
जम्मा	Accumulate
संचय	Accumulation
नेप्से परिसूचक	Accumulative
संचायक	Accumulator
सटीकता	Accuracy
सही	Accurate
सही	Accurately
श्रापित	Accursed
आरोप	Accusation
कर्ता कारक	Accusative
अभियोगात्मक	Accusatory
आरोप	Accuse
आरोप	Accused
दोष लगाउने	Accuser
आदी	Accustomed
एसर	Acer
एसीटैल्डिहाइड	Acetaldehyde
एसीटेट	Acetate
खट्टा	Acetic
एसीटोन	Acetone
एसिटिलीन	Acetylene
दुखाइ	Ache
प्राप्त	Achievable
प्राप्त	Achieve
उपलब्धि	Achievement
सफल	Achiever
दुखाइ भइ	Aching
दुखाइ	Achy
एसिड	Acid
अम्लीय	Acidic
अम्लीकरण	Acidification
एसिडिटी	Acidity
ऐकर	Acker
स्वीकार	Acknowledge
स्वीकारे	Acknowledged
मुखासे	Acne
शाहबलूतिक	Acorn
एकोस्टीक	Acoustic
ध्वनिक	Acoustical
ध्वनिकी	Acoustics
अभ्यस्त	Acquaint
परिचय	Acquaintance
थाह	Acquainted
सहमति जनाइरहेका	Acquiesce
अणु	Acquiescence
प्राप्त	Acquire
अधिग्रहण	Acquired
प्राप्ति	Acquirement
अधिग्रहण	Acquisition
सक्नु	Acquit
सकिने	Acquittal
एकड	Acre
खेती	Acreage
तीखा	Acrid
उग्र	Acrimonious
तीक्ष्णतापूर्वक	Acrimoniously
एक्रोबैट	Acrobat
कलाबाजी	Acrobatics
गरयो	Acronym
एक्रोपलिश	Acropolis
भर	Across
एक्रिलिक	Acrylic
काम	Act
अभिनय	Acting
एक्टिनियम	Actinium
किरण रोग	Actinomycosis
ऐकटीनोप्टीरेजी	Actinopterygii
काम	Action
कार्रवाई	Actionable
सक्रिय	Activate
सक्रियतामा	Activation
प्रवर्तक	Activator
सक्रिय	Active
सक्रिय	Actively
सक्रियता	Activeness
महिला हिंसा	Activism
कार्यकर्ता	Activist
गतिविधि	Activity
अभिनेता	Actor
अभिनेत्री	Actress
प्रेरित	Acts
वास्तविक	Actual
वास्तविकता	Actuality
एक्तुअलिजेशन	Actualization
वास्तवमा	Actually
सरकारप्रमुखले	Actuarial
एक्टुएटर	Actuator
संदर्भ	Acuan
तीक्ष्णता	Acuity
क्षमताजस्ता	Acumen
एक्यूप्रेशर	Acupressure
अकुपंचर	Acupuncture
तीव्र	Acute
तीव्रता	Acutely
अचक्रीय	Acyclic
अव्योषिता	Acystia
विज्ञापन	Ad
कहावत	Adage
आदम	Adam
दृढ	Adamant
आदमको	Adamic
छाँटकाँट	Adapt
अनुकूलता	Adaptability
छाँटकाँट	Adaptable
अनुकूलन	Adaptation
अनुकूलक	Adapter
अनुकूली	Adaptive
अनुकूलक	Adaptor
अडार	Adar
जोड	Add
जोडी	Added
परिशिष्टहरुलाई	Addenda
परिशिष्ट	Addendum
योजक	Adder
लत	Addict
आदी	Addicted
लत	Addiction
थप	Addition
अतिरिक्त	Additional
यसको अतिरिक्त	Additionally
थपिएको	Additive
ठेगाना	Address
प्रापकमिलानकर्ता	Addressee
प्रस्तुतीकरण	Adduction
एडेनाइन	Adenine
ग्रंथ्यर्बुद	Adenoma
गिल्टी जैसा	Adenose
एडीनोसाइन	Adenosine
निपुण	Adept
पर्याप्तता	Adequacy
पर्याप्त	Adequate
पर्याप्त	Adequately
पालन	Adhere
पालन	Adherence
अनुयायी	Adherent
लगाव	Adhesion
टाँसन	Adhesive
चिपचिपाते	Adhesively
बालछड	Adiantum
धार्मिक उदारता या सहिष्णुता	Adiaphorism
विदाई	Adieu
आदीन	Adin
संलग्नता	Adjacency
आसन्न	Adjacent
विशेषण	Adjective
जुटाना मा दर्ज	Adjoin
बगल	Adjoining
स्थगित गर्नु	Adjourn
स्थगित	Adjournment
अधिनिर्णय	Adjudication
सहायक	Adjunct
समायोजन	Adjust
समायोज्य	Adjustable
समायोजक	Adjuster
समायोजन	Adjustment
सहायक	Adjuvant
प्रशासन	Administer
प्रशासन	Administration
प्रशासनिक	Administrative
प्रशासकीय	Administratively
प्रशासक	Administrator
प्रशंसनीय	Admirable
प्रशंसनीय	Admirably
एडमिरल	Admiral
नौवाहनविभाग	Admiralty
प्रशंसा	Admiration
प्रशंसा	Admire
प्रशंसनीय	Admired
प्रशंसक	Admirer
प्रशंसा	Admiring
ग्राहृयता	Admissibility
अन्तर्गत	Admissible
प्रवेश	Admission
स्वीकार	Admit
प्रवेश	Admittance
स्वीकारे	Admitted
पूजा	Admittedly
उपदेश	Admonish
सल्लाह	Admonition
किशोरावस्था	Adolescence
किशोर	Adolescent
अडोल्फकी	Adolph
अडोल्फस	Adolphus
परमप्रभुको	Adonai
अदोनिस	Adonis
अपनाउन	Adopt
ग्रहणीयता	Adoptability
अपनाए	Adopted
एडोप्टर	Adopter
धर्मपुत्र	Adoption
धर्मपुत्र	Adoptive
आराध्य	Adorable
श्रद्धापूर्वक	Adorably
बलि प्रथा	Adoration
पुजारी	Adorer
सिंगार्न	Adorn
सिंगार	Adornment
यूक्राईफिएसी	Adoxaceae
अद्रमेलेक	Adrammelech
अधिवृक्क	Adrenal
एड्रेनालाईन	Adrenaline
एड्रीनर्जिक	Adrenergic
एड्रियन	Adrian
एड्रियाटिक	Adriatic
रमा	Adrienne
बिराएको	Adrift
सोखना	Adsorb
अधिषोशी	Adsorbent
सोखना	Adsorption
वयस्क	Adult
मिलावट	Adulterate
अपमिश्रण	Adulteration
व्यभिचारीले	Adulterer
व्यभिचारिणी	Adulteress
व्यभिचारी	Adulterous
व्यभिचार	Adultery
वयस्क	Adulthood
वास्तविक अर्थ	Advaita
अग्रिम	Advance
उन्नत	Advanced
