-ए	@-e	<div class="pronunciations">Pronunciation:<ul><li>IPA: <span class="IPA">[‿e]</span></li></ul></div><div class="pos"><font color="green">suffix</font></div><div class="tags"><font color="green">derogatory</font>, <font color="green">morpheme</font>, <font color="green">slang</font></div>(slang, derogatory) Used to form nouns with an attitude of disgrace.<div>Links: <a href="bword://derogatory">derogatory</a></div><br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">राम (rām, “Ram(name)”) + -ए (-e) → रामे (rāme, “Rame”)</div></div>
-हरू	@-harū	<div class="pronunciations">Pronunciation:<ul><li>IPA: <span class="IPA">[‿ɦʌɾu]</span></li></ul></div><div class="pos"><font color="green">suffix</font></div><div class="tags"><font color="green">morpheme</font></div>Plural marker for nouns and certain pronouns.<br><br><div>Etymology: Inherited from Sanskrit सर्व (sárva, “all”).</div>
अ	@a	<div class="pronunciations">Pronunciation:<ul><li>IPA: <span class="IPA">[ʌ]</span></li></ul></div><div class="pos"><font color="green">character</font></div><div class="tags"><font color="green">letter</font></div>The first vowel of Nepali, written in the Devanagari script. Inherent after consonants.<div>Links: <a href="bword://vowel">vowel</a>, <a href="bword://Nepali">Nepali</a>, <a href="bword://Devanagari">Devanagari</a></div>
अ-	@a-	@अन-	<div class="pronunciations">Pronunciation:<ul><li>IPA: <span class="IPA">[ʌ‿]</span></li></ul></div><div class="pos"><font color="green">prefix</font></div><div class="tags"><font color="green">morpheme</font></div>A negating prefix. non-, un-, a-, an-, etc.<div>Links: <a href="bword://negate">negate</a>, <a href="bword://non-">non-</a>, <a href="bword://un-">un-</a>, <a href="bword://a-">a-</a>, <a href="bword://an-">an-</a></div><br><br><div>Etymology: Inherited from Sanskrit अ- (a-).</div>
अँ	@ã	<div class="pronunciations">Pronunciation:<ul><li>IPA: <span class="IPA">[ʌ̃]</span></li></ul></div><div class="pos"><font color="green">character</font></div><div class="tags"><font color="green">letter</font></div>The fourteenth vowel in Nepali.<div>Links: <a href="bword://vowel">vowel</a>, <a href="bword://Nepali">Nepali</a></div>
अँकाइ	@ãkāi	<div class="pronunciations">Pronunciation:<ul><li>IPA: <span class="IPA">[ʌ̃käi̯]</span></li></ul></div><div class="pos"><font color="green">noun</font></div>The sense, action, or process of estimating.
अँजुलि	@ergative	@instrumental	@ne-decl-noun	@no-table-tags	@ãjuli	@अँजुलि	@[ʌ̃(d)zuli]	@अँजुलिको	@[ʌ̃(d)zuliko]	@अँजुलिबाट	@[ʌ̃(d)zulibäʈʌ]	@अँजुलिमा	@[ʌ̃(d)zulimä]	@अँजुलिलाई	@[ʌ̃(d)zuliläi]	@अँजुलिले	@[ʌ̃(d)zulile]	@अँजुलिहरू	@[ʌ̃(d)zuliɦʌɾu]	@अँजुलिहरूको	@[ʌ̃(d)zuliɦʌɾuko]	@अँजुलिहरूबाट	@[ʌ̃(d)zuliɦʌɾubäʈʌ]	@अँजुलिहरूमा	@[ʌ̃(d)zuliɦʌɾumä]	@अँजुलिहरूलाई	@[ʌ̃(d)zuliɦʌɾuläi]	@अँजुलिहरूले	@[ʌ̃(d)zuliɦʌɾule]	@अँजुलो	<div class="pronunciations">Pronunciation:<ul><li>IPA: <span class="IPA">[ʌ̃(d)zuli]</span></li></ul></div><div class="pos"><font color="green">noun</font></div>handful<div>Links: <a href="bword://handful">handful</a></div><br><br><div>Etymology: Inherited from Sanskrit अञ्जलि (añjali).</div>
अँध्यारो	@ne-decl-adj	@no-table-tags	@ãdhyāro	@अँध्यारा	@[ʌ̃d̪ʱjäɾä]	@अँध्यारी	@[ʌ̃d̪ʱjäɾi]	@अँध्यारो	@[ʌ̃d̪ʱjäɾo]	<div class="pronunciations">Pronunciation:<ul><li>IPA: <span class="IPA">[ʌ̃d̪jäɾo]</span></li></ul></div><div class="pos"><font color="green">adj</font></div><ol><li>dark<div>Links: <a href="bword://dark">dark</a></div><br></li><li>gloomy<div>Links: <a href="bword://gloomy">gloomy</a></div><br></li><li>sad<div>Links: <a href="bword://sad">sad</a></div><br></li></ol><br><div>Etymology: From Sanskrit अन्धकार (andhakāra).</div>
अँध्यारो	@ergative	@instrumental	@ne-decl-noun	@no-table-tags	@ãdhyāro	@अँध्यारो	@[ʌ̃d̪ʱjäɾo]	@अँध्यारोको	@[ʌ̃d̪ʱjäɾoko]	@अँध्यारोबाट	@[ʌ̃d̪ʱjäɾobäʈʌ]	@अँध्यारोमा	@[ʌ̃d̪ʱjäɾomä]	@अँध्यारोलाई	@[ʌ̃d̪ʱjäɾoläi]	@अँध्यारोले	@[ʌ̃d̪ʱjäɾole]	@अँध्यारोहरू	@[ʌ̃d̪ʱjäɾoɦʌɾu]	@अँध्यारोहरूको	@[ʌ̃d̪ʱjäɾoɦʌɾuko]	@अँध्यारोहरूबाट	@[ʌ̃d̪ʱjäɾoɦʌɾubäʈʌ]	@अँध्यारोहरूमा	@[ʌ̃d̪ʱjäɾoɦʌɾumä]	@अँध्यारोहरूलाई	@[ʌ̃d̪ʱjäɾoɦʌɾuläi]	@अँध्यारोहरूले	@[ʌ̃d̪ʱjäɾoɦʌɾule]	<div class="pronunciations">Pronunciation:<ul><li>IPA: <span class="IPA">[ʌ̃d̪jäɾo]</span></li></ul></div><div class="pos"><font color="green">noun</font></div><ol><li>darkness<div>Links: <a href="bword://darkness">darkness</a></div><br></li><li>ignorance<div>Links: <a href="bword://ignorance">ignorance</a></div><br></li></ol><br><div>Etymology: From Sanskrit अन्धकार (andhakāra).</div>
अं	@aṃ	<div class="pronunciations">Pronunciation:<ul><li>IPA: <span class="IPA">[ʌ̃]</span></li><li>IPA: <span class="IPA">[ʌm]</span></li></ul></div><div class="pos"><font color="green">character</font></div><div class="tags"><font color="green">letter</font></div>The twelfth vowel in Nepali.<div>Links: <a href="bword://vowel">vowel</a>, <a href="bword://Nepali">Nepali</a></div>
अः	@aḥ	<div class="pronunciations">Pronunciation:<ul><li>IPA: <span class="IPA">[ʌː]</span></li><li>IPA: <span class="IPA">[ʌɦʌ]</span></li></ul></div><div class="pos"><font color="green">character</font></div><div class="tags"><font color="green">letter</font></div>The thirteenth vowel in Nepali.<div>Links: <a href="bword://vowel">vowel</a>, <a href="bword://Nepali">Nepali</a></div>
अकास	@akās	<div class="pronunciations">Pronunciation:<ul><li>IPA: <span class="IPA">[ʌkäs]</span></li></ul></div><div class="pos"><font color="green">noun</font></div><div class="tags"><font color="green">alt-of</font>, <font color="green">alternative</font></div>alternative form of आकाश (ākāś)<div>Links: <a href="bword://आकाश">आकाश</a></div>
अखबार	@akhbār	<div class="pronunciations">Pronunciation:<ul><li>IPA: <span class="IPA">[ʌk̞ʰbär]</span></li></ul></div><div class="pos"><font color="green">noun</font></div>newspaper<div>Links: <a href="bword://newspaper">newspaper</a></div><br><br><div>Etymology: Borrowed from Hindi अख़बार (axbār), from Classical Persian اَخْبَار (axbār), from Arabic أَخْبَار (ʔaḵbār).</div>
अगस्ट	@agasṭ	<div class="pronunciations">Pronunciation:<ul><li>IPA: <span class="IPA">[ʌɡ̞ʌs̠t̠]</span></li></ul></div><div class="pos"><font color="green">noun</font></div>August<div>Links: <a href="bword://August">August</a></div><br><br><div>Etymology: Borrowed from English August.</div>
