
(44) @ACT 10:1	@<p-n> Atos  10:1</p-n>	<p>Havia em Cesareia um certo homem chamado Cornélio, centurião do que era chamado o Regimento Italiano,  
(44) @ACT 10:2	@<p-n> Atos  10:2</p-n>	<p>homem piedoso e que temia a Deus com toda a sua casa, que dava generosas ofertas aos necessitados do povo e orava a Deus continuamente.  
(44) @ACT 10:3	@<p-n> Atos  10:3</p-n>	<p>Por volta da hora nona do dia, ele viu claramente em uma visão um anjo de Deus aproximando-se dele e dizendo-lhe: “Cornélio!”   </p>
(44) @ACT 10:4	@<p-n> Atos  10:4</p-n>	<p>Ele, fixando os olhos nele e tomado de temor, disse: “O que é, Senhor?”  </p><p>O anjo lhe disse: “Suas orações e suas ofertas aos necessitados subiram como memorial diante de Deus.  
(44) @ACT 10:5	@<p-n> Atos  10:5</p-n>	<p>Agora envie homens a Jope e mande chamar Simão, que também é chamado Pedro.  
(44) @ACT 10:6	@<p-n> Atos  10:6</p-n>	<p>Ele está hospedado com um curtidor chamado Simão, cuja casa fica à beira-mar.   </p>
(44) @ACT 10:7	@<p-n> Atos  10:7</p-n>	<p>Quando o anjo que lhe falava se retirou, Cornélio chamou dois dos seus servos domésticos e um soldado piedoso dentre os que o serviam continuamente.  
(44) @ACT 10:8	@<p-n> Atos  10:8</p-n>	<p>Tendo explicado tudo a eles, enviou-os a Jope.   </p>
(44) @ACT 10:9	@<p-n> Atos  10:9</p-n>	<p>No dia seguinte, enquanto eles estavam a caminho e se aproximavam da cidade, Pedro subiu ao terraço para orar, por volta do meio-dia.  
(44) @ACT 10:10	@<p-n> Atos  10:10</p-n>	<p>Ele teve fome e quis comer; mas, enquanto preparavam a comida, ele caiu em êxtase.  
(44) @ACT 10:11	@<p-n> Atos  10:11</p-n>	<p>Ele viu o céu aberto e um certo recipiente descendo até ele, como um grande lençol baixado à terra pelas quatro pontas,  
(44) @ACT 10:12	@<p-n> Atos  10:12</p-n>	<p>no qual havia todos os tipos de animais quadrúpedes da terra, animais selvagens, répteis e aves do céu.  
(44) @ACT 10:13	@<p-n> Atos  10:13</p-n>	<p>Uma voz veio a ele: <span class='wj'>“Levante-se, Pedro, mate e coma!”</span>   </p>
(44) @ACT 10:14	@<p-n> Atos  10:14</p-n>	<p>Mas Pedro disse: “De modo nenhum, Senhor; pois nunca comi nada que seja comum ou impuro.”   </p>
(44) @ACT 10:15	@<p-n> Atos  10:15</p-n>	<p>Uma voz veio a ele novamente pela segunda vez: <span class='wj'>“O que Deus purificou, você não deve chamar de impuro.”</span>  
(44) @ACT 10:16	@<p-n> Atos  10:16</p-n>	<p>Isso aconteceu três vezes, e imediatamente o objeto foi recolhido ao céu.   </p>
(44) @ACT 10:17	@<p-n> Atos  10:17</p-n>	<p>Enquanto Pedro estava muito perplexo consigo mesmo sobre o que poderia significar a visão que tinha visto, eis que os homens que foram enviados por Cornélio, tendo perguntado pela casa de Simão, pararam diante do portão,  
(44) @ACT 10:18	@<p-n> Atos  10:18</p-n>	<p>e chamaram e perguntaram se Simão, que também era chamado Pedro, estava hospedado ali.  
(44) @ACT 10:19	@<p-n> Atos  10:19</p-n>	<p>Enquanto Pedro refletia sobre a visão, o Espírito lhe disse: “Eis que três homens procuram por você.  
(44) @ACT 10:20	@<p-n> Atos  10:20</p-n>	<p>Portanto, levante-se, desça e vá com eles, sem duvidar de nada; pois eu os enviei.”   </p>
(44) @ACT 10:21	@<p-n> Atos  10:21</p-n>	<p>Pedro desceu até os homens e disse: “Eis que eu sou aquele a quem vocês procuram. Por que vocês vieram?”   </p>
(44) @ACT 10:22	@<p-n> Atos  10:22</p-n>	<p>Eles disseram: “Cornélio, um centurião, homem justo e que teme a Deus, e de quem toda a nação dos judeus dá bom testemunho, foi instruído por um santo anjo a convidá-lo à casa dele e a ouvir o que você tem a dizer.”  
(44) @ACT 10:23	@<p-n> Atos  10:23</p-n>	<p>Então ele os convidou a entrar e lhes deu hospedagem.  </p><p>No dia seguinte, Pedro levantou-se e partiu com eles, e alguns dos irmãos de Jope o acompanharam.  
(44) @ACT 10:24	@<p-n> Atos  10:24</p-n>	<p>No outro dia, eles entraram em Cesareia. Cornélio os esperava, tendo reunido seus parentes e amigos íntimos.  
(44) @ACT 10:25	@<p-n> Atos  10:25</p-n>	<p>Quando Pedro entrou, Cornélio foi ao seu encontro, prostrou-se a seus pés e o adorou.  
(44) @ACT 10:26	@<p-n> Atos  10:26</p-n>	<p>Mas Pedro o levantou, dizendo: “Levante-se! Eu mesmo também sou homem.”  
(44) @ACT 10:27	@<p-n> Atos  10:27</p-n>	<p>Enquanto conversava com ele, entrou e encontrou muitos reunidos.  
(44) @ACT 10:28	@<p-n> Atos  10:28</p-n>	<p>Ele lhes disse: “Vocês mesmos sabem como é ilícito para um homem que é judeu juntar-se ou aproximar-se de alguém de outra nação, mas Deus me mostrou que eu não deveria chamar nenhum homem de profano ou impuro.  
(44) @ACT 10:29	@<p-n> Atos  10:29</p-n>	<p>Portanto, eu também vim sem reclamar quando mandaram me chamar. Pergunto, pois: por que mandaram me chamar?”   </p>
(44) @ACT 10:30	@<p-n> Atos  10:30</p-n>	<p>Cornélio disse: “Quatro dias atrás, eu estava jejuando até esta hora; e à hora nona, eu orava em minha casa, e eis que um homem se apresentou diante de mim com roupas resplandecentes  
(44) @ACT 10:31	@<p-n> Atos  10:31</p-n>	<p>e disse: 'Cornélio, sua oração foi ouvida, e suas ofertas aos necessitados são lembradas diante de Deus.  
(44) @ACT 10:32	@<p-n> Atos  10:32</p-n>	<p>Envie, portanto, a Jope e mande chamar Simão, que também é chamado Pedro. Ele está hospedado na casa de um curtidor chamado Simão, à beira-mar. Quando ele vier, falará com você.'  
(44) @ACT 10:33	@<p-n> Atos  10:33</p-n>	<p>Portanto, mandei chamá-lo imediatamente, e você fez bem em vir. Agora, pois, estamos todos aqui presentes diante de Deus para ouvir todas as coisas que lhe foram ordenadas por Deus.”   </p>
