#no sort

GEN 1:1	@<p-n> Gênesis  1:1</p-n>	<p>No princípio criou Deus os céus e a terra.  
GEN 1:2	@<p-n> Gênesis  1:2</p-n>	<p>E a terra estava desordenada e vazia, e as trevas estavam sobre a face do abismo, e o Espírito de Deus se movia sobre a face das águas.  
GEN 1:3	@<p-n> Gênesis  1:3</p-n>	<p>E disse Deus: Haja luz; e houve luz.  
GEN 1:4	@<p-n> Gênesis  1:4</p-n>	<p>E viu Deus que a luz era boa: e separou Deus a luz das trevas.  
GEN 1:5	@<p-n> Gênesis  1:5</p-n>	<p>E chamou Deus à luz Dia, e às trevas chamou Noite: e foi a tarde e a manhã o primeiro dia.  
GEN 1:6	@<p-n> Gênesis  1:6</p-n>	<p>E disse Deus: Haja expansão em meio das águas, e separe as águas das águas.  
GEN 1:7	@<p-n> Gênesis  1:7</p-n>	<p>E fez Deus a expansão, e separou as águas que estavam debaixo da expansão, das águas que estavam sobre a expansão: e foi assim.  
GEN 1:8	@<p-n> Gênesis  1:8</p-n>	<p>E chamou Deus à expansão Céus: e foi a tarde e a manhã, o dia segundo.  
GEN 1:9	@<p-n> Gênesis  1:9</p-n>	<p>E disse Deus: Juntem-se as águas que estão debaixo dos céus em um lugar, e descubra-se a porção seca; e foi assim.  
GEN 1:10	@<p-n> Gênesis  1:10</p-n>	<p>E chamou Deus à porção seca Terra, e à reunião das águas chamou Mares; e viu Deus que era bom.  
GEN 1:11	@<p-n> Gênesis  1:11</p-n>	<p>E disse Deus: Produza a terra erva verde, erva que dê semente; árvore de fruto que dê fruto segundo a sua espécie, que sua semente esteja nela, sobre a terra: e foi assim.  
GEN 1:12	@<p-n> Gênesis  1:12</p-n>	<p>E produziu a terra erva verde, erva que dá semente segundo sua natureza, e árvore que dá fruto, cuja semente está nele, segundo a sua espécie; e viu Deus que era bom.  
GEN 1:13	@<p-n> Gênesis  1:13</p-n>	<p>E foi a tarde e a manhã, o dia terceiro.  
GEN 1:14	@<p-n> Gênesis  1:14</p-n>	<p>E disse Deus: Haja luminares na expansão dos céus para separar o dia e a noite: e sejam por sinais, e para as estações, e para dias e anos;  
GEN 1:15	@<p-n> Gênesis  1:15</p-n>	<p>E sejam por luminares na expansão dos céus para iluminar sobre a terra: e foi.  
GEN 1:16	@<p-n> Gênesis  1:16</p-n>	<p>E fez Deus os dois grandes luminares; o luminar maior para que exerça domínio no dia, e o luminar menor para que exerça domínio na noite; fez também as estrelas.  
GEN 1:17	@<p-n> Gênesis  1:17</p-n>	<p>E as pôs Deus na expansão dos céus, para iluminar sobre a terra,  
