a	masculine noun <br>(letra) A, a <br><p-l>XXX de A a Z </p-l>YYYfrom A to Z 
a2 level	noun <ol><li>1 British (course) último ano do ensino secundário no Reino Unido, que <br>antecede o ensino universitário </li><li>2 British (exam) segunda fase do exame "A level", que serve de qualificação <br>para ingresso nas universidades </li></ol>
aa	abbreviation <br>(= autores) authors 
aaa	abbreviation <ol><li>1 US (= American Automobile Association Associação Automobilística dos Estados <br>Unidos) </li><li>2 British (= Amateur Athletics Association Associação Britânica de Atletas <br>Amadores) </li></ol>
aba	feminine noun <ol><li>1 (de casaco) lapel </li><li>2 (de chapéu) brim </li><li>3 (em móveis) flap <br><p-l>XXX uma mesa com abas </p-l>YYYa table with flaps </li><li>4 (de telhado) eaves (pl) </li><li>5 (sopé) foot <br><p-l>XXX a aba da montanha </p-l>YYYthe foot of the mountain </li><li>6 (num banco de carro) support <br><p-l>XXX abas laterais </p-l>YYYside supports </li><li>7 Computing (separador) tab </li></ol>
abacate	masculine noun <br>alligator pear US, avocado (pear) British 
abacateiro	masculine noun <br>avocado tree 
abacaxi	masculine noun <ol><li>1 (fruto, planta) pineapple </li><li>2 informal (problema) mess informal <br><p-l>XXX isso seria um abacaxi político muito grande </p-l>YYYthat would be a really big political mess <br>EXPRESSÃO <br>empurrar o abacaxi para alguém <br>to pass the buck to sb </li></ol>
aback	adverb <br><p-l>XXX to take sb aback </p-l>YYYpegar alguém de surpresa Brazil, apanhar alguém de surpresa Portugal <br><p-l>XXX to be taken aback by sth/sb </p-l>YYYser pego de surpresa por algo/alguém <br><p-l>XXX I was taken aback by his reply </p-l>YYYfui pego de surpresa pela resposta dele 
abacus	noun pl abacuses <br>ábaco m 
abada	feminine noun Portugal <ol><li>1 Sport informal (grande derrota) thrashing informal, hammering informal <br><p-l>XXX levar uma abada </p-l>YYYto get thrashed informal <br><p-l>XXX dar uma abada a alguém </p-l>YYYto thrash sb informal </li><li>2 informal (grande quantidade) heap informal, load informal <br><p-l>XXX uma abada de presentes </p-l>YYYa heap or load of presents </li><li>3 (porção) apronful </li></ol>
abade	masculine noun <ol><li>1 (de uma abadia) abbot </li><li>2 Portugal (pároco) parish priest </li></ol>
abadessa	feminine noun <br>abbess 
abadia	feminine noun <br>abbey 
abadá	Abadá can refer to a number of different garments worn in Brazil. It is a word <br>of African origin brought to Brazil by African Muslims. In capoeira the term <br>refers to the loose-fitting white trousers worn by players. Abadá can also <br>refer to the T-shirts worn by participants of blocos (Carnival bands) during <br>Carnaval. Each bloco has a different personalized abadá. Abadá is also the <br>name given to the white tunic worn by some African Muslims during prayers. 
abafadiço	adjective <ol><li>1 (asfixiante) stifling ‹tempo, atmosfera, tarde, local› <br><p-l>XXX um ar/calor abafadiço </p-l>YYYstifling air/heat </li><li>2 (irritadiço) irritable ‹pessoa› </li></ol>
