A	<p style="padding-left:0.3em;margin:0"><font color="lightgrey">•</font></p><p style="padding-left:0.3em;margin:0"><font color="silver">■</font> <font color="green"><i><b>substantivo</b></i></font></p><p style="padding-left:1em;margin:0">( <p-n>plural:</p-n> A's, a's )</p><ol><li> A, a:</p><p style="padding-left:1em;margin:0"><font color="gold">•</font> <font color="darkblue"><i>A as in apple</i></font> A de abelha</p><p style="padding-left:1em;margin:0"><font color="gold">•</font> <font color="darkblue"><i>"bean" (spelled) with an "a"</i></font> "bean" com "a"</p><p style="padding-left:1em;margin:0"><font color="gold">•</font> <font color="darkblue"><i>"Awful" begins/starts with an "A".</i></font> "Awful" começa com a letra "a".</p><p style="padding-left:1em;margin:0"><font color="gold">•</font> <font color="darkblue"><i>"Data" ends in an "a".</i></font> (A palavra) "data" termina com um "a".</p></li><li> <font color="gray"><i>(</i></font><i><font color="darkcyan">Educação</font></i><font color="gray"><i>)</i></font> (nota) A:</p><p style="padding-left:1em;margin:0"><font color="gold">•</font> <font color="darkblue"><i>to get an A in English</i></font> tirar um A em inglês</p></li><li> <font color="gray"><i>(</i></font><i><font color="darkcyan">Música</font></i><font color="gray"><i>)</i></font> lá</p></li></ol>
a	<p style="padding-left:0.3em;margin:0"><font color="lightgrey">•</font></p><p style="padding-left:2em;margin:0">( <font color="purple"><i><b>também</b></i></font> an )</p><br/><font color="darkslategray"><i>artigo indefinido</i></font></p><p style="padding-left:0.3em;margin:0"><font color="lightgrey">•</font></p><p style="padding-left:0.3em;margin:0"><font color="darkblue">►</font><font color="darkred">►</font> <b>A, an</b> correspondem aos artigos <font color="darkslategray"><i>um, uma</i></font> em português, exceto nos seguintes casos:</p><ol><li> ( <font color="darkslategray"><i>números</i></font> ):</p><p style="padding-left:1em;margin:0"><font color="gold">•</font> <font color="darkblue"><i>a hundred and twenty people</i></font> cento e vinte pessoas</p></li><li> ( <font color="darkslategray"><i>profissões</i></font> ):</p><p style="padding-left:1em;margin:0"><font color="gold">•</font> <font color="darkblue"><i>My mother is a lawyer.</i></font> Minha mãe é advogada.</p></li><li> por:</p><p style="padding-left:1em;margin:0"><font color="gold">•</font> <font color="darkblue"><i>200 words a minute</i></font> 200 palavras por minuto</p><p style="padding-left:1em;margin:0"><font color="gold">•</font> <font color="darkblue"><i>50¢ a dozen</i></font> 50 centavos a dúzia</p></li><li> ( <font color="darkslategray"><i>com desconhecidos</i></font> ) um(a) tal (de):</p><p style="padding-left:1em;margin:0"><font color="gold">•</font> <font color="darkblue"><i>Do we know a Tim Smith?</i></font> Conhecemos um tal de Tim Smith?</p></li></ol>
aback	<p style="padding-left:0.3em;margin:0"><font color="lightgrey">•</font></p><p style="padding-left:0.3em;margin:0"><font color="silver">■</font> <font color="green"><i><b>advérbio</b></i></font></p><p style="padding-left:1em;margin:0"><font color="darkslategray"><i>Ver</i></font> <font color="darkslategray"><i> TAKE</i></font></p>
abandon	<p style="padding-left:0.3em;margin:0"><font color="lightgrey">•</font></p><p style="padding-left:0.3em;margin:0"><font color="silver">■</font> <font color="green"><i><b>verbo transitivo</b></i></font></p><p style="padding-left:1em;margin:0">abandonar:</p><p style="padding-left:1em;margin:0"><font color="gold">•</font> <font color="darkblue"><i>We abandoned the attempt.</i></font> Abandonamos o intento.</p><p style="padding-left:1em;margin:0"><font color="gold">•</font> <font color="darkblue"><i>an abandoned baby/car/village</i></font> um bebê/carro/vilarejo abandonado</p>
abbess	<p style="padding-left:0.3em;margin:0"><font color="lightgrey">•</font></p><p style="padding-left:0.3em;margin:0"><font color="silver">■</font> <font color="green"><i><b>substantivo</b></i></font></p><p style="padding-left:1em;margin:0">abadessa</p>
abbey	<p style="padding-left:0.3em;margin:0"><font color="lightgrey">•</font></p><p style="padding-left:0.3em;margin:0"><font color="silver">■</font> <font color="green"><i><b>substantivo</b></i></font></p><p style="padding-left:1em;margin:0">( <p-n>plural:</p-n> -eys ) abadia</p>
abbot	<p style="padding-left:0.3em;margin:0"><font color="lightgrey">•</font></p><p style="padding-left:0.3em;margin:0"><font color="silver">■</font> <font color="green"><i><b>substantivo</b></i></font></p><p style="padding-left:1em;margin:0">abade</p>
abbreviate	<p style="padding-left:0.3em;margin:0"><font color="lightgrey">•</font></p><p style="padding-left:0.3em;margin:0"><font color="silver">■</font> <font color="green"><i><b>verbo transitivo</b></i></font></p><p style="padding-left:1em;margin:0">abreviar</p>
abbreviation	<p style="padding-left:0.3em;margin:0"><font color="lightgrey">•</font></p><p style="padding-left:0.3em;margin:0"><font color="silver">■</font> <font color="green"><i><b>substantivo</b></i></font></p><ol><li> abreviação</p></li><li> abreviatura</p></li></ol>
ABC	<p style="padding-left:0.3em;margin:0"><font color="lightgrey">•</font></p><p style="padding-left:0.3em;margin:0"><font color="silver">■</font> <font color="green"><i><b>substantivo</b></i></font></p><ol><li> abecedário</p></li><li> abecê</p></li></ol>
