(01) @GEN 1:1	<p-n>@Génesis 1:1</p-n>	En el principio Dios creó los cielos y la tierra. 
(01) @GEN 1:2	<p-n>@Génesis 1:2</p-n>	La tierra estaba sin forma y vacía. La oscuridad estaba sobre la superficie del abismo. El Espíritu de Dios se movía sobre la superficie de las aguas.
(01) @GEN 1:3	<p-n>@Génesis 1:3</p-n>	Dios dijo: "Que haya luz," y hubo luz. 
(01) @GEN 1:4	<p-n>@Génesis 1:4</p-n>	Dios vio la luz, que era buena. El dividió la luz de la oscuridad. 
(01) @GEN 1:5	<p-n>@Génesis 1:5</p-n>	Dios llamó la luz "día," y la oscuridad la llamó "noche." Esto fue la tarde y mañana, el primer día.
(01) @GEN 1:6	<p-n>@Génesis 1:6</p-n>	Dios dijo: "Haya una expansin entre las aguas, y que ésta divida las aguas de las aguas." 
(01) @GEN 1:7	<p-n>@Génesis 1:7</p-n>	Dios hizo la extensión y dividió las aguas que estaban debajo de la extensión de las aguas que estaban sobre la extensión. Y así fue. 
(01) @GEN 1:8	<p-n>@Génesis 1:8</p-n>	Dios llamó la extensión "cielo." Esta fue la tarde y mañana, el segundo día.
(01) @GEN 1:9	<p-n>@Génesis 1:9</p-n>	Dios dijo: "Que las aguas debajo del cielo se reúnan en un solo lugar, y que aparezca la tierra seca." Y así fue. 
(01) @GEN 1:10	<p-n>@Génesis 1:10</p-n>	Dios llamó a la tierra seca "tierra," y a las aguas reunidas Él llamó "mares." Él vio que esto era bueno.
(01) @GEN 1:11	<p-n>@Génesis 1:11</p-n>	Dios dijo: "Que la tierra brote vegetación: plantas que produzcan semillas y árboles frutales dando fruto cuyas semillas están dentro de la fruta, cada uno de acuerdo a su clase." Y así fue. 
(01) @GEN 1:12	<p-n>@Génesis 1:12</p-n>	La tierra produjo vegetación, plantas produciendo semillas de su clase, y árboles produciendo fruto cuyas semillas estaban en él, de acuerdo a su clase. Dios vio que esto era bueno. 
(01) @GEN 1:13	<p-n>@Génesis 1:13</p-n>	Esto fue la tarde y mañana, el tercer día.
(01) @GEN 1:14	<p-n>@Génesis 1:14</p-n>	Dios dijo: "Haya luces en el cielo para dividir el día de la noche y que ellas sean como señales, para estaciones, para días y años. 
(01) @GEN 1:15	<p-n>@Génesis 1:15</p-n>	Que éstas sean luces en el cielo para alumbrar sobre la tierra." Y así fue.
(01) @GEN 1:16	<p-n>@Génesis 1:16</p-n>	Dios hizo las dos grandes lumbreras, la luz más grande para dominar el día y la luz más pequeña para dominar la noche. Él también hizo las estrellas. 
(01) @GEN 1:17	<p-n>@Génesis 1:17</p-n>	Dios las colocó en el cielo para alumbrar sobre la tierra, 
(01) @GEN 1:18	<p-n>@Génesis 1:18</p-n>	para reinar sobre el día y sobre la noche, y para dividir la luz de la oscuridad. Dios vio que era bueno. 
(01) @GEN 1:19	<p-n>@Génesis 1:19</p-n>	Esto fue la tarde y noche, el cuarto día.
