GN	GEN	01
EX	EXO	02
LV	LEV	03
NU	NUM	04
DT	DEU	05
JS	JOS	06
JG	JDG	07
RT	RUT	08
S1	1SA	09
S2	2SA	10
K1	1KI	11
K2	2KI	12
R1	1CH	13
R2	2CH	14
ER	EZR	15
NH	NEH	16
ET	EST	17
JB	JOB	18
PS	PSA	19
PR	PRO	20
EC	ECC	21
SS	SOL	22
IS	ISA	23
JR	JER	24
LM	LAM	25
EK	EZE	26
DN	DAN	27
HS	HOS	28
JL	JOE	29
AM	AMO	30
OB	OBA	31
JH	JON	32
MC	MIC	33
NM	NAH	34
HK	HAB	35
ZP	ZEP	36
HG	HAG	37
ZC	ZEC	38
ML	MAL	39
MT	MAT	40
MK	MAR	41
LK	LUK	42
JN	JOH	43
AC	ACT	44
RM	ROM	45
C1	1CO	46
C2	2CO	47
GL	GAL	48
EP	EPH	49
PP	PHI	50
CL	COL	51
H1	1TH	52
H2	2TH	53
T1	1TI	54
T2	2TI	55
TT	TIT	56
PM	PHM	57
HB	HEB	58
JM	JAM	59
P1	1PE	60
P2	2PE	61
J1	1JO	62
J2	2JO	63
J3	3JO	64
JD	JUD	65
RV	REV	66
??	XXX	67
