GEN	លោកុប្បត្តិ
EXO	និក្ខមនំ
LEV	លេវីវិន័យ
NUM	ជនគណនា
DEU	ទុតិយកថា
JOS	យ៉ូស្វេ
JDG	ចៅហ្វាយ
RUT	នាង​រស់
1SA	១ សាំយូអែល
2SA	២ សាំយូអែល
1KI	១ ពង្សាវតារក្សត្រ
2KI	២ ពង្សាវតារក្សត្រ
1CH	១ របាក្សត្រ
2CH	២ របាក្សត្រ
EZR	អែសរ៉ា
NEH	នេហេមា
EST	នាង​អេសធើរ
JOB	យ៉ូប
PSA	ទំនុកតម្កើង 
PRO	សុភាសិត
ECC	សាស្ដា
SOL	បទ​ចំរៀង
ISA	អេសាយ
JER	យេរេមា
LAM	បរិទេវ
EZE	អេសេគាល
DAN	ដានីយ៉ែល
HOS	ហូសេ
JOE	យ៉ូអែល
AMO	អេម៉ុស
OBA	អូបាឌា
JON	យ៉ូណាស
MIC	មីកា
NAH	ណាហ៊ូម
HAB	ហាបាគូក
ZEP	សេផានា
HAG	ហាកាយ
ZEC	សាការី
MAL	ម៉ាឡាគី
MAT	ម៉ាថាយ
MAR	ម៉ាកុស
LUK	លូកា
JOH	យ៉ូហាន
ACT	កិច្ចការ
ROM	រ៉ូម
1CO	១ កូរិនថូស
2CO	២ កូរិនថូស
GAL	កាឡាទី
EPH	អេភេសូ
PHI	ភីលីព
COL	កូឡូស
1TH	១ ថេស្សាឡូនិក
2TH	២ ថេស្សាឡូនិក
1TI	១ ធីម៉ូថេ
2TI	២ ធីម៉ូថេ
TIT	ទីតុស
PHM	ភីលេម៉ូន
HEB	ហេប្រឺ
JAM	យ៉ាកុប
1PE	១ ពេត្រុស
2PE	២ ពេត្រុស
1JO	១ យ៉ូហាន
2JO	២ យ៉ូហាន
3JO	៣ យ៉ូហាន
JUD	យូដាស
REV	វិវរណៈ
