GEN	ປະ​ຖົ​ມະ​ການ
EXO	ອົບພະຍົບ
LEV	ກົດລະບຽບເລວີ
NUM	ຈົດບັນຊີ
DEU	ພຣະບັນຍັດສອງ
JOS	ໂຢຊວຍ
JDG	ພວກຜູ້ປົກຄອງ
RUT	ນາງຣຸດ
1SA	1 ຊາມູເອນ
2SA	2 ຊາ​ມູ​ເອນ
1KI	1 ກະສັດ
2KI	2 ກະສັດ
1CH	1 ຂ່າວຄາວ
2CH	2 ຂ່າວຄາວ
EZR	ເອຊະຣາ
NEH	ເນເຫມີຢາ
EST	ເອສະເທີ
JOB	ພຣະຄັມ ໂຢບ
PSA	ເພງສັນຣະເສີນ
PRO	ສຸພາສິດ
ECC	ປັນຍາຈານ
SOL	ຍອດ​ເພງ
ISA	ເອ​ຊາຢາ
JER	ເຢເຣມີຢາ
LAM	ເພງຄໍ່າຄວນ
EZE	ເອເຊກຽນ
DAN	ດານີເອນ
HOS	ໂຮເສຢາ
JOE	ໂຢເອນ
AMO	ອາໂມດ
OBA	ໂອ​ບາ​ດີຢ​າ
JON	ໂຢນາ
MIC	ມີກາ
NAH	ນາຮູມ
HAB	ຮາບາກຸກ
ZEP	ເຊຟານີຢາ
HAG	ພຣະຄຳພີ ຮັກກາຍ
ZEC	ເຊຄາຣິຢາ
MAL	ມາລະກີ
MAT	ມັດທາຍ
MAR	ມາຣະໂກ
LUK	ລູກາ
JOH	ໂຢຮັນ
ACT	ກິດຈະການ
ROM	ໂຣມ
1CO	1 ໂກຣີນໂທ
2CO	2 ໂກຣິນໂທ
GAL	ຄາລາເຕຍ
EPH	ເອເຟໂຊ
PHI	ຟີລິບປອຍ
COL	ໂກໂລຊາຍ
1TH	1 ເທສະໂລນິກ
2TH	2 ເທສະໂລນິກ
1TI	1 ຕີໂມທຽວ
2TI	2 ຕີໂມທຽວ
TIT	ຕີໂຕ
PHM	ຟີເລໂມນ
HEB	ເຮັບເຣີ
JAM	ຢາໂກໂບ
1PE	1 ​ເປໂຕ
2PE	2 ເປໂຕ
1JO	1 ໂຢຮັນ
2JO	2 ໂຢຮັນ
3JO	3 ໂຢຮັນ
JUD	ຢູດາ
REV	ພຣະນິມິດ
